arch,run_idx,seed,hazard_cost,arc_complete,arc_timeout,ineligible_reason,env1_surprise_step,prediction_step,transfer_triggered_step,confirmation_step,return_step,transformation_step,arc_total_steps,arc_env_span,causal_chain_depth,causal_chain_complete
v1_14,0,202358875,0.1,True,False,,365000,365000,365000,90,0,9,-364991,3,6,True
v1_14,1,1869897005,0.1,True,False,,735500,735500,735500,82,0,13,-735487,3,6,True
v1_14,2,1489290374,0.1,True,False,,1000,1000,1000,742194,0,108,-892,3,6,True
v1_14,3,1108683743,0.1,True,False,,7000,7000,7000,193255,0,34,-6966,3,6,True
v1_14,4,628738225,0.1,True,False,,71500,71500,71500,278,0,20,-71480,3,6,True
v1_14,6,1915669724,0.1,True,False,,137000,137000,137000,7152,0,94,-136906,3,6,True
v1_14,8,1154456462,0.1,False,False,prediction_unresolvable,55500,,55500,,,,,,3,False
v1_14,10,10,1.0,True,False,,1000,1000,1000,160,0,34,-966,3,6,True
v1_14,11,1010,1.0,True,False,,167000,167000,167000,162777,0,9,-166991,3,6,True
v1_14,13,3010,1.0,True,False,,610265,26000,610265,241325,0,12,-610253,3,6,True
v1_14,14,4010,1.0,True,False,,20353,13000,20353,95,0,35,-20318,3,6,True
v1_14,15,5010,1.0,False,False,prediction_unresolvable,16000,,16000,,,,,,3,False
v1_14,16,6010,1.0,True,False,,1000,1000,1000,204015,0,3,-997,3,6,True
v1_14,18,8010,1.0,True,False,,88000,88000,88000,70,0,3,-87997,3,6,True
v1_14,19,9010,1.0,False,False,prediction_unresolvable,174500,,174500,,,,,,3,False
v1_14,21,1020,2.0,True,False,,307500,307500,307500,60123,0,30,-307470,3,6,True
v1_14,22,2020,2.0,True,False,,7500,7500,7500,293,0,6,-7494,3,6,True
v1_14,23,3020,2.0,True,False,,5000,5000,5000,169745,0,8,-4992,3,6,True
v1_14,24,4020,2.0,True,False,,5500,5500,5500,69,0,10,-5490,3,6,True
v1_14,25,5020,2.0,True,False,,90500,90500,90500,35547,0,296,-90204,3,6,True
v1_14,26,6020,2.0,True,False,,20000,20000,20000,107296,0,214,-19786,3,6,True
v1_14,27,7020,2.0,True,False,,652500,652500,652500,3274,0,3,-652497,3,6,True
v1_14,29,9020,2.0,True,False,,12500,12500,12500,14626,0,3,-12497,3,6,True
v1_14,30,100,10.0,True,False,,1000,1000,1000,73,0,39,-961,3,6,True
v1_14,31,1100,10.0,True,False,,4574,4500,4574,29222,0,154,-4420,3,6,True
v1_14,32,2100,10.0,True,False,,43000,43000,43000,665455,0,19,-42981,3,6,True
v1_14,33,3100,10.0,True,False,,38500,38500,38500,36,0,113,-38387,3,6,True
v1_14,34,4100,10.0,True,False,,1000,1000,1000,31969,0,18,-982,3,6,True
v1_14,35,5100,10.0,True,False,,94500,94500,94500,512,0,135,-94365,3,6,True
v1_14,37,7100,10.0,True,False,,35500,35500,35500,34136,0,11,-35489,3,6,True
v1_14,38,8100,10.0,True,False,,113500,113500,113500,1313,0,7,-113493,3,6,True
v1_14,39,9100,10.0,True,False,,259000,259000,259000,88375,0,72,-258928,3,6,True
