arch,run_idx,seed,hazard_cost,arc_complete,arc_timeout,ineligible_reason,env1_surprise_step,prediction_step,transfer_triggered_step,confirmation_step,return_step,transformation_step,arc_total_steps,arc_env_span,causal_chain_depth,causal_chain_complete
v1_14_1,0,202358875,0.1,True,False,,365000,365000,365000,90,0,9,365100,3,6,True
v1_14_1,1,1869897005,0.1,True,False,,735500,735500,735500,82,0,13,735596,3,6,True
v1_14_1,2,1489290374,0.1,True,False,,1000,1000,1000,742194,0,108,743303,3,6,True
v1_14_1,3,1108683743,0.1,True,False,,7000,7000,7000,193255,0,34,200290,3,6,True
v1_14_1,4,628738225,0.1,True,False,,71500,71500,71500,278,0,20,71799,3,6,True
v1_14_1,6,1915669724,0.1,True,False,,137000,137000,137000,7152,0,94,144247,3,6,True
v1_14_1,8,1154456462,0.1,False,False,prediction_unresolvable,55500,,55500,,,,,,3,False
v1_14_1,10,10,1.0,True,False,,1000,1000,1000,160,0,34,1195,3,6,True
v1_14_1,11,1010,1.0,True,False,,167000,167000,167000,162777,0,9,329787,3,6,True
v1_14_1,13,3010,1.0,True,False,,610265,26000,610265,241325,0,12,851603,3,6,True
v1_14_1,14,4010,1.0,True,False,,20353,13000,20353,95,0,35,20484,3,6,True
v1_14_1,15,5010,1.0,False,False,prediction_unresolvable,16000,,16000,,,,,,3,False
v1_14_1,16,6010,1.0,True,False,,1000,1000,1000,204015,0,3,205019,3,6,True
v1_14_1,18,8010,1.0,True,False,,88000,88000,88000,70,0,3,88074,3,6,True
v1_14_1,19,9010,1.0,False,False,prediction_unresolvable,174500,,174500,,,,,,3,False
v1_14_1,21,1020,2.0,True,False,,307500,307500,307500,60123,0,30,367654,3,6,True
v1_14_1,22,2020,2.0,True,False,,7500,7500,7500,293,0,6,7800,3,6,True
v1_14_1,23,3020,2.0,True,False,,5000,5000,5000,169745,0,8,174754,3,6,True
v1_14_1,24,4020,2.0,True,False,,5500,5500,5500,69,0,10,5580,3,6,True
v1_14_1,25,5020,2.0,True,False,,90500,90500,90500,35547,0,296,126344,3,6,True
v1_14_1,26,6020,2.0,True,False,,20000,20000,20000,107296,0,214,127511,3,6,True
v1_14_1,27,7020,2.0,True,False,,652500,652500,652500,3274,0,3,655778,3,6,True
v1_14_1,29,9020,2.0,True,False,,12500,12500,12500,14626,0,3,27130,3,6,True
v1_14_1,30,100,10.0,True,False,,1000,1000,1000,73,0,39,1113,3,6,True
v1_14_1,31,1100,10.0,True,False,,4574,4500,4574,29222,0,154,33951,3,6,True
v1_14_1,32,2100,10.0,True,False,,43000,43000,43000,665455,0,19,708475,3,6,True
v1_14_1,33,3100,10.0,True,False,,38500,38500,38500,36,0,113,38650,3,6,True
v1_14_1,34,4100,10.0,True,False,,1000,1000,1000,31969,0,18,32988,3,6,True
v1_14_1,35,5100,10.0,True,False,,94500,94500,94500,512,0,135,95148,3,6,True
v1_14_1,37,7100,10.0,True,False,,35500,35500,35500,34136,0,11,69648,3,6,True
v1_14_1,38,8100,10.0,True,False,,113500,113500,113500,1313,0,7,114821,3,6,True
v1_14_1,39,9100,10.0,True,False,,259000,259000,259000,88375,0,72,347448,3,6,True
