arch,run_idx,agent,seed,hazard_cost,arc_complete,arc_timeout,ineligible_reason,env1_surprise_step,prediction_step,transfer_triggered_step,confirmation_step,return_step,transformation_step,arc_total_steps,arc_env_span,causal_chain_depth,causal_chain_complete
v1_15,0,a,202358875,0.1,True,False,,488719,24500,488719,203518,0,7,488726,3,6,True
v1_15,0,b,202378875,0.1,True,False,,24500,24500,24500,40,0,6,24506,3,6,True
v1_15,1,a,1869897005,0.1,True,False,,2344,1000,2344,85,0,15,2359,3,6,True
v1_15,1,b,1869917005,0.1,True,False,,24026,1000,24026,77055,0,14,24040,3,6,True
v1_15,2,a,1489290374,0.1,True,False,,51309,34500,51309,,0,17,51326,3,6,True
v1_15,2,b,1489310374,0.1,True,False,,34500,34500,34500,141754,0,17,34517,3,6,True
v1_15,3,a,1108683743,0.1,True,False,,4883,4000,4883,100,0,22,4905,3,6,True
v1_15,3,b,1108703743,0.1,True,False,,4000,4000,4000,63,0,21,4021,3,6,True
v1_15,4,a,628738225,0.1,True,False,,415784,251000,415784,644,0,16,415800,3,6,True
v1_15,4,b,628758225,0.1,True,False,,325092,251000,325092,154,0,15,325107,3,6,True
v1_15,5,a,248131594,0.1,True,False,,1500,1500,1500,35979,0,9,1509,3,6,True
v1_15,5,b,248151594,0.1,True,False,,,1500,,,0,9,9,3,6,True
v1_15,6,a,1915669724,0.1,True,False,,,36000,,,0,12,12,3,6,True
v1_15,6,b,1915689724,0.1,True,False,,36000,36000,36000,7059,0,12,36012,3,6,True
v1_15,7,a,1535063093,0.1,True,False,,,1000,,,0,9,9,3,6,True
v1_15,7,b,1535083093,0.1,True,False,,1000,1000,1000,44,0,8,1008,3,6,True
v1_15,8,a,1154456462,0.1,False,False,no_transfer,,64000,,,,,,,3,False
v1_15,8,b,1154476462,0.1,False,False,prediction_unresolvable,64006,64000,64006,,,,,,3,False
v1_15,9,a,674510944,0.1,True,False,,598072,59000,598072,70,0,7,598079,3,6,True
v1_15,9,b,674530944,0.1,True,False,,59000,59000,59000,3974,0,6,59006,3,6,True
v1_15,10,a,10,1.0,True,False,,59000,59000,59000,44,0,16,59016,3,6,True
v1_15,10,b,20010,1.0,True,False,,543567,59000,543567,91,0,15,543582,3,6,True
v1_15,11,a,1010,1.0,True,False,,9324,4500,9324,66,0,12,9336,3,6,True
v1_15,11,b,21010,1.0,True,False,,374794,4500,374794,66,0,12,374806,3,6,True
v1_15,12,a,2010,1.0,True,False,,,94500,,,0,6,6,3,6,True
v1_15,12,b,22010,1.0,True,False,,94500,94500,94500,38643,0,6,94506,3,6,True
v1_15,13,a,3010,1.0,True,False,,440339,6000,440339,88,0,11,440350,3,6,True
v1_15,13,b,23010,1.0,True,False,,6000,6000,6000,689,0,11,6011,3,6,True
v1_15,14,a,4010,1.0,True,False,,22466,1500,22466,48,0,38,22504,3,6,True
v1_15,14,b,24010,1.0,True,False,,23029,1500,23029,124,0,38,23067,3,6,True
v1_15,15,a,5010,1.0,False,False,prediction_unresolvable,579500,579500,579500,,,,,,3,False
v1_15,15,b,25010,1.0,False,False,no_transfer,,579500,,,,,,,3,False
v1_15,16,a,6010,1.0,True,False,,15000,15000,15000,203756,0,3,15003,3,6,True
v1_15,16,b,26010,1.0,True,False,,157543,15000,157543,218,0,3,157546,3,6,True
v1_15,17,a,7010,1.0,True,False,,1000,1000,1000,39,0,4,1004,3,6,True
v1_15,17,b,27010,1.0,True,False,,43523,1000,43523,70,0,3,43526,3,6,True
v1_15,18,a,8010,1.0,True,False,,606808,81500,606808,52,0,5,606813,3,6,True
v1_15,18,b,28010,1.0,True,False,,81500,81500,81500,96,0,5,81505,3,6,True
v1_15,19,a,9010,1.0,True,False,,123896,5500,123896,,0,13,123909,3,6,True
v1_15,19,b,29010,1.0,True,False,,513589,5500,513589,80,0,12,513601,3,6,True
v1_15,20,a,20,2.0,True,False,,52975,1000,52975,12142,0,3,52978,3,6,True
v1_15,20,b,20020,2.0,True,False,,1000,1000,1000,1986,0,3,1003,3,6,True
v1_15,21,a,1020,2.0,True,False,,,1500,,,0,8,8,3,6,True
v1_15,21,b,21020,2.0,True,False,,1500,1500,1500,15540,0,8,1508,3,6,True
v1_15,22,a,2020,2.0,True,False,,50640,11500,50640,115,0,5,50645,3,6,True
v1_15,22,b,22020,2.0,True,False,,,11500,,,0,4,4,3,6,True
v1_15,23,a,3020,2.0,True,False,,6331,1000,6331,169679,0,9,6340,3,6,True
v1_15,23,b,23020,2.0,True,False,,1000,1000,1000,77,0,8,1008,3,6,True
v1_15,24,a,4020,2.0,True,False,,772155,118000,772155,61,0,7,772162,3,6,True
v1_15,24,b,24020,2.0,True,False,,118000,118000,118000,83742,0,7,118007,3,6,True
v1_15,25,a,5020,2.0,True,False,,1000,1000,1000,18,0,9,1009,3,6,True
v1_15,25,b,25020,2.0,True,False,,2337,1000,2337,35500,0,9,2346,3,6,True
v1_15,26,a,6020,2.0,True,False,,2303,1500,2303,238298,0,49,2352,3,6,True
v1_15,26,b,26020,2.0,True,False,,1500,1500,1500,59,0,49,1549,3,6,True
v1_15,27,a,7020,2.0,True,False,,88893,1000,88893,,0,3,88896,3,6,True
v1_15,27,b,27020,2.0,True,False,,1000,1000,1000,66,0,3,1003,3,6,True
v1_15,28,a,8020,2.0,True,False,,4977,2500,4977,2745,0,6,4983,3,6,True
v1_15,28,b,28020,2.0,True,False,,2500,2500,2500,55,0,5,2505,3,6,True
v1_15,29,a,9020,2.0,True,False,,133025,36500,133025,1223,0,3,133028,3,6,True
v1_15,29,b,29020,2.0,True,False,,36500,36500,36500,191,0,3,36503,3,6,True
v1_15,30,a,100,10.0,True,False,,,176000,,,0,54,54,3,6,True
v1_15,30,b,20100,10.0,True,False,,176000,176000,176000,82773,0,53,176053,3,6,True
v1_15,31,a,1100,10.0,True,False,,,7500,,,0,4,4,3,6,True
v1_15,31,b,21100,10.0,True,False,,7500,7500,7500,17511,0,3,7503,3,6,True
v1_15,32,a,2100,10.0,True,False,,1000,1000,1000,2435,0,15,1015,3,6,True
v1_15,32,b,22100,10.0,True,False,,189465,1000,189465,663004,0,14,189479,3,6,True
v1_15,33,a,3100,10.0,True,False,,1616,1000,1616,38,0,9,1625,3,6,True
v1_15,33,b,23100,10.0,True,False,,1000,1000,1000,56391,0,8,1008,3,6,True
v1_15,34,a,4100,10.0,True,False,,452215,33000,452215,444,0,13,452228,3,6,True
v1_15,34,b,24100,10.0,True,False,,33000,33000,33000,31519,0,12,33012,3,6,True
v1_15,35,a,5100,10.0,True,False,,1000,1000,1000,512,0,84,1084,3,6,True
v1_15,35,b,25100,10.0,True,False,,,1000,,,0,83,83,3,6,True
v1_15,36,a,6100,10.0,True,False,,40499,9000,40499,58,0,45,40544,3,6,True
v1_15,36,b,26100,10.0,True,False,,9000,9000,9000,,0,45,9045,3,6,True
v1_15,37,a,7100,10.0,True,False,,,5000,,,0,4,4,3,6,True
v1_15,37,b,27100,10.0,True,False,,5000,5000,5000,7483,0,4,5004,3,6,True
v1_15,38,a,8100,10.0,True,False,,387499,260000,387499,31038,0,28,387527,3,6,True
v1_15,38,b,28100,10.0,True,False,,260000,260000,260000,12308,0,27,260027,3,6,True
v1_15,39,a,9100,10.0,True,False,,15430,3000,15430,101,0,4,15434,3,6,True
v1_15,39,b,29100,10.0,True,False,,185790,3000,185790,24,0,3,185793,3,6,True
