arch,run_idx,agent,seed,hazard_cost,arc_complete,arc_timeout,ineligible_reason,env1_surprise_step,prediction_step,transfer_triggered_step,confirmation_step,return_step,transformation_step,arc_total_steps,arc_env_span,causal_chain_depth,causal_chain_complete,social_corroboration_fired,social_observation_step,zpd_delta
v1_15_2,0,a,202358875,0.1,True,False,,488719,24500,488719,203518,0,7,488726,3,6,True,True,39,-257992
v1_15_2,0,b,202378875,0.1,True,False,,24500,24500,24500,40,0,6,24506,3,6,True,False,,206228
v1_15_2,1,a,1869897005,0.1,True,False,,2344,1000,2344,85,0,15,2359,3,6,True,False,,228375
v1_15_2,1,b,1869917005,0.1,True,False,,24026,1000,24026,77055,0,14,24040,3,6,True,True,83,206694
v1_15_2,2,a,1489290374,0.1,False,True,,51309,34500,51309,,0,,,,4,False,True,141752,
v1_15_2,2,b,1489310374,0.1,True,False,,34500,34500,34500,141754,0,51,34551,3,6,True,False,,196183
v1_15_2,3,a,1108683743,0.1,True,False,,4883,4000,4883,100,0,22,4905,3,6,True,True,62,225829
v1_15_2,3,b,1108703743,0.1,True,False,,4000,4000,4000,63,0,21,4021,3,6,True,False,,226713
v1_15_2,4,a,628738225,0.1,True,False,,415784,251000,415784,644,0,16,415800,3,6,True,True,613,-185066
v1_15_2,4,b,628758225,0.1,True,False,,325092,251000,325092,154,0,15,325107,3,6,True,False,,-94373
v1_15_2,5,a,248131594,0.1,True,False,,1500,1500,1500,35979,0,17,1517,3,6,True,False,,229217
v1_15_2,5,b,248151594,0.1,False,True,,,1500,,,0,,,,4,False,False,,
v1_15_2,6,a,1915669724,0.1,False,True,,,36000,,,0,,,,4,False,False,,
v1_15_2,6,b,1915689724,0.1,True,False,,36000,36000,36000,7059,0,94,36094,3,6,True,False,,194640
v1_15_2,7,a,1535063093,0.1,False,True,,,1000,,,0,,,,4,False,False,,
v1_15_2,7,b,1535083093,0.1,True,False,,1000,1000,1000,44,0,3,1003,3,6,True,False,,229731
v1_15_2,8,a,1154456462,0.1,False,False,no_transfer,,64000,,,,,,,3,False,False,,
v1_15_2,8,b,1154476462,0.1,False,False,prediction_unresolvable,64006,64000,64006,,,,,,3,False,False,,
v1_15_2,9,a,674510944,0.1,True,False,,598072,59000,598072,70,0,7,598079,3,6,True,False,,-367345
v1_15_2,9,b,674530944,0.1,True,False,,59000,59000,59000,3975,0,6,59006,3,6,True,True,68,171728
v1_15_2,10,a,10,1.0,True,False,,59000,59000,59000,44,0,16,59016,3,6,True,False,,171718
v1_15_2,10,b,20010,1.0,True,False,,543567,59000,543567,91,0,15,543582,3,6,True,True,42,-312848
v1_15_2,11,a,1010,1.0,True,False,,9324,4500,9324,66,0,12,9336,3,6,True,True,63,221398
v1_15_2,11,b,21010,1.0,True,False,,374794,4500,374794,66,0,12,374806,3,6,True,True,64,-144072
v1_15_2,12,a,2010,1.0,False,True,,,94500,,,0,,,,4,False,False,,
v1_15_2,12,b,22010,1.0,True,False,,94500,94500,94500,38643,0,36,94536,3,6,True,False,,136198
v1_15_2,13,a,3010,1.0,True,False,,440339,6000,440339,88,0,11,440350,3,6,True,False,,-209616
v1_15_2,13,b,23010,1.0,True,False,,6000,6000,6000,548,0,11,6011,3,6,True,True,86,224723
v1_15_2,14,a,4010,1.0,True,False,,22466,1500,22466,48,0,38,22504,3,6,True,False,,208230
v1_15_2,14,b,24010,1.0,True,False,,23029,1500,23029,124,0,38,23067,3,6,True,True,46,207667
v1_15_2,15,a,5010,1.0,False,False,prediction_unresolvable,579500,579500,579500,,,,,,3,False,False,,
v1_15_2,15,b,25010,1.0,False,False,no_transfer,,579500,,,,,,,3,False,False,,
v1_15_2,16,a,6010,1.0,True,False,,15000,15000,15000,14334,0,3,15003,3,6,True,True,217,215731
v1_15_2,16,b,26010,1.0,True,False,,157543,15000,157543,218,0,3,157546,3,6,True,False,,73188
v1_15_2,17,a,7010,1.0,True,False,,1000,1000,1000,39,0,4,1004,3,6,True,False,,229730
v1_15_2,17,b,27010,1.0,True,False,,43523,1000,43523,70,0,3,43526,3,6,True,True,37,187208
v1_15_2,18,a,8010,1.0,True,False,,606808,81500,606808,52,0,5,606813,3,6,True,False,,-376079
v1_15_2,18,b,28010,1.0,True,False,,81500,81500,81500,96,0,5,81505,3,6,True,True,75,149229
v1_15_2,19,a,9010,1.0,False,True,,123896,5500,123896,,0,,,,4,False,True,85,
v1_15_2,19,b,29010,1.0,True,False,,513589,5500,513589,80,0,12,513601,3,6,True,False,,-282867
v1_15_2,20,a,20,2.0,True,False,,52975,1000,52975,12142,0,3,52978,3,6,True,True,1985,177756
v1_15_2,20,b,20020,2.0,True,False,,1000,1000,1000,1986,0,3,1003,3,6,True,False,,229731
v1_15_2,21,a,1020,2.0,False,True,,,1500,,,0,,,,4,False,False,,
v1_15_2,21,b,21020,2.0,True,False,,1500,1500,1500,15540,0,30,1530,3,6,True,False,,229204
v1_15_2,22,a,2020,2.0,True,False,,50640,11500,50640,115,0,6,50646,3,6,True,False,,180088
v1_15_2,22,b,22020,2.0,False,True,,,11500,,,0,,,,4,False,False,,
v1_15_2,23,a,3020,2.0,True,False,,6331,1000,6331,169679,0,9,6340,3,6,True,True,76,224394
v1_15_2,23,b,23020,2.0,True,False,,1000,1000,1000,77,0,8,1008,3,6,True,False,,229726
v1_15_2,24,a,4020,2.0,True,False,,772155,118000,772155,61,0,7,772162,3,6,True,False,,-541428
v1_15_2,24,b,24020,2.0,True,False,,118000,118000,118000,83742,0,7,118007,3,6,True,True,59,112727
v1_15_2,25,a,5020,2.0,True,False,,1000,1000,1000,18,0,9,1009,3,6,True,False,,229725
v1_15_2,25,b,25020,2.0,True,False,,2337,1000,2337,35500,0,9,2346,3,6,True,True,16,228388
v1_15_2,26,a,6020,2.0,True,False,,2303,1500,2303,238299,0,49,2352,3,6,True,True,111,228382
v1_15_2,26,b,26020,2.0,True,False,,1500,1500,1500,59,0,49,1549,3,6,True,False,,229185
v1_15_2,27,a,7020,2.0,False,True,,88893,1000,88893,,0,,,,4,False,True,65,
v1_15_2,27,b,27020,2.0,True,False,,1000,1000,1000,66,0,30,1030,3,6,True,False,,229704
v1_15_2,28,a,8020,2.0,True,False,,4977,2500,4977,2745,0,6,4983,3,6,True,True,54,225751
v1_15_2,28,b,28020,2.0,True,False,,2500,2500,2500,55,0,5,2505,3,6,True,False,,228229
v1_15_2,29,a,9020,2.0,True,False,,133025,36500,133025,1223,0,3,133028,3,6,True,True,189,97706
v1_15_2,29,b,29020,2.0,True,False,,36500,36500,36500,191,0,3,36503,3,6,True,False,,194231
v1_15_2,30,a,100,10.0,False,True,,,176000,,,0,,,,4,False,False,,
v1_15_2,30,b,20100,10.0,True,False,,176000,176000,176000,82773,0,39,176039,3,6,True,False,,54695
v1_15_2,31,a,1100,10.0,False,True,,,7500,,,0,,,,4,False,False,,
v1_15_2,31,b,21100,10.0,True,False,,7500,7500,7500,17511,0,154,7654,3,6,True,False,,223080
v1_15_2,32,a,2100,10.0,True,False,,1000,1000,1000,2435,0,15,1015,3,6,True,False,,229719
v1_15_2,32,b,22100,10.0,True,False,,189465,1000,189465,663004,0,14,189479,3,6,True,True,2433,41255
v1_15_2,33,a,3100,10.0,True,False,,1616,1000,1616,38,0,9,1625,3,6,True,False,,229109
v1_15_2,33,b,23100,10.0,True,False,,1000,1000,1000,56391,0,8,1008,3,6,True,True,36,229726
v1_15_2,34,a,4100,10.0,True,False,,452215,33000,452215,444,0,13,452228,3,6,True,False,,-221494
