arch,run_idx,agent,seed,hazard_cost,step,observed_by,object_id,observer_pos,own_mastery_at_step
v1_15_2,0,b,202378875,0.1,39,a,att_blue,"(2.0, 2.0, 2.0)",False
v1_15_2,1,a,1869897005,0.1,83,b,att_blue,"(11.0, 9.0, 5.0)",False
v1_15_2,2,b,1489310374,0.1,141752,a,att_blue,"(9.0, 5.0, 2.0)",False
v1_15_2,3,b,1108703743,0.1,62,a,att_blue,"(5.0, 2.0, 5.0)",False
v1_15_2,4,b,628758225,0.1,613,a,att_blue,"(1.0, 3.0, 2.0)",True
v1_15_2,9,a,674510944,0.1,68,b,att_blue,"(9.0, 5.0, 2.0)",False
v1_15_2,10,a,10,1.0,42,b,att_blue,"(5.0, 2.0, 5.0)",False
v1_15_2,11,a,1010,1.0,64,b,att_blue,"(5.0, 6.0, 10.0)",False
v1_15_2,11,b,21010,1.0,63,a,att_blue,"(6.0, 5.0, 9.0)",False
v1_15_2,13,a,3010,1.0,86,b,att_blue,"(6.0, 8.0, 1.0)",False
v1_15_2,14,a,4010,1.0,46,b,att_blue,"(2.0, 9.0, 4.0)",False
v1_15_2,16,b,26010,1.0,217,a,att_blue,"(11.0, 9.0, 5.0)",False
v1_15_2,17,a,7010,1.0,37,b,att_blue,"(3.0, 3.0, 3.0)",False
v1_15_2,18,a,8010,1.0,75,b,att_blue,"(2.0, 3.0, 2.0)",True
v1_15_2,19,b,29010,1.0,85,a,att_blue,"(1.0, 1.0, 3.0)",True
v1_15_2,20,b,20020,2.0,1985,a,att_blue,"(5.0, 2.0, 5.0)",False
v1_15_2,23,b,23020,2.0,76,a,att_blue,"(9.0, 5.0, 2.0)",False
v1_15_2,24,a,4020,2.0,59,b,att_blue,"(1.0, 7.0, 2.0)",False
v1_15_2,25,a,5020,2.0,16,b,att_blue,"(0.0, 3.0, 2.0)",False
v1_15_2,26,b,26020,2.0,111,a,att_blue,"(3.0, 4.0, 1.0)",True
v1_15_2,27,b,27020,2.0,65,a,att_blue,"(9.0, 5.0, 2.0)",False
v1_15_2,28,b,28020,2.0,54,a,att_blue,"(5.0, 2.0, 5.0)",False
v1_15_2,29,b,29020,2.0,189,a,att_blue,"(5.0, 2.0, 5.0)",False
v1_15_2,32,a,2100,10.0,2433,b,att_blue,"(9.0, 5.0, 2.0)",False
v1_15_2,33,a,3100,10.0,36,b,att_blue,"(9.0, 5.0, 2.0)",False
v1_15_2,34,a,4100,10.0,442,b,att_blue,"(6.0, 1.0, 4.0)",False
v1_15_2,36,a,6100,10.0,79,b,att_blue,"(1.0, 1.0, 3.0)",True
v1_15_2,38,b,28100,10.0,12307,a,att_blue,"(5.0, 2.0, 5.0)",False
v1_15_2,39,b,29100,10.0,48,a,att_blue,"(5.0, 2.0, 2.0)",True
