arch,run_idx,seed,hazard_cost,num_steps,object_id,surprise_step,resolution_step,resolution_window,suppressed_approach_count,pre_threshold_entries_at_surprise,bias_active_steps,approach_delta
v1_10,1,1869897005,0.1,320000,haz_yellow,493,524,31,1,1,0,0
v1_10,2,1489290374,0.1,320000,haz_yellow,493,522,29,1,1,0,0
v1_10,3,1108683743,0.1,320000,haz_yellow,493,523,30,1,1,0,0
v1_10,4,628738225,0.1,320000,haz_yellow,493,522,29,1,1,0,0
v1_10,5,248131594,0.1,320000,haz_yellow,493,522,29,1,1,0,0
v1_10,6,1915669724,0.1,320000,haz_yellow,493,531,38,1,1,0,0
v1_10,7,1535063093,0.1,320000,haz_yellow,493,526,33,1,1,0,0
v1_10,8,1154456462,0.1,320000,haz_yellow,493,55129,54636,29,1,0,0
v1_10,9,674510944,0.1,320000,haz_yellow,493,522,29,1,1,0,0
v1_10,0,496635339,1.0,320000,haz_yellow,493,524,31,1,1,0,0
v1_10,1,16689821,1.0,320000,haz_yellow,493,522,29,1,1,0,0
v1_10,2,1783566838,1.0,320000,haz_yellow,493,570,77,2,1,0,0
v1_10,4,923014689,1.0,320000,haz_yellow,493,522,29,1,1,0,0
v1_10,5,542408058,1.0,320000,haz_yellow,493,1075,582,1,1,0,0
v1_10,6,62462540,1.0,320000,haz_yellow,493,523,30,1,1,0,0
v1_10,7,1829339557,1.0,320000,haz_yellow,493,523,30,1,1,0,0
v1_10,8,1349394039,1.0,320000,haz_yellow,493,22983,22490,11,1,0,0
v1_10,9,968787408,1.0,320000,haz_yellow,493,523,30,1,1,0,0
v1_10,0,271697600,2.0,320000,haz_yellow,493,524,31,1,1,0,0
v1_10,1,1939235730,2.0,320000,haz_yellow,493,522,29,1,1,0,0
v1_10,2,1558629099,2.0,320000,haz_yellow,493,525,32,1,1,0,0
v1_10,4,698076950,2.0,320000,haz_yellow,493,522,29,1,1,0,0
v1_10,5,317470319,2.0,320000,haz_yellow,493,526,33,1,1,0,0
v1_10,6,1985008449,2.0,320000,haz_yellow,493,1367,874,1,1,0,0
v1_10,7,1604401818,2.0,320000,haz_yellow,493,523,30,1,1,0,0
v1_10,8,1124456300,2.0,320000,haz_yellow,493,1085,592,1,1,0,0
v1_10,0,565380326,10.0,320000,haz_yellow,493,122401,121908,61,1,0,0
v1_10,1,184773695,10.0,320000,haz_yellow,493,868,375,1,1,0,0
v1_10,2,1852311825,10.0,320000,haz_yellow,493,523,30,1,1,0,0
v1_10,3,1471705194,10.0,320000,haz_yellow,493,1378,885,1,1,0,0
v1_10,4,1091098563,10.0,320000,haz_green,138592,151596,13004,51,1,0,0
v1_10,4,1091098563,10.0,320000,haz_yellow,493,527,34,1,1,0,0
v1_10,5,611153045,10.0,320000,haz_unaff_2,1059,59651,58592,19,3,0,0
v1_10,5,611153045,10.0,320000,haz_yellow,493,59641,59148,29,1,0,0
v1_10,6,230546414,10.0,320000,haz_yellow,493,523,30,1,1,0,0
v1_10,7,1898084544,10.0,320000,haz_yellow,493,722,229,2,1,0,0
v1_10,8,1517477913,10.0,320000,haz_yellow,493,1511,1018,2,1,0,0
v1_10,9,1037532395,10.0,320000,haz_unaff_2,18842,18846,4,7,1,0,0
v1_10,9,1037532395,10.0,320000,haz_yellow,493,1057,564,1,1,0,0
