i_cost,i_steps,i_run_idx,j_cost,j_steps,j_run_idx,d_order,d_content,d_xref,d_conf,d_composite,same_cell
0.1,20000,0,0.1,20000,1,0.380952,0.533333,1.000000,0.515711,0.607499,1
0.1,20000,0,0.1,20000,2,0.318182,0.142857,1.000000,0.077115,0.384538,1
0.1,20000,0,0.1,20000,3,0.378788,0.250000,1.000000,0.485437,0.528556,1
0.1,20000,0,0.1,20000,4,0.444444,0.285714,1.000000,0.213454,0.485903,1
0.1,20000,0,0.1,20000,5,0.464286,0.529412,1.000000,0.523009,0.629177,1
0.1,20000,0,0.1,20000,6,0.600000,0.642857,1.000000,0.514939,0.689449,1
0.1,20000,0,0.1,20000,7,0.242424,0.250000,1.000000,0.307521,0.449986,1
0.1,20000,0,0.1,20000,8,0.388889,0.400000,1.000000,0.577294,0.591546,1
0.1,20000,0,0.1,20000,9,0.428571,0.384615,1.000000,0.378519,0.547926,1
0.1,20000,0,0.1,80000,0,0.303030,0.294118,1.000000,0.491430,0.522145,0
0.1,20000,0,0.1,80000,1,0.222222,0.333333,1.000000,0.428678,0.496058,0
0.1,20000,0,0.1,80000,2,0.269231,0.133333,0.500000,0.489521,0.348021,0
0.1,20000,0,0.1,80000,3,0.346154,0.000000,0.000000,0.142902,0.122264,0
0.1,20000,0,0.1,80000,4,0.205128,0.133333,0.500000,0.537706,0.344042,0
0.1,20000,0,0.1,80000,5,0.272727,0.142857,1.000000,0.237500,0.413271,0
0.1,20000,0,0.1,80000,6,0.346154,0.133333,0.500000,0.453993,0.358370,0
0.1,20000,0,0.1,80000,7,0.272727,0.142857,1.000000,0.321546,0.434283,0
0.1,20000,0,0.1,80000,8,0.363636,0.142857,1.000000,0.327097,0.458398,0
0.1,20000,0,0.1,80000,9,0.590909,0.200000,1.000000,0.323104,0.528503,0
0.1,20000,0,0.1,160000,0,0.484848,0.250000,1.000000,0.496477,0.557831,0
0.1,20000,0,0.1,160000,1,0.076923,0.133333,0.500000,0.507825,0.304520,0
0.1,20000,0,0.1,160000,2,0.357143,0.466667,1.000000,0.524609,0.587105,0
0.1,20000,0,0.1,160000,3,0.294872,0.187500,0.666667,0.526472,0.418878,0
0.1,20000,0,0.1,160000,4,0.530303,0.142857,1.000000,0.349808,0.505742,0
0.1,20000,0,0.1,160000,5,0.287879,0.250000,1.000000,0.508961,0.511710,0
0.1,20000,0,0.1,160000,6,0.217949,0.071429,0.000000,0.304012,0.148347,0
0.1,20000,0,0.1,160000,7,0.355556,0.333333,1.000000,0.507226,0.549029,0
0.1,20000,0,0.1,160000,8,0.500000,0.250000,1.000000,0.533119,0.570780,0
0.1,20000,0,0.1,160000,9,0.409091,0.142857,1.000000,0.368558,0.480126,0
0.1,20000,0,0.5,20000,0,0.200000,0.642857,1.000000,0.411173,0.563508,0
0.1,20000,0,0.5,20000,1,0.288889,0.230769,1.000000,0.363489,0.470787,0
0.1,20000,0,0.5,20000,2,0.285714,0.461538,1.000000,0.352466,0.524930,0
0.1,20000,0,0.5,20000,3,0.287879,0.076923,1.000000,0.181036,0.386460,0
