cost,num_steps,n_pairs,mean,std,min,max
0.1,20000,45,0.525797,0.108732,0.228874,0.709287
0.1,80000,45,0.472444,0.101522,0.133705,0.615871
0.1,160000,45,0.479630,0.111340,0.177850,0.648837
0.5,20000,45,0.440588,0.165467,0.132597,0.763878
0.5,80000,45,0.362962,0.155913,0.118174,0.599482
0.5,160000,45,0.442734,0.083955,0.157314,0.554664
1.0,20000,45,0.319729,0.123734,0.090012,0.599994
1.0,80000,45,0.505971,0.108447,0.177642,0.728463
1.0,160000,45,0.469886,0.108007,0.164715,0.642145
2.0,20000,45,0.427638,0.171808,0.072243,0.687515
2.0,80000,45,0.448347,0.172320,0.116434,0.717828
2.0,160000,45,0.456079,0.103671,0.154698,0.643066
5.0,20000,45,0.470172,0.169075,0.174801,0.872220
5.0,80000,45,0.481322,0.148463,0.143564,0.676936
5.0,160000,45,0.438469,0.137784,0.124147,0.629036
10.0,20000,45,0.371537,0.135128,0.155367,0.700951
10.0,80000,45,0.489954,0.124290,0.148584,0.662813
10.0,160000,45,0.459228,0.127879,0.126770,0.656959
