arch,run_idx,seed,hazard_cost,num_steps,env,object_id,surprise_step,resolution_step,chain_depth,chain_complete,truncated_at,links_surprise,links_precondition,links_mastery_formation,links_phase1_absence,links_suppressed_approach,links_belief_revision
v1_12,0,202358875,0.1,500000,1,haz_yellow,493,364892,6,True,,1,1,1,1,1,1
v1_12,1,1869897005,0.1,500000,1,haz_yellow,493,524,6,True,,1,1,1,1,1,1
v1_12,2,1489290374,0.1,500000,1,haz_yellow,493,522,6,True,,1,1,1,1,1,1
v1_12,3,1108683743,0.1,500000,1,haz_yellow,493,523,6,True,,1,1,1,1,1,1
v1_12,4,628738225,0.1,500000,1,haz_yellow,493,522,6,True,,1,1,1,1,1,1
v1_12,5,248131594,0.1,500000,1,haz_yellow,493,522,6,True,,1,1,1,1,1,1
v1_12,6,1915669724,0.1,500000,1,haz_yellow,493,531,6,True,,1,1,1,1,1,1
v1_12,7,1535063093,0.1,500000,1,haz_yellow,493,526,6,True,,1,1,1,1,1,1
v1_12,8,1154456462,0.1,500000,1,haz_yellow,493,55129,6,True,,1,1,1,1,1,1
v1_12,9,674510944,0.1,500000,1,haz_yellow,493,522,6,True,,1,1,1,1,1,1
v1_12,0,496635339,1.0,500000,1,haz_yellow,493,524,6,True,,1,1,1,1,1,1
v1_12,1,16689821,1.0,500000,1,haz_yellow,493,522,6,True,,1,1,1,1,1,1
v1_12,2,1783566838,1.0,500000,1,haz_yellow,493,570,6,True,,1,1,1,1,1,1
v1_12,4,923014689,1.0,500000,1,haz_yellow,493,522,6,True,,1,1,1,1,1,1
v1_12,5,542408058,1.0,500000,1,haz_yellow,493,1075,6,True,,1,1,1,1,1,1
v1_12,6,62462540,1.0,500000,1,haz_yellow,493,523,6,True,,1,1,1,1,1,1
v1_12,7,1829339557,1.0,500000,1,haz_yellow,493,523,6,True,,1,1,1,1,1,1
v1_12,8,1349394039,1.0,500000,1,haz_yellow,493,22983,6,True,,1,1,1,1,1,1
v1_12,9,968787408,1.0,500000,1,haz_yellow,493,523,6,True,,1,1,1,1,1,1
v1_12,0,271697600,2.0,500000,1,haz_yellow,493,524,6,True,,1,1,1,1,1,1
v1_12,1,1939235730,2.0,500000,1,haz_yellow,493,522,6,True,,1,1,1,1,1,1
v1_12,2,1558629099,2.0,500000,1,haz_yellow,493,525,6,True,,1,1,1,1,1,1
v1_12,4,698076950,2.0,500000,1,haz_yellow,493,522,6,True,,1,1,1,1,1,1
v1_12,5,317470319,2.0,500000,1,haz_yellow,493,526,6,True,,1,1,1,1,1,1
v1_12,6,1985008449,2.0,500000,1,haz_yellow,493,1367,6,True,,1,1,1,1,1,1
v1_12,7,1604401818,2.0,500000,1,haz_yellow,493,523,6,True,,1,1,1,1,1,1
v1_12,8,1124456300,2.0,500000,1,haz_yellow,493,1085,6,True,,1,1,1,1,1,1
v1_12,0,565380326,10.0,500000,1,haz_yellow,493,122401,6,True,,1,1,1,1,1,1
v1_12,1,184773695,10.0,500000,1,haz_yellow,493,868,6,True,,1,1,1,1,1,1
v1_12,2,1852311825,10.0,500000,1,haz_yellow,493,523,6,True,,1,1,1,1,1,1
v1_12,3,1471705194,10.0,500000,1,haz_yellow,493,1378,6,True,,1,1,1,1,1,1
v1_12,4,1091098563,10.0,500000,1,haz_green,138592,151596,6,True,,1,1,1,1,1,1
v1_12,4,1091098563,10.0,500000,1,haz_yellow,493,527,6,True,,1,1,1,1,1,1
v1_12,5,611153045,10.0,500000,1,haz_unaff_2,1059,59651,1,False,precondition,1,0,0,0,0,0
v1_12,5,611153045,10.0,500000,1,haz_unaff_2,4144,59651,1,False,precondition,1,0,0,0,0,0
v1_12,5,611153045,10.0,500000,1,haz_unaff_2,24877,59651,1,False,precondition,1,0,0,0,0,0
v1_12,5,611153045,10.0,500000,1,haz_yellow,493,59641,6,True,,1,1,1,1,1,1
v1_12,6,230546414,10.0,500000,1,haz_yellow,493,523,6,True,,1,1,1,1,1,1
v1_12,7,1898084544,10.0,500000,1,haz_yellow,493,722,6,True,,1,1,1,1,1,1
v1_12,8,1517477913,10.0,500000,1,haz_yellow,493,1511,6,True,,1,1,1,1,1,1
v1_12,9,1037532395,10.0,500000,1,haz_unaff_2,18842,18846,1,False,precondition,1,0,0,0,0,0
v1_12,9,1037532395,10.0,500000,1,haz_yellow,493,1057,6,True,,1,1,1,1,1,1
