arch,hazard_cost,num_steps,run_idx,seed,tier_structure_similarity,form_progression_parallelism,traversal_sequence_distance,green_traversal_complete,yellow_traversal_complete,both_complete,green_first,traversal_interleaving,cross_family_comparison_complete
arch,hazard_cost,num_steps,run_idx,seed,tier_structure_similarity,form_progression_parallelism,traversal_sequence_distance,green_traversal_complete,yellow_traversal_complete,both_complete,green_first,traversal_interleaving,cross_family_comparison_complete
v1_5,0.1,20000,0,57270932,0.3333333333333333,1.0,0.83106,True,False,False,True,interleaved,False
v1_5,0.1,20000,1,1824147949,0.0,1.0,0.70566,True,True,True,True,interleaved,True
v1_5,0.1,20000,2,1443541318,0.0,1.0,0.73138,True,True,True,True,interleaved,True
v1_5,0.1,20000,3,963595800,0.0,1.0,0.75679,True,True,True,True,interleaved,True
v1_5,0.1,20000,4,582989169,0.6666666666666666,1.0,0.87929,True,False,False,True,yellow_then_green,False
v1_5,0.1,20000,5,103043651,0.6666666666666666,1.0,0.89224,True,False,False,True,yellow_then_green,False
v1_5,0.1,20000,6,1869920668,0.0,1.0,0.701965,False,False,False,,yellow_then_green,False
v1_5,0.1,20000,7,1389975150,0.6666666666666666,1.0,0.87657,True,False,False,True,yellow_then_green,False
v1_5,0.1,20000,8,1009368519,0.3333333333333333,1.0,0.8021,True,False,False,True,interleaved,False
v1_5,0.1,20000,9,628761888,0.0,1.0,0.72822,True,True,True,True,interleaved,True
v1_5,0.5,20000,0,1998205159,0.6666666666666666,1.0,0.82216,True,False,False,True,yellow_then_green,False
v1_5,0.5,20000,1,1518259641,0.0,1.0,0.71651,True,True,True,True,interleaved,True
v1_5,0.5,20000,2,1137653010,0.0,1.0,0.8267,True,True,True,True,interleaved,True
v1_5,0.5,20000,3,657707492,0.0,1.0,0.77543,True,True,True,True,interleaved,True
v1_5,0.5,20000,4,277100861,0.3333333333333333,1.0,0.82147,True,False,False,True,interleaved,False
v1_5,0.5,20000,5,1944638991,0.0,1.0,0.78151,True,True,True,True,interleaved,True
v1_5,0.5,20000,6,1564032360,0.6666666666666666,1.0,0.8913,True,False,False,True,yellow_then_green,False
v1_5,0.5,20000,7,1183425729,0.0,1.0,0.71278,True,True,True,False,interleaved,True
v1_5,0.5,20000,8,703480211,0.6666666666666666,1.0,0.87901,True,False,False,True,yellow_then_green,False
v1_5,0.5,20000,9,322873580,0.3333333333333333,1.0,0.788145,False,True,False,True,interleaved,False
v1_5,1.0,20000,0,1646092181,0.6666666666666666,1.0,0.8664,True,False,False,True,yellow_then_green,False
v1_5,1.0,20000,1,1265485550,0.6666666666666666,1.0,0.89188,True,False,False,True,yellow_then_green,False
v1_5,1.0,20000,2,884878919,0.6666666666666666,1.0,0.88643,True,False,False,True,yellow_then_green,False
v1_5,1.0,20000,3,404933401,0.3333333333333333,1.0,0.767865,False,True,False,True,interleaved,False
v1_5,1.0,20000,4,24326770,0.6666666666666666,1.0,0.88537,True,False,False,True,yellow_then_green,False
v1_5,1.0,20000,5,1691864900,0.0,1.0,0.72342,True,True,True,True,interleaved,True
v1_5,1.0,20000,6,1311258269,0.6666666666666666,1.0,0.88697,True,False,False,True,yellow_then_green,False
v1_5,1.0,20000,7,831312751,0.6666666666666666,1.0,0.89329,True,False,False,True,yellow_then_green,False
v1_5,1.0,20000,8,450706120,0.3333333333333333,1.0,0.790845,False,True,False,True,interleaved,False
v1_5,1.0,20000,9,70099489,0.3333333333333333,1.0,0.781665,False,True,False,True,interleaved,False
v1_5,2.0,20000,0,1031269394,0.3333333333333333,1.0,0.744465,False,True,False,True,interleaved,False
v1_5,2.0,20000,1,551323876,0.0,1.0,0.72087,True,True,True,True,interleaved,True
v1_5,2.0,20000,2,170717245,0.0,1.0,0.7721,True,True,True,True,interleaved,True
v1_5,2.0,20000,3,1838255375,0.3333333333333333,1.0,0.739775,False,True,False,True,interleaved,False
v1_5,2.0,20000,4,1457648744,0.6666666666666666,1.0,0.89076,True,False,False,True,yellow_then_green,False
v1_5,2.0,20000,5,977703226,0.3333333333333333,1.0,0.795715,False,True,False,True,interleaved,False
v1_5,2.0,20000,6,597096595,0.3333333333333333,1.0,0.773545,False,True,False,True,interleaved,False
v1_5,2.0,20000,7,216489964,0.0,1.0,0.74844,True,True,True,True,interleaved,True
v1_5,2.0,20000,8,1884028094,0.0,1.0,0.73886,True,True,True,True,interleaved,True
v1_5,2.0,20000,9,1503421463,0.5,1.0,0.848267,False,False,False,True,yellow_then_green,False
v1_5,5.0,20000,0,2101982337,0.0,1.0,0.70871,True,True,True,True,interleaved,True
v1_5,5.0,20000,1,1721375706,0.5,1.0,0.842718,False,False,False,True,yellow_then_green,False
v1_5,5.0,20000,2,1241430188,0.0,1.0,0.76144,True,True,True,True,interleaved,True
v1_5,5.0,20000,3,860823557,0.6666666666666666,1.0,0.85635,True,False,False,True,yellow_then_green,False
v1_5,5.0,20000,4,380878039,0.3333333333333333,1.0,0.759295,False,True,False,True,interleaved,False
v1_5,5.0,20000,5,271408,0.0,1.0,0.71633,True,True,True,True,interleaved,True
v1_5,5.0,20000,6,1667809538,0.0,1.0,0.752657,False,False,False,True,interleaved,False
v1_5,5.0,20000,7,1287202907,0.3333333333333333,1.0,0.768485,False,True,False,True,interleaved,False
v1_5,5.0,20000,8,906596276,0.3333333333333333,1.0,0.75096,True,False,False,True,interleaved,False
v1_5,5.0,20000,9,426650758,0.0,1.0,0.77331,True,True,True,False,interleaved,True
v1_5,10.0,20000,0,1814176055,0.0,1.0,0.74994,True,True,True,True,interleaved,True
v1_5,10.0,20000,1,1433569424,0.0,1.0,0.75999,True,True,True,True,interleaved,True
v1_5,10.0,20000,2,953623906,0.0,1.0,0.73764,True,True,True,True,interleaved,True
v1_5,10.0,20000,3,573017275,0.0,1.0,0.74559,True,True,True,True,interleaved,True
v1_5,10.0,20000,4,93071757,0.6666666666666666,1.0,0.86176,True,False,False,True,yellow_then_green,False
v1_5,10.0,20000,5,1859948774,0.6666666666666666,1.0,0.857555,False,True,False,False,interleaved,False
v1_5,10.0,20000,6,1380003256,0.6666666666666666,1.0,0.8932,True,False,False,True,yellow_then_green,False
v1_5,10.0,20000,7,999396625,0.0,1.0,0.73047,True,True,True,True,interleaved,True
v1_5,10.0,20000,8,618789994,0.5,1.0,0.848402,False,False,False,True,yellow_then_green,False
v1_5,10.0,20000,9,138844476,0.3333333333333333,1.0,0.766135,False,True,False,True,interleaved,False
v1_5,0.1,80000,0,945163498,0.0,1.0,0.784275,True,True,True,True,interleaved,True
v1_5,0.1,80000,1,564556867,0.6666666666666666,1.0,0.894772,True,False,False,True,yellow_then_green,False
v1_5,0.1,80000,2,84611349,0.0,1.0,0.70606,True,True,True,True,interleaved,True
v1_5,0.1,80000,3,1851488366,0.0,1.0,0.763745,True,True,True,True,interleaved,True
v1_5,0.1,80000,4,1371542848,0.6666666666666666,1.0,0.894422,True,False,False,True,yellow_then_green,False
v1_5,0.1,80000,5,990936217,0.0,1.0,0.720073,True,True,True,True,interleaved,True
v1_5,0.1,80000,6,510990699,0.3333333333333333,1.0,0.780091,False,True,False,False,interleaved,False
v1_5,0.1,80000,7,130384068,0.0,1.0,0.71049,True,True,True,True,interleaved,True
v1_5,0.1,80000,8,1897261085,0.0,1.0,0.719895,True,True,True,True,interleaved,True
v1_5,0.1,80000,9,1417315567,0.5,1.0,0.819151,False,False,False,True,yellow_then_green,False
v1_5,0.5,80000,0,1444596040,0.0,1.0,0.793452,True,True,True,True,interleaved,True
v1_5,0.5,80000,1,1063989409,0.0,1.0,0.79895,True,True,True,True,interleaved,True
v1_5,0.5,80000,2,683382778,0.6666666666666666,1.0,0.898577,True,False,False,True,yellow_then_green,False
v1_5,0.5,80000,3,203437260,0.0,1.0,0.745625,True,True,True,True,interleaved,True
v1_5,0.5,80000,4,1970314277,0.0,1.0,0.735132,True,True,True,True,interleaved,True
v1_5,0.5,80000,5,1490368759,0.0,1.0,0.769762,True,True,True,True,interleaved,True
v1_5,0.5,80000,6,1109762128,0.0,1.0,0.70894,True,True,True,True,interleaved,True
v1_5,0.5,80000,7,629816610,0.0,1.0,0.712495,True,True,True,True,interleaved,True
v1_5,0.5,80000,8,249209979,0.3333333333333333,1.0,0.833947,True,False,False,True,interleaved,False
v1_5,0.5,80000,9,2016086996,0.3333333333333333,1.0,0.85136,True,False,False,True,interleaved,False
v1_5,1.0,80000,0,1191821949,0.0,1.0,0.780125,True,True,True,False,interleaved,True
v1_5,1.0,80000,1,811215318,0.3333333333333333,1.0,0.792791,False,True,False,True,interleaved,False
v1_5,1.0,80000,2,331269800,0.6666666666666666,1.0,0.897875,True,False,False,True,yellow_then_green,False
v1_5,1.0,80000,3,2098146817,0.0,1.0,0.715777,True,True,True,True,interleaved,True
v1_5,1.0,80000,4,1717540186,0.0,1.0,0.752395,True,True,True,True,interleaved,True
v1_5,1.0,80000,5,1237594668,0.0,1.0,0.746105,True,True,True,True,interleaved,True
v1_5,1.0,80000,6,856988037,0.6666666666666666,1.0,0.873271,False,True,False,False,interleaved,False
v1_5,1.0,80000,7,377042519,0.0,1.0,0.70244,True,True,True,True,interleaved,True
v1_5,1.0,80000,8,2143919536,0.0,1.0,0.76217,True,True,True,True,interleaved,True
v1_5,1.0,80000,9,1663974018,0.0,1.0,0.78054,True,True,True,False,interleaved,True
v1_5,2.0,80000,0,966884210,0.3333333333333333,1.0,0.8004,True,False,False,True,interleaved,False
v1_5,2.0,80000,1,586277579,0.0,1.0,0.712045,True,True,True,True,interleaved,True
v1_5,2.0,80000,2,106332061,0.0,1.0,0.726355,True,True,True,True,interleaved,True
v1_5,2.0,80000,3,1873209078,0.0,1.0,0.741497,True,True,True,True,interleaved,True
v1_5,2.0,80000,4,1492602447,0.0,1.0,0.710062,True,True,True,True,interleaved,True
v1_5,2.0,80000,5,1012656929,0.0,1.0,0.71154,True,True,True,False,interleaved,True
v1_5,2.0,80000,6,632050298,0.0,1.0,0.75031,True,True,True,True,interleaved,True
v1_5,2.0,80000,7,152104780,0.0,1.0,0.75954,True,True,True,False,interleaved,True
v1_5,2.0,80000,8,1918981797,0.0,1.0,0.724652,True,True,True,True,interleaved,True
v1_5,2.0,80000,9,1538375166,0.0,1.0,0.70713,True,True,True,True,interleaved,True
v1_5,5.0,80000,0,842391255,0.0,1.0,0.705665,True,True,True,True,interleaved,True
v1_5,5.0,80000,1,362445737,0.0,1.0,0.716935,True,True,True,True,interleaved,True
v1_5,5.0,80000,2,2129322754,0.6666666666666666,1.0,0.892643,True,False,False,True,yellow_then_green,False
v1_5,5.0,80000,3,1649377236,0.0,1.0,0.7785,True,True,True,True,interleaved,True
v1_5,5.0,80000,4,1268770605,0.0,1.0,0.759062,True,True,True,True,interleaved,True
v1_5,5.0,80000,5,788825087,0.0,1.0,0.71377,True,True,True,True,interleaved,True
v1_5,5.0,80000,6,408218456,0.3333333333333333,1.0,0.791441,False,True,False,True,interleaved,False
v1_5,5.0,80000,7,27611825,0.0,1.0,0.71418,True,True,True,False,interleaved,True
v1_5,5.0,80000,8,1695149955,0.0,1.0,0.758562,True,True,True,True,interleaved,True
v1_5,5.0,80000,9,1314543324,0.0,1.0,0.715817,True,True,True,True,interleaved,True
v1_5,10.0,80000,0,1359905823,0.0,1.0,0.773532,True,True,True,True,interleaved,True
v1_5,10.0,80000,1,879960305,0.0,1.0,0.715897,True,True,True,True,interleaved,True
v1_5,10.0,80000,2,499353674,0.0,1.0,0.756642,True,True,True,True,interleaved,True
