arch,run_idx,seed,hazard_cost,num_steps,object_id,closest_approach_step,closest_approach_distance,phase_at_approach,goal_relevant,pre_threshold_entries
,,,,,haz_green,5,6.164414,1,True,0
,,,,,haz_blue,5,1.0,1,False,0
,,,,,haz_unaff_2,5,3.162278,1,False,0
,,,,,dist_green,4,4.358899,1,True,0
,,,,,haz_yellow,27,7.483315,1,False,0
,,,,,haz_unaff_0,106,6.164414,1,False,0
,,,,,haz_unaff_1,106,7.0,1,False,0
,,,,,haz_blue,511,3.0,1,False,0
,,,,,haz_unaff_2,511,3.741657,1,False,0
,,,,,haz_green,525,3.162278,1,True,0
,,,,,dist_green,507,5.656854,1,True,0
,,,,,haz_unaff_1,608,6.0,2,False,0
,,,,,haz_unaff_0,611,5.385165,2,False,0
,,,,,haz_yellow,611,6.78233,2,False,1
,,,,,haz_blue,865,5.196152,2,False,0
,,,,,haz_unaff_2,1550,6.403124,2,False,0
,,,,,haz_unaff_1,1957,4.472136,2,False,0
,,,,,haz_blue,2683,5.196152,2,False,0
,,,,,haz_yellow,3080,2.236068,2,False,1
,,,,,haz_green,2848,7.874008,2,True,0
,,,,,haz_unaff_2,2683,5.656854,2,False,0
,,,,,dist_green,3614,7.071068,2,True,0
,,,,,haz_green,4211,6.78233,2,True,0
,,,,,haz_blue,4211,4.582576,2,False,0
,,,,,haz_unaff_2,4211,3.741657,2,False,0
,,,,,haz_yellow,4963,2.44949,2,False,1
,,,,,haz_green,5699,7.874008,2,True,0
,,,,,haz_blue,5770,5.385165,2,False,0
,,,,,haz_unaff_2,6088,5.385165,2,False,0
,,,,,haz_unaff_0,6097,5.656854,2,False,0
,,,,,haz_unaff_1,6242,5.09902,2,False,0
,,,,,haz_yellow,6204,3.464102,2,False,1
,,,,,dist_green,6521,6.082763,2,True,0
,,,,,haz_green,7704,8.3666,2,True,0
,,,,,haz_yellow,8197,2.44949,2,False,1
,,,,,haz_green,8124,6.63325,2,True,0
,,,,,haz_blue,8381,5.196152,2,False,0
,,,,,haz_unaff_2,8124,4.690416,2,False,0
,,,,,haz_unaff_1,9132,3.316625,2,False,0
,,,,,haz_unaff_1,9969,3.605551,2,False,0
,,,,,haz_unaff_0,9969,3.741657,2,False,0
,,,,,haz_yellow,9878,3.0,2,False,1
