arch,run_idx,agent,seed,hazard_cost,num_steps,activation_step,end_state_banked_step,steps_draw_to_bank,end_state_draw_active
v1_15_1,0,a,202358875,0.1,1000000,,,,False
v1_15_1,0,b,202378875,0.1,1000000,,,,False
v1_15_1,1,a,1869897005,0.1,1000000,,,,False
v1_15_1,1,b,1869917005,0.1,1000000,,,,False
v1_15_1,2,a,1489290374,0.1,1000000,,,,False
v1_15_1,2,b,1489310374,0.1,1000000,,,,False
v1_15_1,3,a,1108683743,0.1,1000000,,,,False
v1_15_1,3,b,1108703743,0.1,1000000,,,,False
v1_15_1,4,a,628738225,0.1,1000000,,,,False
v1_15_1,4,b,628758225,0.1,1000000,,,,False
v1_15_1,5,a,248131594,0.1,1000000,,,,False
v1_15_1,5,b,248151594,0.1,1000000,,,,False
v1_15_1,6,a,1915669724,0.1,1000000,,,,False
v1_15_1,6,b,1915689724,0.1,1000000,,,,False
v1_15_1,7,a,1535063093,0.1,1000000,,,,False
v1_15_1,7,b,1535083093,0.1,1000000,,,,False
v1_15_1,8,a,1154456462,0.1,1000000,,,,False
v1_15_1,8,b,1154476462,0.1,1000000,,,,False
v1_15_1,9,a,674510944,0.1,1000000,,,,False
v1_15_1,9,b,674530944,0.1,1000000,,,,False
v1_15_1,10,a,10,1.0,1000000,,,,False
v1_15_1,10,b,20010,1.0,1000000,,,,False
v1_15_1,11,a,1010,1.0,1000000,,,,False
v1_15_1,11,b,21010,1.0,1000000,,,,False
v1_15_1,12,a,2010,1.0,1000000,,,,False
v1_15_1,12,b,22010,1.0,1000000,,,,False
v1_15_1,13,a,3010,1.0,1000000,,,,False
v1_15_1,13,b,23010,1.0,1000000,,,,False
v1_15_1,14,a,4010,1.0,1000000,,,,False
v1_15_1,14,b,24010,1.0,1000000,,,,False
v1_15_1,15,a,5010,1.0,1000000,,,,False
v1_15_1,15,b,25010,1.0,1000000,,,,False
v1_15_1,16,a,6010,1.0,1000000,,,,False
v1_15_1,16,b,26010,1.0,1000000,,,,False
v1_15_1,17,a,7010,1.0,1000000,,,,False
v1_15_1,17,b,27010,1.0,1000000,,,,False
v1_15_1,18,a,8010,1.0,1000000,,,,False
v1_15_1,18,b,28010,1.0,1000000,,,,False
v1_15_1,19,a,9010,1.0,1000000,,,,False
v1_15_1,19,b,29010,1.0,1000000,,,,False
v1_15_1,20,a,20,2.0,1000000,,,,False
v1_15_1,20,b,20020,2.0,1000000,,,,False
v1_15_1,21,a,1020,2.0,1000000,,,,False
v1_15_1,21,b,21020,2.0,1000000,,,,False
v1_15_1,22,a,2020,2.0,1000000,,,,False
v1_15_1,22,b,22020,2.0,1000000,,,,False
v1_15_1,23,a,3020,2.0,1000000,,,,False
v1_15_1,23,b,23020,2.0,1000000,,,,False
v1_15_1,24,a,4020,2.0,1000000,,,,False
v1_15_1,24,b,24020,2.0,1000000,,,,False
v1_15_1,25,a,5020,2.0,1000000,,,,False
v1_15_1,25,b,25020,2.0,1000000,,,,False
v1_15_1,26,a,6020,2.0,1000000,,,,False
v1_15_1,26,b,26020,2.0,1000000,,,,False
v1_15_1,27,a,7020,2.0,1000000,,,,False
v1_15_1,27,b,27020,2.0,1000000,,,,False
v1_15_1,28,a,8020,2.0,1000000,,,,False
v1_15_1,28,b,28020,2.0,1000000,,,,False
v1_15_1,29,a,9020,2.0,1000000,,,,False
v1_15_1,29,b,29020,2.0,1000000,,,,False
v1_15_1,30,a,100,10.0,1000000,,,,False
v1_15_1,30,b,20100,10.0,1000000,,,,False
v1_15_1,31,a,1100,10.0,1000000,,,,False
v1_15_1,31,b,21100,10.0,1000000,,,,False
v1_15_1,32,a,2100,10.0,1000000,,,,False
v1_15_1,32,b,22100,10.0,1000000,,,,False
v1_15_1,33,a,3100,10.0,1000000,,,,False
v1_15_1,33,b,23100,10.0,1000000,,,,False
v1_15_1,34,a,4100,10.0,1000000,,,,False
v1_15_1,34,b,24100,10.0,1000000,,,,False
v1_15_1,35,a,5100,10.0,1000000,,,,False
v1_15_1,35,b,25100,10.0,1000000,,,,False
v1_15_1,36,a,6100,10.0,1000000,,,,False
v1_15_1,36,b,26100,10.0,1000000,,,,False
v1_15_1,37,a,7100,10.0,1000000,,,,False
v1_15_1,37,b,27100,10.0,1000000,,,,False
v1_15_1,38,a,8100,10.0,1000000,,,,False
v1_15_1,38,b,28100,10.0,1000000,,,,False
v1_15_1,39,a,9100,10.0,1000000,,,,False
v1_15_1,39,b,29100,10.0,1000000,,,,False
