arch,run_idx,seed,hazard_cost,env2_seed,env2_activation_step,env2_end_state_banked_step,env2_yellow_surprise_step,env2_yellow_resolution_window,env2_q5_chain_count,env2_q5_mean_chain_depth
v1_11,2,1489290374,0.1,1489300374,53,55,1,,0,0.0
v1_11,8,1154456462,0.1,1154466462,195,1743,1,,0,0.0
v1_11,7,1829339557,1.0,1829349557,143,144,1,,0,0.0
v1_11,8,1349394039,1.0,1349404039,52,53,1,,0,0.0
v1_11,9,968787408,1.0,968797408,20,21,1,,0,0.0
v1_11,0,271697600,2.0,271707600,12,5798,1,,0,0.0
v1_11,1,1939235730,2.0,1939245730,3,4736,1,,0,0.0
v1_11,2,1558629099,2.0,1558639099,218,12862,1,,0,0.0
v1_11,5,317470319,2.0,317480319,45,5095,1,,0,0.0
v1_11,7,1604401818,2.0,1604411818,17,3927,1,,0,0.0
v1_11,0,565380326,10.0,565390326,16,,1,,0,0.0
v1_11,4,1091098563,10.0,1091108563,119,,1,,0,0.0
v1_11,6,230546414,10.0,230556414,15,17,1,,0,0.0
v1_11,7,1898084544,10.0,1898094544,92,,1,,0,0.0
