arch,run_idx,seed,hazard_cost,env2_seed,env2_activation_step,env2_phase_1_end_step,env2_end_state_banked_step,env2_yellow_pre_transition_entries,env2_yellow_resolution_window,env2_green_pre_transition_entries,env2_green_resolution_window,env2_q5_chain_count,env2_q5_mean_chain_depth,att_blue_mastery_step,att_blue_mastery_env,predicted_record_state_at_run_end,att_blue_sequence_position
v1_13,0,202358875,0.1,202368875,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,2,1489290374,0.1,1489300374,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,3,1108683743,0.1,1108693743,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,4,628738225,0.1,628748225,,,,2,,0,,0,0.0,,,unresolvable,
v1_13,6,1915669724,0.1,1915679724,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,7,1535063093,0.1,1535073093,,,,2,,0,,0,0.0,,,unresolvable,
v1_13,8,1154456462,0.1,1154466462,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,10,496635339,1.0,496645339,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,11,16689821,1.0,16699821,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,14,923014689,1.0,923024689,,,,2,,0,,0,0.0,,,unresolvable,
v1_13,17,1829339557,1.0,1829349557,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,18,1349394039,1.0,1349404039,,,,2,,1,,0,0.0,,,unresolvable,
v1_13,19,968787408,1.0,968797408,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,20,271697600,2.0,271707600,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,21,1939235730,2.0,1939245730,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,22,1558629099,2.0,1558639099,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,25,317470319,2.0,317480319,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,26,1985008449,2.0,1985018449,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,27,1604401818,2.0,1604411818,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,30,565380326,10.0,565390326,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,31,184773695,10.0,184783695,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,32,1852311825,10.0,1852321825,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,34,1091098563,10.0,1091108563,,,,1,,1,,0,0.0,,,unresolvable,
v1_13,35,611153045,10.0,611163045,,,,2,,0,,0,0.0,,,unresolvable,
v1_13,36,230546414,10.0,230556414,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,37,1898084544,10.0,1898094544,,,,1,,0,,0,0.0,,,unresolvable,
v1_13,38,1517477913,10.0,1517487913,,,,1,,0,,0,0.0,,,unresolvable,
