arch,hazard_cost,num_steps,run_idx,seed,green_colour_cell_coord,green_attractor_coord,green_hazard_coord,green_cell_registered,green_cell_first_perception_step,green_cell_first_perception_mode,green_attractor_mastered,green_attractor_mastery_step,green_attractor_colour,green_attractor_form,green_knowledge_banked,green_knowledge_banked_step,green_knowledge_colour,green_knowledge_form,green_crossref_complete,green_crossref_flag_id,yellow_colour_cell_coord,yellow_attractor_coord,yellow_hazard_coord,yellow_cell_registered,yellow_cell_first_perception_step,yellow_cell_first_perception_mode,yellow_attractor_mastered,yellow_attractor_mastery_step,yellow_attractor_colour,yellow_attractor_form,yellow_knowledge_banked,yellow_knowledge_banked_step,yellow_knowledge_colour,yellow_knowledge_form,yellow_crossref_complete,yellow_crossref_flag_id,family_traversal_narrative
v1_3,0.1,20000,0,57270932,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,1777,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,False,,YELLOW,PYRAMID_3D,False,,84:colour_registered:YELLOW|215:colour_registered:GREEN|842:attractor_mastered:GREEN|1777:knowledge_banked:GREEN|8700:attractor_mastered:YELLOW
v1_3,0.1,20000,1,1824147949,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,1411,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,1614,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|350:attractor_mastered:GREEN|1148:attractor_mastered:YELLOW|1411:knowledge_banked:GREEN|1614:knowledge_banked:YELLOW
v1_3,0.1,20000,2,1443541318,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,3169,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,6452,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|402:attractor_mastered:GREEN|3169:knowledge_banked:GREEN|3264:attractor_mastered:YELLOW|6452:knowledge_banked:YELLOW
v1_3,0.1,20000,3,963595800,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,17021,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,6268,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|392:attractor_mastered:GREEN|866:attractor_mastered:YELLOW|6268:knowledge_banked:YELLOW|17021:knowledge_banked:GREEN
v1_3,0.1,20000,4,582989169,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,3931,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,False,,YELLOW,TRIANGLE_2D,False,,YELLOW,PYRAMID_3D,False,,84:colour_registered:YELLOW|215:colour_registered:GREEN|342:attractor_mastered:GREEN|3931:knowledge_banked:GREEN
v1_3,0.1,20000,5,103043651,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,1079,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,False,,YELLOW,TRIANGLE_2D,False,,YELLOW,PYRAMID_3D,False,,84:colour_registered:YELLOW|215:colour_registered:GREEN|604:attractor_mastered:GREEN|1079:knowledge_banked:GREEN
v1_3,0.1,20000,6,1869920668,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,False,,GREEN,SQUARE_2D,False,,GREEN,SPHERE_3D,False,,"(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,False,,YELLOW,TRIANGLE_2D,False,,YELLOW,PYRAMID_3D,False,,84:colour_registered:YELLOW|215:colour_registered:GREEN
v1_3,0.1,20000,7,1389975150,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,4475,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,False,,YELLOW,TRIANGLE_2D,False,,YELLOW,PYRAMID_3D,False,,84:colour_registered:YELLOW|215:colour_registered:GREEN|342:attractor_mastered:GREEN|4475:knowledge_banked:GREEN
v1_3,0.1,20000,8,1009368519,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,10409,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,False,,YELLOW,PYRAMID_3D,False,,84:colour_registered:YELLOW|215:colour_registered:GREEN|434:attractor_mastered:GREEN|10409:knowledge_banked:GREEN|11132:attractor_mastered:YELLOW
v1_3,0.1,20000,9,628761888,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,1609,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,4158,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|346:attractor_mastered:GREEN|1609:knowledge_banked:GREEN|3310:attractor_mastered:YELLOW|4158:knowledge_banked:YELLOW
