==============================================================================================
META-REPORT: v0.9 COST-BASED HAZARDS — 140 RUNS ACROSS 14 CONDITIONS
==============================================================================================

Cost levels: 0.1, 0.5, 1.0, 2.0, 5.0, 10.0
Runs per condition: 10
Life length per run: 20000 steps
Threshold-crossing defined as: hazard entries >= 3

PER-RUN RESULTS (grouped by mode and cost)
----------------------------------------------------------------------------------------------
                  mode |  cost | run | P3conc | P3feat | mast | on | ent P2 | ent P3 |   cost | viol
----------------------------------------------------------------------------------------------
            impassable |   0.0 |   1 |   77.8 |   4.18 |   82 |  2 |      0 |      0 |    0.0 |   no
            impassable |   0.0 |   2 |  124.9 |  23.21 |   56 |  2 |      0 |      0 |    0.0 |   no
            impassable |   0.0 |   3 |   78.1 |   3.94 |   86 |  2 |      0 |      0 |    0.0 |   no
            impassable |   0.0 |   4 |  139.3 |  23.21 |   70 |  3 |      0 |      0 |    0.0 |   no
            impassable |   0.0 |   5 |  139.8 |  23.33 |   77 |  4 |      0 |      0 |    0.0 |   no
            impassable |   0.0 |   6 |  110.1 |  18.48 |   91 |  3 |      0 |      0 |    0.0 |   no
            impassable |   0.0 |   7 |  106.6 |  18.53 |   76 |  3 |      0 |      0 |    0.0 |   no
            impassable |   0.0 |   8 |  143.2 |  23.86 |   49 |  2 |      0 |      0 |    0.0 |   no
            impassable |   0.0 |   9 |   57.3 |  12.16 |  102 |  5 |      0 |      0 |    0.0 |   no
            impassable |   0.0 |  10 |   77.8 |  15.27 |   84 |  5 |      0 |      0 |    0.0 |   no
----------------------------------------------------------------------------------------------
                  cost |   0.1 |   1 |   54.5 |  13.42 |   84 |  2 |      0 |      0 |    0.0 |   no
                  cost |   0.1 |   2 |   93.5 |  18.95 |   98 |  4 |      0 |      0 |    0.0 |   no
                  cost |   0.1 |   3 |   35.4 |  13.18 |   81 |  5 |      0 |      0 |    0.0 |   no
                  cost |   0.1 |   4 |   75.7 |  21.57 |   81 |  3 |      0 |      0 |    0.0 |   no
                  cost |   0.1 |   5 |  126.5 |  21.08 |   47 |  1 |      0 |      0 |    0.0 |   no
                  cost |   0.1 |   6 |  147.5 |  24.58 |   46 |  2 |      0 |      0 |    0.0 |   no
                  cost |   0.1 |   7 |   99.5 |   2.41 |  103 |  4 |      0 |      0 |    0.0 |   no
                  cost |   0.1 |   8 |   32.9 |  12.62 |   89 |  5 |      0 |      0 |    0.0 |   no
