arch,run_idx,seed,hazard_cost,arc_complete,transformation_step,post_completion_steps,post_completion_contacts,post_completion_objects,behaviour_category,shape_connector_fired
v1_16,0,202358875,0.1,True,9,199990,179581,att_yellow|att_free_1|haz_blue|att_free_2|dist_green|att_green|dist_yellow|att_free_3,attractor_revisit,True
v1_16,1,1869897005,0.1,True,14,199985,179456,dist_yellow|att_yellow|att_free_1|haz_blue|att_free_2|att_green|dist_green,attractor_revisit,True
v1_16,2,1489290374,0.1,True,108,199891,179891,dist_yellow|att_yellow|att_free_1|haz_blue|att_free_2|att_green|dist_green,attractor_revisit,True
v1_16,3,1108683743,0.1,True,34,199965,179447,att_free_1|att_yellow|dist_yellow|haz_blue|att_free_2|dist_green|att_green,attractor_revisit,True
v1_16,4,628738225,0.1,True,20,199979,177150,att_free_1|haz_blue|att_free_2|dist_green|att_green,attractor_revisit,True
v1_16,5,248131594,0.1,True,17,199982,179036,att_yellow|dist_yellow|att_free_0|haz_blue|att_free_2|dist_green|att_green|att_free_3|haz_green|att_free_1,attractor_revisit,True
v1_16,6,1915669724,0.1,True,94,199905,178706,dist_yellow|att_yellow|att_free_1|haz_blue|att_free_2|att_green|dist_green|att_free_3,attractor_revisit,True
v1_16,7,1535063093,0.1,True,3,199996,179281,dist_yellow|att_free_1|att_yellow|haz_blue|att_free_2|att_green|dist_green,attractor_revisit,True
v1_16,8,1154456462,0.1,True,7,199992,179632,att_free_1|att_yellow|dist_yellow|haz_blue|att_free_2|att_green|dist_green,attractor_revisit,True
v1_16,9,674510944,0.1,True,275,199724,179127,att_free_1|att_yellow|dist_yellow|haz_blue|att_free_2|dist_green|att_green,attractor_revisit,True
v1_16,10,10,1.0,True,34,199965,179436,att_free_1|att_yellow|dist_yellow|haz_blue|att_free_2|att_green|dist_green|att_free_3,attractor_revisit,True
v1_16,11,1010,1.0,True,9,199990,178240,att_yellow|dist_yellow|att_free_0|haz_blue|att_free_2|att_green|dist_green,attractor_revisit,True
v1_16,12,2010,1.0,True,36,199963,179604,att_free_1|att_yellow|dist_yellow|haz_blue|att_free_2|att_green|dist_green,attractor_revisit,True
v1_16,13,3010,1.0,True,12,199987,179134,att_free_1|att_yellow|dist_yellow|att_free_2|haz_blue|dist_green|att_green|haz_unaff_2|att_free_3,attractor_revisit,True
v1_16,14,4010,1.0,True,36,199963,179218,dist_yellow|att_yellow|att_free_1|haz_blue|att_free_2|att_green|dist_green,attractor_revisit,True
v1_16,15,5010,1.0,True,38,199961,179295,att_free_1|att_yellow|dist_yellow|haz_blue|att_free_2|att_green|dist_green|att_free_3|haz_green,attractor_revisit,True
v1_16,16,6010,1.0,True,3,199996,175386,att_free_1|att_yellow|dist_yellow|haz_blue|att_free_2|att_green|dist_green,attractor_revisit,True
