arch,run_idx,seed,hazard_cost,object_id,predicted_precondition,basis_chains,state,prediction_step,confirmation_step,confirming_env,unresolvable
v1_16,0,202358875,0.1,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,39000,65,2,False
v1_16,1,1869897005,0.1,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,3000,381,2,False
v1_16,2,1489290374,0.1,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,301,2,False
v1_16,3,1108683743,0.1,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,98,2,False
v1_16,4,628738225,0.1,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,63,2,False
v1_16,5,248131594,0.1,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,38500,88,2,False
v1_16,6,1915669724,0.1,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,2000,150,2,False
v1_16,7,1535063093,0.1,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,81,2,False
v1_16,8,1154456462,0.1,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,196,2,False
v1_16,9,674510944,0.1,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1500,436,2,False
v1_16,10,10,1.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,2500,29,2,False
v1_16,11,1010,1.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1500,95,2,False
v1_16,12,2010,1.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1500,176,2,False
v1_16,13,3010,1.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,159,2,False
v1_16,14,4010,1.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,264000,192,2,False
v1_16,15,5010,1.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,176,2,False
v1_16,16,6010,1.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,42,2,False
v1_16,17,7010,1.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,414,2,False
v1_16,18,8010,1.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,68,2,False
v1_16,19,9010,1.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,277,2,False
v1_16,20,20,2.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,3000,71,2,False
v1_16,21,1020,2.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,2337,2,False
v1_16,22,2020,2.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1500,20,2,False
v1_16,23,3020,2.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,22,2,False
v1_16,24,4020,2.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,220,2,False
v1_16,25,5020,2.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,305,2,False
v1_16,26,6020,2.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,2000,674,2,False
v1_16,27,7020,2.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,7000,99,2,False
v1_16,28,8020,2.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,351,2,False
v1_16,29,9020,2.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1500,13,2,False
v1_16,30,100,10.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,568,2,False
v1_16,31,1100,10.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,270500,93,2,False
v1_16,32,2100,10.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,748,2,False
v1_16,33,3100,10.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,226,2,False
v1_16,34,4100,10.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,197500,89,2,False
v1_16,35,5100,10.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,3500,543,2,False
v1_16,36,6100,10.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,32000,44,2,False
v1_16,37,7100,10.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,268,2,False
v1_16,38,8100,10.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,1000,39,2,False
v1_16,39,9100,10.0,haz_blue,att_blue,haz_green|haz_yellow|shape:haz_green|shape:haz_yellow,confirmed,2500,97,2,False
