arch,hazard_cost,num_steps,run_idx,seed,flag_type,flag_coord,flag_id,flag_set_step,confirming_observations,disconfirming_observations,last_confirmation_step,last_observation_step,transformed_at_step,derived_knowledge_flag_id,derived_from_threat_flag_id
v1_10,0.1,320000,0,202358875,mastery,att_free_1,mastery:att_free_1,520,0,0,,520,,,
v1_10,0.1,320000,0,202358875,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,526,0,0,,526,,,
v1_10,0.1,320000,0,202358875,mastery,att_free_3,mastery:att_free_3,530,41,0,575,575,,,
v1_10,0.1,320000,0,202358875,mastery,att_free_2,mastery:att_free_2,614,12,0,38816,38816,,,
v1_10,0.1,320000,0,202358875,mastery,att_green,mastery:att_green,633,18,0,270538,270538,,,
v1_10,0.1,320000,0,202358875,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,38617,9,0,38659,38659,,,
v1_10,0.1,320000,0,202358875,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,38622,18,0,38643,38643,,,
v1_10,0.1,320000,0,202358875,knowledge_banking,haz_green,knowledge_banking:haz_green,38667,1,0,38668,38668,,,
v1_10,0.1,320000,1,1869897005,mastery,att_free_1,mastery:att_free_1,519,0,0,,519,,,
v1_10,0.1,320000,1,1869897005,mastery,att_yellow,mastery:att_yellow,524,0,0,,524,,,
v1_10,0.1,320000,1,1869897005,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,651,0,0,,651,,,
v1_10,0.1,320000,1,1869897005,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,39778,0,0,,39778,,,
v1_10,0.1,320000,1,1869897005,mastery,att_free_3,mastery:att_free_3,39784,3,0,39788,39788,,,
v1_10,0.1,320000,1,1869897005,threat,haz_green,threat:haz_green,39849,1,0,191999,191999,,,
v1_10,0.1,320000,1,1869897005,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,39871,0,0,,39871,,,
v1_10,0.1,320000,1,1869897005,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,39875,12,0,39887,39887,,,
v1_10,0.1,320000,1,1869897005,mastery,att_free_2,mastery:att_free_2,119582,3,0,119585,119585,,,
v1_10,0.1,320000,2,1489290374,mastery,att_free_1,mastery:att_free_1,518,14,0,287735,287735,,,
v1_10,0.1,320000,2,1489290374,mastery,att_yellow,mastery:att_yellow,522,52,0,309709,309709,,,
v1_10,0.1,320000,2,1489290374,mastery,att_free_0,mastery:att_free_0,535,0,0,,535,,,
v1_10,0.1,320000,2,1489290374,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,543,0,0,,543,,,
v1_10,0.1,320000,2,1489290374,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,547,0,0,,547,,,
v1_10,0.1,320000,2,1489290374,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,551,27,0,578,578,,,
v1_10,0.1,320000,2,1489290374,mastery,att_green,mastery:att_green,602,318,0,154762,154762,,,
v1_10,0.1,320000,2,1489290374,mastery,att_free_2,mastery:att_free_2,643,3,0,646,646,,,
v1_10,0.1,320000,2,1489290374,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,21143,0,0,,21143,,,
v1_10,0.1,320000,2,1489290374,knowledge_banking,haz_green,knowledge_banking:haz_green,23825,0,0,,23825,,,
v1_10,0.1,320000,2,1489290374,end_state_activation,,end_state_activation,23825,296174,0,319999,319999,,,
v1_10,0.1,320000,2,1489290374,end_state_banking,att_free_3,end_state_banking:att_free_3,23830,105,0,23960,23960,,,
v1_10,0.1,320000,2,1489290374,environment_complete,,environment_complete:end_state,23830,5,0,,23830,,,
v1_10,0.1,320000,3,1108683743,mastery,att_free_1,mastery:att_free_1,519,1,0,41331,41331,,,
v1_10,0.1,320000,3,1108683743,mastery,att_yellow,mastery:att_yellow,523,4,0,527,527,,,
v1_10,0.1,320000,3,1108683743,mastery,att_free_0,mastery:att_free_0,535,0,0,,535,,,
v1_10,0.1,320000,3,1108683743,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,540,0,0,,540,,,
v1_10,0.1,320000,3,1108683743,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,545,0,0,,545,,,
v1_10,0.1,320000,3,1108683743,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,548,15,0,563,563,,,
v1_10,0.1,320000,3,1108683743,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,709,0,0,,709,,,
v1_10,0.1,320000,3,1108683743,mastery,att_free_3,mastery:att_free_3,714,5,0,729,729,,,
v1_10,0.1,320000,3,1108683743,mastery,att_green,mastery:att_green,6801,2,0,6803,6803,,,
v1_10,0.1,320000,4,628738225,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_10,0.1,320000,4,628738225,mastery,att_yellow,mastery:att_yellow,522,9,0,531,531,,,
v1_10,0.1,320000,4,628738225,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,2892,0,0,,2892,,,
v1_10,0.1,320000,4,628738225,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,2893,0,0,,2893,,,
v1_10,0.1,320000,4,628738225,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,2897,2,0,317147,317147,,,
v1_10,0.1,320000,4,628738225,mastery,att_free_2,mastery:att_free_2,26607,22,0,26629,26629,,,
v1_10,0.1,320000,4,628738225,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,26638,0,0,,26638,,,
v1_10,0.1,320000,4,628738225,mastery,att_free_3,mastery:att_free_3,26644,4,0,26648,26648,,,
v1_10,0.1,320000,4,628738225,mastery,att_green,mastery:att_green,71203,19,0,73965,73965,,,
v1_10,0.1,320000,5,248131594,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_10,0.1,320000,5,248131594,mastery,att_yellow,mastery:att_yellow,522,8,0,530,530,,,
v1_10,0.1,320000,5,248131594,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,11666,0,0,,11666,,,
v1_10,0.1,320000,5,248131594,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,11672,9,0,11690,11690,,,
v1_10,0.1,320000,5,248131594,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,11673,9,0,11691,11691,,,
v1_10,0.1,320000,5,248131594,mastery,att_free_2,mastery:att_free_2,251323,2,0,251325,251325,,,
v1_10,0.1,320000,5,248131594,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,251332,0,0,,251332,,,
