arch,run_idx_a,run_idx_b,seed_a,seed_b,hazard_cost,chain_object_a,chain_object_b,link_sequence_a,link_sequence_b,link_sequence_distance,within_run
v1_13_7,0,1,202358875,1869897005,0.1,haz_yellow,haz_green,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach,0.1667,False
v1_13_7,0,1,202358875,1869897005,0.1,haz_yellow,haz_green,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach,0.1667,False
v1_13_7,0,1,202358875,1869897005,0.1,haz_yellow,haz_green,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_13_7,0,1,202358875,1869897005,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_13_7,0,2,202358875,1489290374,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_13_7,0,3,202358875,1108683743,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_13_7,0,4,202358875,628738225,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_13_7,0,5,202358875,248131594,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_13_7,0,6,202358875,1915669724,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_13_7,0,7,202358875,1535063093,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_13_7,0,8,202358875,1154456462,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
