arch,run_idx,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,statements_q4,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated,q4_statement_count,suppressed_approach_count,goal_relevant_suppressed_count,br_statement_count,revised_expectation_count,mean_approach_delta,bias_effective,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step
v1_10,0,202358875,0.1,320000,711,8,8,6,689,0,6,5,0,True,2,True,True,689,689,138,0,0,0.0,False,908,689,0.2412,False,
v1_10,1,1869897005,0.1,320000,829,9,8,9,803,0,7,7,1,True,2,True,False,803,803,248,1,1,0.0,False,1000,803,0.197,False,
v1_10,2,1489290374,0.1,320000,656,13,10,7,626,0,12,5,1,True,1,True,True,626,626,121,1,1,0.0,False,783,626,0.2005,True,135382
v1_10,3,1108683743,0.1,320000,862,9,8,7,838,0,8,5,1,True,1,True,False,838,838,249,1,1,0.0,False,1036,838,0.1911,False,
v1_10,4,628738225,0.1,320000,835,9,8,7,811,0,7,5,1,True,2,True,True,811,811,272,1,1,0.0,False,1009,811,0.1962,False,
v1_10,5,248131594,0.1,320000,673,8,8,6,651,0,8,4,1,True,0,True,False,651,651,136,1,1,0.0,False,799,651,0.1852,False,
v1_10,6,1915669724,0.1,320000,810,9,8,7,786,0,8,5,1,True,1,True,False,786,786,217,1,1,0.0,False,994,786,0.2093,False,
v1_10,7,1535063093,0.1,320000,810,9,8,7,786,0,7,5,1,True,2,True,True,786,786,255,1,1,0.0,False,971,786,0.1905,False,
v1_10,8,1154456462,0.1,320000,1289,13,10,7,1259,0,12,5,1,True,1,True,True,1259,1259,242,1,1,0.0,False,7815,1259,0.8389,True,56499
v1_10,9,674510944,0.1,320000,813,8,8,6,791,0,8,4,1,True,0,True,False,791,791,281,1,1,0.0,False,985,791,0.197,False,
v1_10,0,496635339,1.0,320000,780,9,8,7,756,0,8,5,1,True,1,True,False,756,756,239,1,1,0.0,False,931,756,0.188,False,
v1_10,1,16689821,1.0,320000,880,9,8,7,856,0,7,5,1,True,2,True,True,856,856,274,1,1,0.0,False,1100,856,0.2218,False,
v1_10,2,1783566838,1.0,320000,726,8,8,6,704,0,8,4,1,True,0,True,False,704,704,155,1,1,0.0,False,884,704,0.2036,False,
v1_10,3,1303621320,1.0,320000,710,7,8,6,689,0,5,5,0,True,2,True,True,689,689,245,0,0,0.0,False,869,689,0.2071,False,
v1_10,4,923014689,1.0,320000,777,9,8,7,753,0,7,5,1,True,2,True,True,753,753,289,1,1,0.0,False,1104,753,0.3179,False,
v1_10,5,542408058,1.0,320000,684,8,8,6,662,0,8,4,1,True,0,True,False,662,662,141,1,1,0.0,False,848,662,0.2193,False,
v1_10,6,62462540,1.0,320000,803,8,8,6,781,0,8,4,1,True,0,True,False,781,781,257,1,1,0.0,False,963,781,0.189,False,
v1_10,7,1829339557,1.0,320000,928,13,10,7,898,0,11,5,1,True,2,True,False,898,898,321,1,1,0.0,False,1517,898,0.408,True,310156
v1_10,8,1349394039,1.0,320000,775,13,10,7,745,0,12,5,1,True,1,True,True,745,745,139,1,1,0.0,False,1005,745,0.2587,True,23656
v1_10,9,968787408,1.0,320000,895,13,10,7,865,0,11,5,1,True,2,True,True,865,865,252,1,1,0.0,False,1630,865,0.4693,True,48829
v1_10,0,271697600,2.0,320000,723,13,10,7,693,0,11,5,1,True,2,True,True,693,693,140,1,1,0.0,False,882,693,0.2143,True,48956
v1_10,1,1939235730,2.0,320000,1017,13,10,7,987,0,11,5,1,True,2,True,True,987,987,315,1,1,0.0,False,1809,987,0.4544,True,255106
v1_10,2,1558629099,2.0,320000,1135,13,10,7,1105,0,12,5,1,True,1,True,True,1105,1105,229,1,1,0.0,False,6854,1105,0.8388,True,225716
v1_10,3,1178022468,2.0,320000,684,3,8,4,669,0,3,3,0,True,0,True,False,669,669,244,0,0,0.0,False,826,669,0.1901,False,
v1_10,4,698076950,2.0,320000,883,8,8,6,861,0,6,4,1,True,2,True,True,861,861,247,1,1,0.0,False,1127,861,0.236,False,
v1_10,5,317470319,2.0,320000,697,9,10,7,671,0,8,5,1,True,1,True,True,671,671,110,1,1,0.0,False,830,671,0.1916,False,
v1_10,6,1985008449,2.0,320000,1006,11,10,7,978,0,9,5,1,True,2,True,False,978,978,260,1,1,0.0,False,2215,978,0.5585,True,
v1_10,7,1604401818,2.0,320000,756,13,10,7,726,0,11,5,1,True,2,True,True,726,726,142,1,1,0.0,False,907,726,0.1996,True,920
v1_10,8,1124456300,2.0,320000,697,8,8,6,675,0,8,4,1,True,0,True,False,675,675,142,1,1,0.0,False,842,675,0.1983,False,
v1_10,9,743849669,2.0,320000,695,4,8,6,677,0,3,5,0,True,1,True,False,677,677,246,0,0,0.0,False,856,677,0.2091,False,
v1_10,0,565380326,10.0,320000,1113,13,10,7,1083,0,11,5,1,True,2,True,True,1083,1083,252,1,1,0.0,False,5045,1083,0.7853,True,148927
v1_10,1,184773695,10.0,320000,1332,13,10,7,1302,0,11,5,1,True,2,True,True,1302,1302,407,1,1,0.0,False,3533,1302,0.6315,True,124683
v1_10,2,1852311825,10.0,320000,642,9,8,7,618,0,9,5,1,True,0,True,True,618,618,133,1,1,0.0,False,783,618,0.2107,False,
v1_10,3,1471705194,10.0,320000,841,7,8,6,820,0,7,4,1,True,0,True,False,820,820,292,1,1,0.0,False,1032,820,0.2054,False,
v1_10,4,1091098563,10.0,320000,1226,9,8,8,1201,0,7,5,2,True,2,True,True,1201,1201,431,2,2,0.0,False,4211,1201,0.7148,False,
v1_10,5,611153045,10.0,320000,687,11,8,10,658,0,10,7,4,True,0,True,True,658,658,112,2,2,0.0,False,964,658,0.3174,False,
v1_10,6,230546414,10.0,320000,1111,13,10,7,1081,0,11,5,1,True,2,True,True,1081,1081,211,1,1,0.0,False,5709,1081,0.8106,True,72270
v1_10,7,1898084544,10.0,320000,1212,13,10,7,1182,0,11,5,1,True,2,True,True,1182,1182,327,1,1,0.0,False,4004,1182,0.7048,True,59510
v1_10,8,1517477913,10.0,320000,666,9,8,7,642,0,9,5,1,True,0,True,True,642,642,129,1,1,0.0,False,802,642,0.1995,False,
v1_10,9,1037532395,10.0,320000,1000,8,8,7,977,0,8,4,2,True,0,True,False,977,977,306,2,2,0.0,False,1246,977,0.2159,False,
