arch,run_idx,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,statements_q4,statements_q5,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated,q4_statement_count,suppressed_approach_count,goal_relevant_suppressed_count,br_statement_count,revised_expectation_count,mean_approach_delta,bias_effective,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count
v1_12,0,202358875,0.1,500000,1253,13,10,7,1222,1,0,11,5,1,True,2,True,True,1222,1222,260,1,1,1583.0,True,1736,1222,0.2961,True,366135,1,6.0,1,1
v1_12,1,1869897005,0.1,500000,1274,9,8,9,1247,1,0,7,7,1,True,2,True,False,1247,1247,407,1,1,893.0,True,1507,1247,0.1725,False,,1,6.0,1,1
v1_12,2,1489290374,0.1,500000,1523,13,10,7,1492,1,0,12,5,1,True,1,True,True,1492,1492,259,1,1,979.0,True,3621,1492,0.588,True,23830,1,6.0,1,1
v1_12,3,1108683743,0.1,500000,1236,9,8,7,1211,1,0,8,5,1,True,1,True,False,1211,1211,414,1,1,1054.0,True,1476,1211,0.1795,False,,1,6.0,1,1
v1_12,4,628738225,0.1,500000,1288,9,8,7,1263,1,0,7,5,1,True,2,True,True,1263,1263,381,1,1,886.0,True,1543,1263,0.1815,False,,1,6.0,1,1
v1_12,5,248131594,0.1,500000,1182,8,8,6,1159,1,0,8,4,1,True,0,True,False,1159,1159,261,1,1,880.0,True,1456,1159,0.204,False,,1,6.0,1,1
v1_12,6,1915669724,0.1,500000,1245,9,8,7,1220,1,0,8,5,1,True,1,True,False,1220,1220,315,1,1,888.0,True,1521,1220,0.1979,False,,1,6.0,1,1
v1_12,7,1535063093,0.1,500000,1284,9,10,7,1257,1,0,7,5,1,True,2,True,False,1257,1257,481,1,1,1036.0,True,1573,1257,0.2009,False,,1,6.0,1,1
v1_12,8,1154456462,0.1,500000,2535,13,10,7,2504,1,0,12,5,1,True,1,True,True,2504,2504,487,1,1,949.0,True,16149,2504,0.8449,True,56499,1,6.0,1,1
v1_12,9,674510944,0.1,500000,1316,8,8,6,1293,1,0,8,4,1,True,0,True,False,1293,1293,454,1,1,873.0,True,1603,1293,0.1934,False,,1,6.0,1,1
v1_12,0,496635339,1.0,500000,1300,14,10,7,1268,1,0,12,5,1,True,2,True,False,1268,1268,419,1,1,971.0,True,1593,1268,0.204,True,497244,1,6.0,1,1
v1_12,1,16689821,1.0,500000,1364,9,8,7,1339,1,0,7,5,1,True,2,True,True,1339,1339,427,1,1,983.0,True,1647,1339,0.187,False,,1,6.0,1,1
v1_12,2,1783566838,1.0,500000,1062,8,8,6,1039,1,0,8,4,1,True,0,True,False,1039,1039,223,1,1,849.0,True,1244,1039,0.1648,False,,1,6.0,1,1
v1_12,3,1303621320,1.0,500000,1312,7,8,6,1291,0,0,5,5,0,True,2,True,True,1291,1291,478,0,0,0.0,False,1602,1291,0.1941,False,,0,0.0,0,0
v1_12,4,923014689,1.0,500000,1494,9,10,7,1467,1,0,7,5,1,True,2,True,False,1467,1467,547,1,1,913.0,True,3855,1467,0.6195,False,,1,6.0,1,1
v1_12,5,542408058,1.0,500000,1064,8,8,6,1041,1,0,8,4,1,True,0,True,False,1041,1041,223,1,1,955.0,True,1295,1041,0.1961,False,,1,6.0,1,1
v1_12,6,62462540,1.0,500000,1191,8,8,6,1168,1,0,8,4,1,True,0,True,False,1168,1168,400,1,1,957.0,True,1391,1168,0.1603,False,,1,6.0,1,1
