arch,run_idx,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,statements_q4,statements_q5,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated,q4_statement_count,suppressed_approach_count,goal_relevant_suppressed_count,br_statement_count,revised_expectation_count,mean_approach_delta,bias_effective,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,predicted_record_written,predicted_record_state
v1_14_1,0,202358875,0.1,1000000,967,9,0,0,0,2,0,9,0,0,True,0,True,True,0,941,171,0,1,12.0,True,1228,941,0.2337,False,,1,6.0,1,2,True,confirmed
v1_14_1,1,1869897005,0.1,1000000,2127,10,0,0,0,5,0,10,0,0,True,0,True,True,0,2094,550,0,2,451.0,True,2492,2094,0.1597,False,,4,5.5,4,5,True,confirmed
v1_14_1,2,1489290374,0.1,1000000,38,9,0,0,0,2,0,9,0,0,True,0,True,True,0,12,2,0,1,61.0,True,124,12,0.9032,False,,1,6.0,1,2,True,confirmed
v1_14_1,3,1108683743,0.1,1000000,57,9,0,0,0,2,0,9,0,0,True,0,True,False,0,31,9,0,1,696.0,True,168,31,0.8155,False,,1,6.0,1,2,True,confirmed
v1_14_1,4,628738225,0.1,1000000,234,9,0,0,0,2,0,9,0,0,True,0,True,True,0,208,60,0,1,886.0,True,385,208,0.4597,False,,1,6.0,1,2,True,confirmed
v1_14_1,5,248131594,0.1,1000000,2499,8,0,0,0,1,0,8,0,0,True,0,True,False,0,2476,444,0,1,880.0,True,2894,2476,0.1444,False,,1,6.0,1,1,False,
v1_14_1,6,1915669724,0.1,1000000,498,9,0,0,0,2,0,9,0,0,True,0,True,False,0,472,143,0,1,888.0,True,691,472,0.3169,False,,1,6.0,1,2,True,confirmed
v1_14_1,7,1535063093,0.1,1000000,2739,9,0,0,0,2,0,9,0,0,True,0,True,False,0,2711,904,0,1,1036.0,True,3235,2711,0.162,False,,1,6.0,1,2,True,unresolvable
v1_14_1,8,1154456462,0.1,1000000,191,6,0,0,0,2,0,6,0,0,True,0,True,True,0,168,28,0,1,36.0,True,297,168,0.4343,False,,1,6.0,1,2,True,unresolvable
v1_14_1,9,674510944,0.1,1000000,2962,8,0,0,0,1,0,8,0,0,True,0,True,False,0,2939,890,0,1,873.0,True,3519,2939,0.1648,False,,1,6.0,1,1,False,
v1_14_1,10,10,1.0,1000000,40,9,0,0,0,2,0,9,0,0,True,0,True,True,0,14,4,0,1,166.0,True,168,14,0.9167,False,,1,6.0,1,2,True,confirmed
v1_14_1,11,1010,1.0,1000000,424,10,0,0,0,2,0,10,0,0,True,0,True,True,0,397,74,0,1,8.0,True,555,397,0.2847,False,,1,6.0,1,2,True,confirmed
v1_14_1,12,2010,1.0,1000000,2632,8,0,0,0,0,0,8,0,0,True,0,True,True,0,2609,694,0,0,0.0,False,3037,2609,0.1409,False,,0,0.0,0,0,False,
v1_14_1,13,3010,1.0,1000000,1680,11,0,0,0,2,0,11,0,0,True,0,True,False,0,1650,538,0,1,909.0,True,1954,1650,0.1556,False,,1,6.0,1,2,True,confirmed
v1_14_1,14,4010,1.0,1000000,102,9,0,0,0,2,0,9,0,0,True,0,True,True,0,76,16,0,1,894.0,True,193,76,0.6062,False,,1,6.0,1,2,True,confirmed
v1_14_1,15,5010,1.0,1000000,126,9,0,0,0,2,0,9,0,0,True,0,True,False,0,99,31,0,2,2966.5,True,320,99,0.6906,False,,1,6.0,1,2,True,unresolvable
v1_14_1,16,6010,1.0,1000000,37,9,0,0,0,2,0,9,0,0,True,0,True,True,0,11,3,0,1,56.0,True,130,11,0.9154,False,,1,6.0,1,2,True,confirmed
v1_14_1,17,7010,1.0,1000000,2319,4,0,0,0,1,0,4,0,0,True,0,True,False,0,2298,388,0,1,966.0,True,2737,2298,0.1604,False,,1,6.0,1,1,False,
v1_14_1,18,8010,1.0,1000000,260,7,0,0,0,2,0,7,0,0,True,0,True,False,0,236,68,0,1,14.0,True,384,236,0.3854,False,,1,6.0,1,2,True,confirmed
v1_14_1,19,9010,1.0,1000000,624,8,0,0,0,2,0,8,0,0,True,0,True,False,0,599,181,0,1,40.0,True,809,599,0.2596,False,,1,6.0,1,2,True,unresolvable
v1_14_1,20,20,2.0,1000000,2176,7,0,0,0,0,0,7,0,0,True,0,True,True,0,2155,367,0,0,0.0,False,2498,2155,0.1373,False,,0,0.0,0,0,False,
v1_14_1,21,1020,2.0,1000000,829,9,0,0,0,3,0,9,0,0,True,0,True,True,0,801,243,0,2,484.0,True,1030,801,0.2223,False,,2,6.0,2,3,True,confirmed
v1_14_1,22,2020,2.0,1000000,63,11,0,0,0,2,0,11,0,0,True,0,True,True,0,33,9,0,1,801.0,True,204,33,0.8382,False,,1,6.0,1,2,True,confirmed
v1_14_1,23,3020,2.0,1000000,59,9,0,0,0,2,0,9,0,0,True,0,True,True,0,33,5,0,1,481.0,True,145,33,0.7724,False,,1,6.0,1,2,True,confirmed
v1_14_1,24,4020,2.0,1000000,54,9,0,0,0,2,0,9,0,0,True,0,True,False,0,28,9,0,1,412.0,True,146,28,0.8082,False,,1,6.0,1,2,True,confirmed
v1_14_1,25,5020,2.0,1000000,277,9,0,0,0,2,0,9,0,0,True,0,True,True,0,251,74,0,1,34.0,True,393,251,0.3613,False,,1,6.0,1,2,True,confirmed
v1_14_1,26,6020,2.0,1000000,89,9,0,0,0,2,0,9,0,0,True,0,True,True,0,63,10,0,1,19.0,True,166,63,0.6205,False,,1,6.0,1,2,True,confirmed
