arch,run_idx,agent,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,statements_q4,statements_q5,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated,q4_statement_count,suppressed_approach_count,goal_relevant_suppressed_count,br_statement_count,revised_expectation_count,mean_approach_delta,bias_effective,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,predicted_record_written,predicted_record_state
v1_15,0,a,202358875,0.1,1000000,1750,11,0,0,0,1,0,11,0,0,True,0,True,True,0,1727,495,0,1,0.0,False,2195,1727,0.2132,False,,0,0.0,0,1,True,confirmed
v1_15,0,b,202378875,0.1,1000000,120,10,0,0,0,1,0,10,0,0,True,0,True,True,0,97,20,0,2,0.0,False,248,97,0.6089,False,,0,0.0,0,1,True,confirmed
v1_15,1,a,1869897005,0.1,1000000,43,11,0,0,0,1,0,11,0,0,True,0,True,True,0,20,7,0,1,0.0,False,139,20,0.8561,False,,0,0.0,0,1,True,confirmed
v1_15,1,b,1869917005,0.1,1000000,117,10,0,0,0,1,0,10,0,0,True,0,True,True,0,95,24,0,1,0.0,False,231,95,0.5887,False,,0,0.0,0,1,True,confirmed
v1_15,2,a,1489290374,0.1,1000000,169,11,0,0,0,1,0,11,0,0,True,0,True,True,0,146,18,0,1,0.0,False,291,146,0.4983,False,,0,0.0,0,1,True,unresolvable
v1_15,2,b,1489310374,0.1,1000000,117,11,0,0,0,1,0,11,0,0,True,0,True,True,0,94,15,0,1,0.0,False,215,94,0.5628,False,,0,0.0,0,1,True,confirmed
v1_15,3,a,1108683743,0.1,1000000,47,10,0,0,0,1,0,10,0,0,True,0,True,False,0,26,8,0,1,0.0,False,152,26,0.8289,False,,0,0.0,0,1,True,confirmed
v1_15,3,b,1108703743,0.1,1000000,46,10,0,0,0,1,0,10,0,0,True,0,True,False,0,25,7,0,1,0.0,False,169,25,0.8521,False,,0,0.0,0,1,True,confirmed
v1_15,4,a,628738225,0.1,1000000,1263,11,0,0,0,1,0,11,0,0,True,0,True,True,0,1240,315,0,1,0.0,False,1593,1240,0.2216,False,,0,0.0,0,1,True,confirmed
v1_15,4,b,628758225,0.1,1000000,976,10,0,0,0,1,0,10,0,0,True,0,True,True,0,954,264,0,1,0.0,False,1232,954,0.2256,False,,0,0.0,0,1,True,confirmed
v1_15,5,a,248131594,0.1,1000000,38,10,0,0,0,1,0,10,0,0,True,0,True,True,0,15,3,0,2,0.0,False,144,15,0.8958,False,,0,0.0,0,1,True,confirmed
v1_15,5,b,248151594,0.1,1000000,2640,9,0,0,0,1,0,9,0,0,True,0,True,True,0,2619,446,0,1,0.0,False,3121,2619,0.1608,False,,0,0.0,0,1,True,unresolvable
v1_15,6,a,1915669724,0.1,1000000,3262,9,0,0,0,1,0,9,0,0,True,0,True,False,0,3242,958,0,1,0.0,False,3866,3242,0.1614,False,,0,0.0,0,1,True,unresolvable
v1_15,6,b,1915689724,0.1,1000000,129,10,0,0,0,1,0,10,0,0,True,0,True,False,0,108,26,0,1,0.0,False,280,108,0.6143,False,,0,0.0,0,1,True,confirmed
v1_15,7,a,1535063093,0.1,1000000,2768,9,0,0,0,1,0,9,0,0,True,0,True,True,0,2747,857,0,1,0.0,False,3253,2747,0.1555,False,,0,0.0,0,1,True,unresolvable
v1_15,7,b,1535083093,0.1,1000000,37,10,0,0,0,1,0,10,0,0,True,0,True,True,0,14,4,0,2,0.0,False,145,14,0.9034,False,,0,0.0,0,1,True,confirmed
v1_15,8,a,1154456462,0.1,1000000,2303,7,0,0,0,1,0,7,0,0,True,0,True,True,0,2284,339,0,1,0.0,False,2692,2284,0.1516,False,,0,0.0,0,1,True,unresolvable
v1_15,8,b,1154476462,0.1,1000000,168,11,0,0,0,1,0,11,0,0,True,0,True,True,0,145,22,0,1,0.0,False,256,145,0.4336,False,,0,0.0,0,1,True,unresolvable
v1_15,9,a,674510944,0.1,1000000,2024,11,0,0,0,1,0,11,0,0,True,0,True,True,0,2001,590,0,1,0.0,False,2545,2001,0.2138,False,,0,0.0,0,1,True,confirmed
v1_15,9,b,674530944,0.1,1000000,193,10,0,0,0,1,0,10,0,0,True,0,True,False,0,172,55,0,1,0.0,False,330,172,0.4788,False,,0,0.0,0,1,True,confirmed
v1_15,10,a,10,1.0,1000000,199,10,0,0,0,1,0,10,0,0,True,0,True,True,0,177,55,0,1,0.0,False,337,177,0.4748,False,,0,0.0,0,1,True,confirmed
v1_15,10,b,20010,1.0,1000000,1450,11,0,0,0,1,0,11,0,0,True,0,True,True,0,1427,469,0,1,0.0,False,1717,1427,0.1689,False,,0,0.0,0,1,True,confirmed
v1_15,11,a,1010,1.0,1000000,63,10,0,0,0,1,0,10,0,0,True,0,True,True,0,41,8,0,1,0.0,False,150,41,0.7267,False,,0,0.0,0,1,True,confirmed
v1_15,11,b,21010,1.0,1000000,904,11,0,0,0,1,0,11,0,0,True,0,True,True,0,881,148,0,1,0.0,False,1108,881,0.2049,False,,0,0.0,0,1,True,confirmed
v1_15,12,a,2010,1.0,1000000,2880,8,0,0,0,1,0,8,0,0,True,0,True,True,0,2860,859,0,1,0.0,False,3340,2860,0.1437,False,,0,0.0,0,1,True,unresolvable
v1_15,12,b,22010,1.0,1000000,318,11,0,0,0,1,0,11,0,0,True,0,True,True,0,295,75,0,1,0.0,False,449,295,0.343,False,,0,0.0,0,1,True,confirmed
v1_15,13,a,3010,1.0,1000000,1210,11,0,0,0,1,0,11,0,0,True,0,True,False,0,1188,404,0,1,0.0,False,1436,1188,0.1727,False,,0,0.0,0,1,True,confirmed
v1_15,13,b,23010,1.0,1000000,52,10,0,0,0,1,0,10,0,0,True,0,True,True,0,30,8,0,1,0.0,False,151,30,0.8013,False,,0,0.0,0,1,True,confirmed
v1_15,14,a,4010,1.0,1000000,99,11,0,0,0,1,0,11,0,0,True,0,True,True,0,76,15,0,1,0.0,False,202,76,0.6238,False,,0,0.0,0,1,True,confirmed
v1_15,14,b,24010,1.0,1000000,91,10,0,0,0,1,0,10,0,0,True,0,True,True,0,69,12,0,1,0.0,False,186,69,0.629,False,,0,0.0,0,1,True,confirmed
v1_15,15,a,5010,1.0,1000000,1733,9,0,0,0,1,0,9,0,0,True,0,True,False,0,1713,509,0,1,0.0,False,2066,1713,0.1709,False,,0,0.0,0,1,True,unresolvable
v1_15,15,b,25010,1.0,1000000,3032,9,0,0,0,1,0,9,0,0,True,0,True,False,0,3012,852,0,1,0.0,False,3573,3012,0.157,False,,0,0.0,0,1,True,unresolvable
v1_15,16,a,6010,1.0,1000000,73,10,0,0,0,1,0,10,0,0,True,0,True,True,0,51,18,0,1,0.0,False,180,51,0.7167,False,,0,0.0,0,1,True,confirmed
v1_15,16,b,26010,1.0,1000000,473,11,0,0,0,1,0,11,0,0,True,0,True,True,0,450,153,0,1,0.0,False,674,450,0.3323,False,,0,0.0,0,1,True,confirmed
v1_15,17,a,7010,1.0,1000000,34,10,0,0,0,1,0,10,0,0,True,0,True,True,0,12,2,0,1,0.0,False,124,12,0.9032,False,,0,0.0,0,1,True,confirmed
v1_15,17,b,27010,1.0,1000000,139,11,0,0,0,1,0,11,0,0,True,0,True,True,0,116,19,0,1,0.0,False,234,116,0.5043,False,,0,0.0,0,1,True,confirmed
v1_15,18,a,8010,1.0,1000000,1746,12,0,0,0,1,0,12,0,0,True,0,True,True,0,1722,469,0,1,0.0,False,2107,1722,0.1827,False,,0,0.0,0,1,True,confirmed
v1_15,18,b,28010,1.0,1000000,270,12,0,0,0,1,0,12,0,0,True,0,True,True,0,246,69,0,1,0.0,False,421,246,0.4157,False,,0,0.0,0,1,True,confirmed
v1_15,19,a,9010,1.0,1000000,492,11,0,0,0,1,0,11,0,0,True,0,True,False,0,470,119,0,1,0.0,False,950,470,0.5053,False,,0,0.0,0,1,True,unresolvable
v1_15,19,b,29010,1.0,1000000,1504,10,0,0,0,1,0,10,0,0,True,0,True,True,0,1482,373,0,1,0.0,False,1828,1482,0.1893,False,,0,0.0,0,1,True,confirmed
v1_15,20,a,20,2.0,1000000,168,11,0,0,0,1,0,11,0,0,True,0,True,True,0,145,21,0,1,0.0,False,295,145,0.5085,False,,0,0.0,0,1,True,confirmed
v1_15,20,b,20020,2.0,1000000,35,10,0,0,0,1,0,10,0,0,True,0,True,True,0,12,2,0,2,0.0,False,119,12,0.8992,False,,0,0.0,0,1,True,confirmed
v1_15,21,a,1020,2.0,1000000,2735,9,0,0,0,1,0,9,0,0,True,0,True,False,0,2715,786,0,1,0.0,False,3199,2715,0.1513,False,,0,0.0,0,1,True,unresolvable
v1_15,21,b,21020,2.0,1000000,42,10,0,0,0,1,0,10,0,0,True,0,True,False,0,21,6,0,1,0.0,False,184,21,0.8859,False,,0,0.0,0,1,True,confirmed
v1_15,22,a,2020,2.0,1000000,208,10,0,0,0,1,0,10,0,0,True,0,True,True,0,186,39,0,1,0.0,False,358,186,0.4804,False,,0,0.0,0,1,True,confirmed
v1_15,22,b,22020,2.0,1000000,2883,9,0,0,0,1,0,9,0,0,True,0,True,False,0,2863,767,0,1,0.0,False,3399,2863,0.1577,False,,0,0.0,0,1,True,unresolvable
