arch,run_idx,agent,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,statements_q4,statements_q5,statements_q6,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated,q4_statement_count,suppressed_approach_count,goal_relevant_suppressed_count,br_statement_count,revised_expectation_count,mean_approach_delta,bias_effective,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,predicted_record_written,predicted_record_state,social_corroboration_fired,zpd_delta
v1_15_2,0,a,202358875,0.1,1000000,1751,11,0,0,0,1,1,0,11,0,0,True,0,True,True,0,1727,495,0,1,0.0,False,2195,1727,0.2132,False,,0,0.0,0,1,True,confirmed,True,-257992
v1_15_2,0,b,202378875,0.1,1000000,120,10,0,0,0,1,0,0,10,0,0,True,0,True,True,0,97,20,0,2,0.0,False,248,97,0.6089,False,,0,0.0,0,1,True,confirmed,False,206228
v1_15_2,1,a,1869897005,0.1,1000000,43,11,0,0,0,1,0,0,11,0,0,True,0,True,True,0,20,7,0,1,0.0,False,139,20,0.8561,False,,0,0.0,0,1,True,confirmed,False,228375
v1_15_2,1,b,1869917005,0.1,1000000,118,10,0,0,0,1,1,0,10,0,0,True,0,True,True,0,95,24,0,1,0.0,False,231,95,0.5887,False,,0,0.0,0,1,True,confirmed,True,206694
v1_15_2,2,a,1489290374,0.1,1000000,169,11,0,0,0,0,1,0,11,0,0,True,0,True,True,0,146,18,0,1,0.0,False,291,146,0.4983,False,,0,0.0,0,0,True,socially_corroborated,True,
v1_15_2,2,b,1489310374,0.1,1000000,117,11,0,0,0,1,0,0,11,0,0,True,0,True,True,0,94,15,0,1,0.0,False,215,94,0.5628,False,,0,0.0,0,1,True,confirmed,False,196183
v1_15_2,3,a,1108683743,0.1,1000000,48,10,0,0,0,1,1,0,10,0,0,True,0,True,False,0,26,8,0,1,0.0,False,152,26,0.8289,False,,0,0.0,0,1,True,confirmed,True,225829
v1_15_2,3,b,1108703743,0.1,1000000,46,10,0,0,0,1,0,0,10,0,0,True,0,True,False,0,25,7,0,1,0.0,False,169,25,0.8521,False,,0,0.0,0,1,True,confirmed,False,226713
v1_15_2,4,a,628738225,0.1,1000000,1264,11,0,0,0,1,1,0,11,0,0,True,0,True,True,0,1240,315,0,1,0.0,False,1593,1240,0.2216,False,,0,0.0,0,1,True,confirmed,True,-185066
v1_15_2,4,b,628758225,0.1,1000000,976,10,0,0,0,1,0,0,10,0,0,True,0,True,True,0,954,264,0,1,0.0,False,1232,954,0.2256,False,,0,0.0,0,1,True,confirmed,False,-94373
v1_15_2,5,a,248131594,0.1,1000000,38,10,0,0,0,1,0,0,10,0,0,True,0,True,True,0,15,3,0,2,0.0,False,144,15,0.8958,False,,0,0.0,0,1,True,confirmed,False,229217
v1_15_2,5,b,248151594,0.1,1000000,2640,9,0,0,0,1,0,0,9,0,0,True,0,True,True,0,2619,446,0,1,0.0,False,3121,2619,0.1608,False,,0,0.0,0,1,True,unresolvable,False,
v1_15_2,6,a,1915669724,0.1,1000000,3261,8,0,0,0,1,0,0,8,0,0,True,0,True,False,0,3242,958,0,1,0.0,False,3866,3242,0.1614,False,,0,0.0,0,1,True,unresolvable,False,
v1_15_2,6,b,1915689724,0.1,1000000,129,10,0,0,0,1,0,0,10,0,0,True,0,True,False,0,108,26,0,1,0.0,False,280,108,0.6143,False,,0,0.0,0,1,True,confirmed,False,194640
v1_15_2,7,a,1535063093,0.1,1000000,2768,9,0,0,0,1,0,0,9,0,0,True,0,True,True,0,2747,857,0,1,0.0,False,3253,2747,0.1555,False,,0,0.0,0,1,True,unresolvable,False,
