arch,run_idx,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,statements_q4,statements_q5,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated,q4_statement_count,suppressed_approach_count,goal_relevant_suppressed_count,br_statement_count,revised_expectation_count,mean_approach_delta,bias_effective,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,predicted_record_written,predicted_record_state
v1_16,0,202358875,0.1,1000000,140,12,0,0,0,2,0,12,0,0,True,0,True,True,0,109,22,0,1,16.0,True,280,109,0.6107,False,,1,6.0,1,2,True,confirmed
v1_16,1,1869897005,0.1,1000000,57,10,0,0,0,2,0,10,0,0,True,0,True,True,0,30,6,0,1,1179.0,True,173,30,0.8266,False,,1,6.0,1,2,True,confirmed
v1_16,2,1489290374,0.1,1000000,41,10,0,0,0,2,0,10,0,0,True,0,True,True,0,14,2,0,1,73.0,True,142,14,0.9014,False,,1,6.0,1,2,True,confirmed
v1_16,3,1108683743,0.1,1000000,43,10,0,0,0,2,0,10,0,0,True,0,True,False,0,16,4,0,1,127.0,True,159,16,0.8994,False,,1,6.0,1,2,True,confirmed
v1_16,4,628738225,0.1,1000000,42,10,0,0,0,2,0,10,0,0,True,0,True,True,0,15,3,0,1,112.0,True,152,15,0.9013,False,,1,6.0,1,2,True,confirmed
v1_16,5,248131594,0.1,1000000,173,10,0,0,0,2,0,10,0,0,True,0,True,True,0,146,19,0,1,32.0,True,289,146,0.4948,False,,1,6.0,1,2,True,confirmed
v1_16,6,1915669724,0.1,1000000,45,10,0,0,0,2,0,10,0,0,True,0,True,False,0,18,5,0,1,144.0,True,153,18,0.8824,False,,1,6.0,1,2,True,confirmed
v1_16,7,1535063093,0.1,1000000,41,10,0,0,0,2,0,10,0,0,True,0,True,True,0,14,4,0,1,79.0,True,163,14,0.9141,False,,1,6.0,1,2,True,confirmed
v1_16,8,1154456462,0.1,1000000,37,10,0,0,0,2,0,10,0,0,True,0,True,True,0,10,2,0,1,64.0,True,130,10,0.9231,False,,1,6.0,1,2,True,confirmed
v1_16,9,674510944,0.1,1000000,46,10,0,0,0,2,0,10,0,0,True,0,True,False,0,19,5,0,1,211.0,True,228,19,0.9167,False,,1,6.0,1,2,True,confirmed
v1_16,10,10,1.0,1000000,46,7,0,0,0,2,0,7,0,0,True,0,True,True,0,22,6,0,1,47.0,True,168,22,0.869,False,,1,6.0,1,2,True,confirmed
v1_16,11,1010,1.0,1000000,44,10,0,0,0,2,0,10,0,0,True,0,True,True,0,17,3,0,1,241.0,True,158,17,0.8924,False,,1,6.0,1,2,True,confirmed
v1_16,12,2010,1.0,1000000,48,9,0,0,0,2,0,9,0,0,True,0,True,False,0,22,6,0,1,25.0,True,160,22,0.8625,False,,1,6.0,1,2,True,confirmed
v1_16,13,3010,1.0,1000000,40,10,0,0,0,2,0,10,0,0,True,0,True,True,0,13,3,0,1,67.0,True,148,13,0.9122,False,,1,6.0,1,2,True,confirmed
v1_16,14,4010,1.0,1000000,1018,10,0,0,0,2,0,10,0,0,True,0,True,True,0,991,156,0,1,991.0,True,1616,991,0.3868,False,,1,6.0,1,2,True,confirmed
v1_16,15,5010,1.0,1000000,43,10,0,0,0,2,0,10,0,0,True,0,True,False,0,16,4,0,1,63.0,True,161,16,0.9006,False,,1,6.0,1,2,True,confirmed
v1_16,16,6010,1.0,1000000,43,10,0,0,0,2,0,10,0,0,True,0,True,True,0,16,4,0,1,95.0,True,160,16,0.9,False,,1,6.0,1,2,True,confirmed
v1_16,17,7010,1.0,1000000,41,10,0,0,0,2,0,10,0,0,True,0,True,True,0,14,2,0,1,119.0,True,148,14,0.9054,False,,1,6.0,1,2,True,confirmed
v1_16,18,8010,1.0,1000000,194,10,0,0,0,2,0,10,0,0,True,0,True,True,0,165,21,0,1,1268.0,True,584,165,0.7175,False,,1,6.0,1,2,True,confirmed
v1_16,19,9010,1.0,1000000,43,10,0,0,0,2,0,10,0,0,True,0,True,True,0,16,4,0,1,116.0,True,215,16,0.9256,False,,1,6.0,1,2,True,confirmed
v1_16,20,20,2.0,1000000,55,10,0,0,0,2,0,10,0,0,True,0,True,True,0,28,5,0,1,7.0,True,149,28,0.8121,False,,1,6.0,1,2,True,confirmed
v1_16,21,1020,2.0,1000000,43,10,0,0,0,2,0,10,0,0,True,0,True,False,0,16,4,0,1,86.0,True,179,16,0.9106,False,,1,6.0,1,2,True,confirmed
