arch,run_idx,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete
v1_6,0,202358875,0.1,320000,36,19,10,7,0,16,7,5,True
v1_6,1,1869897005,0.1,320000,34,17,10,7,0,15,7,4,True
v1_6,2,1489290374,0.1,320000,34,17,10,7,0,15,7,4,True
v1_6,3,1108683743,0.1,320000,40,23,10,7,0,18,7,7,True
v1_6,4,628738225,0.1,320000,28,13,10,5,0,13,5,0,True
v1_6,5,248131594,0.1,320000,34,17,10,7,0,15,7,4,True
v1_6,6,1915669724,0.1,320000,32,15,10,7,0,14,7,3,True
v1_6,7,1535063093,0.1,320000,28,13,10,5,0,13,5,0,True
v1_6,8,1154456462,0.1,320000,28,13,10,5,0,13,5,1,True
v1_6,9,674510944,0.1,320000,28,13,10,5,0,13,5,2,True
v1_6,0,749409430,0.5,320000,32,15,10,7,0,14,7,5,True
v1_6,1,269463912,0.5,320000,34,17,10,7,0,15,7,4,True
v1_6,2,2036340929,0.5,320000,40,19,10,11,0,16,11,10,True
v1_6,3,1655734298,0.5,320000,34,17,10,7,0,15,7,5,True
v1_6,4,1175788780,0.5,320000,29,13,10,6,0,13,6,2,True
v1_6,5,795182149,0.5,320000,32,15,10,7,0,14,7,4,True
v1_6,6,315236631,0.5,320000,34,17,10,7,0,15,7,4,True
v1_6,7,2082113648,0.5,320000,34,17,10,7,0,15,7,5,True
v1_6,8,1602168130,0.5,320000,32,15,10,7,0,14,7,4,True
v1_6,9,1221561499,0.5,320000,28,13,10,5,0,13,5,1,True
v1_6,0,496635339,1.0,320000,32,15,10,7,0,14,7,3,True
v1_6,1,16689821,1.0,320000,33,15,10,8,0,14,8,6,True
v1_6,2,1783566838,1.0,320000,36,17,10,9,0,15,9,6,True
v1_6,3,1303621320,1.0,320000,36,19,10,7,0,16,7,5,True
v1_6,4,923014689,1.0,320000,39,19,10,10,0,16,10,8,True
v1_6,5,542408058,1.0,320000,35,17,10,8,0,15,8,5,True
v1_6,6,62462540,1.0,320000,32,15,10,7,0,14,7,4,True
v1_6,7,1829339557,1.0,320000,29,13,10,6,0,13,6,3,True
v1_6,8,1349394039,1.0,320000,32,15,10,7,0,14,7,3,True
v1_6,9,968787408,1.0,320000,28,13,10,5,0,13,5,1,True
v1_6,0,271697600,2.0,320000,32,15,10,7,0,14,7,4,True
v1_6,1,1939235730,2.0,320000,32,15,10,7,0,14,7,3,True
v1_6,2,1558629099,2.0,320000,32,15,10,7,0,14,7,3,True
v1_6,3,1178022468,2.0,320000,32,15,10,7,0,14,7,3,True
v1_6,4,698076950,2.0,320000,36,19,10,7,0,16,7,5,True
v1_6,5,317470319,2.0,320000,32,15,10,7,0,14,7,4,True
v1_6,6,1985008449,2.0,320000,37,19,10,8,0,16,8,6,True
v1_6,7,1604401818,2.0,320000,28,13,10,5,0,13,5,1,True
v1_6,8,1124456300,2.0,320000,35,17,10,8,0,15,8,5,True
v1_6,9,743849669,2.0,320000,34,17,10,7,0,15,7,5,True
v1_6,0,853186608,5.0,320000,28,13,10,5,0,13,5,1,True
v1_6,1,472579977,5.0,320000,38,19,10,9,0,16,9,7,True
v1_6,2,2140118107,5.0,320000,34,17,10,7,0,15,7,4,True
v1_6,3,1759511476,5.0,320000,28,13,10,5,0,13,5,0,True
v1_6,4,1378904845,5.0,320000,36,17,10,9,0,15,9,7,True
v1_6,5,898959327,5.0,320000,32,15,10,7,0,14,7,3,True
v1_6,6,518352696,5.0,320000,28,13,10,5,0,13,5,1,True
v1_6,7,38407178,5.0,320000,32,15,10,7,0,14,7,3,True
v1_6,8,1805284195,5.0,320000,32,15,10,7,0,14,7,3,True
v1_6,9,1325338677,5.0,320000,28,13,10,5,0,13,5,0,True
v1_6,0,565380326,10.0,320000,29,13,10,6,0,13,6,2,True
v1_6,1,184773695,10.0,320000,34,17,10,7,0,15,7,5,True
v1_6,2,1852311825,10.0,320000,28,13,10,5,0,13,5,1,True
v1_6,3,1471705194,10.0,320000,28,13,10,5,0,13,5,0,True
v1_6,4,1091098563,10.0,320000,37,19,10,8,0,16,8,6,True
v1_6,5,611153045,10.0,320000,40,21,10,9,0,17,9,8,True
v1_6,6,230546414,10.0,320000,32,15,10,7,0,14,7,3,True
v1_6,7,1898084544,10.0,320000,27,12,10,5,0,12,5,1,True
v1_6,8,1517477913,10.0,320000,34,17,10,7,0,15,7,4,True
v1_6,9,1037532395,10.0,320000,32,15,10,7,0,14,7,4,True
