arch,run_idx,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,statements_q4,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated,q4_statement_count,suppressed_approach_count,goal_relevant_suppressed_count
v1_9,0,202358875,0.1,320000,930,8,8,6,908,0,6,5,0,True,2,True,True,908,908,197
v1_9,1,1869897005,0.1,320000,1025,9,8,8,1000,0,7,7,1,True,2,True,False,1000,1000,311
v1_9,2,1489290374,0.1,320000,811,12,10,6,783,0,11,5,1,True,1,True,True,783,783,154
v1_9,3,1108683743,0.1,320000,1059,9,8,6,1036,0,8,5,1,True,1,True,False,1036,1036,317
v1_9,4,628738225,0.1,320000,1032,9,8,6,1009,0,7,5,1,True,2,True,True,1009,1009,331
v1_9,5,248131594,0.1,320000,820,8,8,5,799,0,8,4,1,True,0,True,False,799,799,167
v1_9,6,1915669724,0.1,320000,1017,9,8,6,994,0,8,5,1,True,1,True,False,994,994,281
v1_9,7,1535063093,0.1,320000,994,9,8,6,971,0,7,5,1,True,2,True,True,971,971,316
v1_9,8,1154456462,0.1,320000,7843,12,10,6,7815,0,11,5,1,True,1,True,True,7815,7815,1119
v1_9,9,674510944,0.1,320000,1006,8,8,5,985,0,8,4,1,True,0,True,False,985,985,348
v1_9,0,496635339,1.0,320000,954,9,8,6,931,0,8,5,1,True,1,True,False,931,931,300
v1_9,1,16689821,1.0,320000,1123,9,8,6,1100,0,7,5,1,True,2,True,True,1100,1100,345
v1_9,2,1783566838,1.0,320000,905,8,8,5,884,0,8,4,1,True,0,True,False,884,884,194
v1_9,3,1303621320,1.0,320000,890,7,8,6,869,0,5,5,0,True,2,True,True,869,869,303
v1_9,4,923014689,1.0,320000,1127,9,8,6,1104,0,7,5,1,True,2,True,True,1104,1104,420
v1_9,5,542408058,1.0,320000,869,8,8,5,848,0,8,4,1,True,0,True,False,848,848,183
v1_9,6,62462540,1.0,320000,984,8,8,5,963,0,8,4,1,True,0,True,False,963,963,324
v1_9,7,1829339557,1.0,320000,1545,12,10,6,1517,0,10,5,1,True,2,True,False,1517,1517,528
v1_9,8,1349394039,1.0,320000,1033,12,10,6,1005,0,11,5,1,True,1,True,True,1005,1005,196
v1_9,9,968787408,1.0,320000,1658,12,10,6,1630,0,10,5,1,True,2,True,True,1630,1630,394
v1_9,0,271697600,2.0,320000,910,12,10,6,882,0,10,5,1,True,2,True,True,882,882,193
v1_9,1,1939235730,2.0,320000,1837,12,10,6,1809,0,10,5,1,True,2,True,True,1809,1809,562
v1_9,2,1558629099,2.0,320000,6882,12,10,6,6854,0,11,5,1,True,1,True,True,6854,6854,1457
v1_9,3,1178022468,2.0,320000,841,3,8,4,826,0,3,3,0,True,0,True,False,826,826,293
v1_9,4,698076950,2.0,320000,1148,8,8,5,1127,0,6,4,1,True,2,True,True,1127,1127,308
v1_9,5,317470319,2.0,320000,855,9,10,6,830,0,8,5,1,True,1,True,True,830,830,133
v1_9,6,1985008449,2.0,320000,2242,11,10,6,2215,0,9,5,1,True,2,True,False,2215,2215,359
v1_9,7,1604401818,2.0,320000,935,12,10,6,907,0,10,5,1,True,2,True,True,907,907,195
v1_9,8,1124456300,2.0,320000,863,8,8,5,842,0,8,4,1,True,0,True,False,842,842,177
v1_9,9,743849669,2.0,320000,874,4,8,6,856,0,3,5,0,True,1,True,False,856,856,305
v1_9,0,565380326,10.0,320000,5073,12,10,6,5045,0,10,5,1,True,2,True,True,5045,5045,835
v1_9,1,184773695,10.0,320000,3561,12,10,6,3533,0,10,5,1,True,2,True,True,3533,3533,1093
v1_9,2,1852311825,10.0,320000,806,9,8,6,783,0,9,5,1,True,0,True,True,783,783,171
v1_9,3,1471705194,10.0,320000,1052,7,8,5,1032,0,7,4,1,True,0,True,False,1032,1032,366
v1_9,4,1091098563,10.0,320000,4234,9,8,6,4211,0,7,5,2,True,2,True,True,4211,4211,1597
v1_9,5,611153045,10.0,320000,991,11,8,8,964,0,10,7,4,True,0,True,True,964,964,146
v1_9,6,230546414,10.0,320000,5737,12,10,6,5709,0,10,5,1,True,2,True,True,5709,5709,858
v1_9,7,1898084544,10.0,320000,4032,12,10,6,4004,0,10,5,1,True,2,True,True,4004,4004,1296
v1_9,8,1517477913,10.0,320000,825,9,8,6,802,0,9,5,1,True,0,True,True,802,802,157
v1_9,9,1037532395,10.0,320000,1267,8,8,5,1246,0,8,4,2,True,0,True,False,1246,1246,390
