arch,hazard_cost,num_steps,run_idx,seed,phase_1_end,phase_2_end,frame_attempts_p1,frame_attempts_p2,frame_attempts_p3,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,total_cost,mastered_pairs,top_attractor,top_attractor_pref,phase_3_clean,full_run_clean,hazards_flagged,time_to_first_flag,time_to_final_flag,cost_at_final_flag,actions_gated_p2,actions_gated_p3
v0_9,0.1,20000,0,519490241,331,12000,0,0,0,0,18,1,1.9000000000000006,53,"(15, 16)",944.4119832161916,True,False,,,,,,
v0_9,0.1,20000,1,138883610,331,12000,0,0,0,0,133,13,14.599999999999964,69,"(15, 16)",914.0564253853869,False,False,,,,,,
v0_9,0.1,20000,2,1905760627,331,12000,0,0,0,0,25,4,2.9000000000000012,89,"(11, 5)",570.1183386077528,False,False,,,,,,
v0_9,0.1,20000,3,1425815109,331,12000,0,0,0,0,544,0,54.4000000000005,79,"(4, 15)",420.49985390532686,True,False,,,,,,
v0_9,0.1,20000,4,1045208478,331,12000,0,0,0,0,166,2,16.79999999999997,77,"(4, 15)",501.97073139039475,True,False,,,,,,
v0_9,0.1,20000,5,565262960,331,12000,0,0,0,0,232,6,23.800000000000068,69,"(15, 16)",853.2152983757305,False,False,,,,,,
v0_9,0.1,20000,6,184656329,331,12000,0,0,0,0,31,0,3.1000000000000014,83,"(16, 3)",506.9530396865545,True,False,,,,,,
v0_9,0.1,20000,7,1852194459,331,12000,0,0,0,0,4,0,0.4,78,"(16, 3)",399.14749261729014,True,False,,,,,,
v0_9,0.1,20000,8,1471587828,331,12000,0,0,0,0,144,2,14.599999999999964,82,"(9, 10)",495.91820697844275,True,False,,,,,,
v0_9,0.1,20000,9,1090981197,331,12000,0,0,0,0,0,0,0.0,49,"(11, 5)",989.0862364935778,True,True,,,,,,
v0_9,0.5,20000,0,1876585432,331,12000,0,0,0,0,3,2,2.5,65,"(15, 16)",821.0899508114063,True,False,,,,,,
v0_9,0.5,20000,1,1396639914,331,12000,0,0,0,0,0,0,0.0,75,"(4, 15)",496.96048329185237,True,True,,,,,,
v0_9,0.5,20000,2,1016033283,331,12000,0,0,0,0,2,0,1.0,79,"(3, 3)",645.5080460067867,True,True,,,,,,
v0_9,0.5,20000,3,536087765,331,12000,0,0,0,0,11,0,5.5,64,"(3, 3)",832.8227642932686,True,False,,,,,,
v0_9,0.5,20000,4,155481134,331,12000,0,0,0,0,20,8,14.0,68,"(15, 16)",651.974130234262,False,False,,,,,,
v0_9,0.5,20000,5,1922358151,331,12000,0,0,0,0,6,2,4.0,109,"(9, 10)",260.90403344814416,True,False,,,,,,
v0_9,0.5,20000,6,1442412633,331,12000,0,0,0,0,1,0,0.5,73,"(16, 3)",737.8171504254411,True,True,,,,,,
v0_9,0.5,20000,7,1061806002,331,12000,0,0,0,0,0,0,0.0,37,"(4, 15)",1128.7221304655504,True,True,,,,,,
v0_9,0.5,20000,8,581860484,331,12000,0,0,0,0,1,1,1.0,84,"(15, 16)",243.7732671204188,True,True,,,,,,
v0_9,0.5,20000,9,201253853,331,12000,0,0,0,0,12,1,6.5,83,"(15, 16)",135.09066636554613,True,False,,,,,,
v0_9,1.0,20000,0,2043231153,331,12000,0,0,0,0,10,2,12.0,89,"(15, 16)",470.8694320221087,True,False,,,,,,
v0_9,1.0,20000,1,1662624522,331,12000,0,0,0,0,0,0,0.0,54,"(16, 3)",876.1819567271103,True,True,,,,,,
v0_9,1.0,20000,2,1182679004,331,12000,0,0,0,0,7,0,7.0,78,"(9, 10)",442.74114833880145,True,False,,,,,,
v0_9,1.0,20000,3,802072373,331,12000,0,0,0,0,4,0,4.0,93,"(16, 3)",459.70443723029865,True,False,,,,,,
v0_9,1.0,20000,4,322126855,331,12000,0,0,0,0,0,0,0.0,72,"(4, 15)",801.6358781075844,True,True,,,,,,
v0_9,1.0,20000,5,2089003872,331,12000,0,0,0,0,27,4,31.0,73,"(4, 15)",657.7583241666536,False,False,,,,,,
v0_9,1.0,20000,6,1708397241,331,12000,0,0,0,0,12,1,13.0,59,"(3, 3)",616.882276782494,True,False,,,,,,
v0_9,1.0,20000,7,1228451723,331,12000,0,0,0,0,5,2,7.0,77,"(16, 3)",477.9649548222818,True,False,,,,,,
