arch,hazard_cost,num_steps,run_idx,seed,phase_1_end,phase_2_end,frame_attempts_p1,frame_attempts_p2,frame_attempts_p3,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,total_cost,mastered_pairs,top_attractor,top_attractor_pref,phase_3_clean,full_run_clean,hazards_flagged,time_to_first_flag,time_to_final_flag,actions_gated_p2,actions_gated_p3,attractors_mastered,time_to_first_mastery,time_to_final_mastery,first_banked,mastery_sequence,post_mastery_visits_total,p3_visits_to_mastered,p3_visits_to_unmastered
v0_10,0.1,20000,0,101599417,331,12000,0,0,0,0,7,0,0.7,80,"(3, 3)",717.6610378009665,True,False,2,5142,11523,774,513,,,,,,,,
v0_10,0.1,20000,1,1868476434,331,12000,0,0,0,0,7,2,0.8999999999999999,97,"(9, 10)",315.02896757904176,True,False,1,17406,17406,3112,1262,,,,,,,,
v0_10,0.1,20000,2,1388530916,331,12000,0,0,0,0,0,4,0.4,88,"(4, 15)",239.09449569723674,False,False,1,12172,12172,4889,5644,,,,,,,,
v0_10,0.1,20000,3,1007924285,331,12000,0,0,0,0,4,0,0.4,67,"(16, 3)",809.4667712753519,True,False,1,1580,1580,2076,1489,,,,,,,,
v0_10,0.1,20000,4,627317654,331,12000,0,0,0,0,0,1,0.1,88,"(16, 3)",398.56679870428394,True,True,0,,,969,1673,,,,,,,,
v0_10,0.1,20000,5,147372136,331,12000,0,0,0,0,8,0,0.7999999999999999,73,"(16, 3)",767.8881841245827,True,False,2,631,1592,3034,398,,,,,,,,
v0_10,0.1,20000,6,1914249153,331,12000,0,0,0,0,6,0,0.6,78,"(15, 16)",153.40061546181,True,False,2,5922,5929,2929,4890,,,,,,,,
v0_10,0.1,20000,7,1434303635,331,12000,0,0,0,0,2,0,0.2,44,"(4, 15)",1213.6751774591514,True,True,0,,,1054,183,,,,,,,,
v0_10,0.1,20000,8,1053697004,331,12000,0,0,0,0,8,4,1.2,80,"(15, 16)",374.5988480522516,False,False,3,9511,14250,3683,886,,,,,,,,
v0_10,0.1,20000,9,673090373,331,12000,0,0,0,0,6,0,0.6,57,"(9, 10)",1106.2408540320873,True,False,2,1011,1855,901,94,,,,,,,,
v0_10,0.5,20000,0,648649972,331,12000,0,0,0,0,8,0,4.0,91,"(4, 15)",533.7814400804043,True,False,2,1799,1802,2059,1321,,,,,,,,
v0_10,0.5,20000,1,268043341,331,12000,0,0,0,0,0,0,0.0,39,"(4, 15)",1256.8042265242532,True,True,0,,,24,18,,,,,,,,
v0_10,0.5,20000,2,1935581471,331,12000,0,0,0,0,2,0,1.0,66,"(3, 3)",893.9676416379771,True,True,0,,,3455,150,,,,,,,,
v0_10,0.5,20000,3,1554974840,331,12000,0,0,0,0,6,0,3.0,84,"(4, 15)",497.70975869568844,True,False,2,6043,7646,2433,228,,,,,,,,
v0_10,0.5,20000,4,1174368209,331,12000,0,0,0,0,1,0,0.5,41,"(4, 15)",1140.9558329810964,True,True,0,,,394,344,,,,,,,,
v0_10,0.5,20000,5,694422691,331,12000,0,0,0,0,3,0,1.5,72,"(3, 3)",639.7995979361306,True,False,0,,,2281,580,,,,,,,,
v0_10,0.5,20000,6,313816060,331,12000,0,0,0,0,9,3,6.0,89,"(15, 16)",404.3354899648817,False,False,3,1474,18679,3540,406,,,,,,,,
v0_10,0.5,20000,7,1981354190,331,12000,0,0,0,0,1,0,0.5,72,"(4, 15)",242.65813625705485,True,True,0,,,1703,669,,,,,,,,
