arch,hazard_cost,num_steps,run_idx,seed,phase_1_end,phase_2_end,frame_attempts_p1,frame_attempts_p2,frame_attempts_p3,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,total_cost,mastered_pairs,top_attractor,top_attractor_pref,phase_3_clean,full_run_clean,hazards_flagged,time_to_first_flag,time_to_second_flag,time_to_final_flag,first_entry_conversions,cost_on_sig_matched,actions_gated_p2,actions_gated_p3,attractors_mastered,time_to_first_mastery,time_to_final_mastery,first_banked,mastery_sequence,post_mastery_visits_total,p3_visits_to_mastered,p3_visits_to_unmastered
v0_12,0.1,20000,0,57270932,331,12000,0,0,0,0,5,0,0.5,82,"(3, 3)",0.0,True,False,2,1883,3121,3121,1,1.0,3314,385,6,838,4434,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(3, 3)|(11, 5)|(16, 3)",2854,1551,0
v0_12,0.1,20000,1,1824147949,331,12000,0,0,0,0,6,0,0.6,91,"(3, 3)",0.0,True,False,2,1589,1590,1590,1,1.0,2532,4283,5,346,5468,"(4, 15)","(4, 15)|(16, 3)|(15, 16)|(11, 5)|(9, 10)",630,1,0
v0_12,0.1,20000,2,1443541318,331,12000,0,0,0,0,6,0,0.6,61,"(3, 3)",0.0,True,False,2,3303,3304,3304,1,1.0,6926,5797,3,398,3290,"(4, 15)","(4, 15)|(9, 10)|(15, 16)",910,10,0
v0_12,0.1,20000,3,963595800,331,12000,0,0,0,0,5,0,0.5,75,"(3, 3)",0.0,True,False,1,3411,,3411,0,0.0,2849,7376,5,388,15167,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(3, 3)|(11, 5)",1045,42,0
v0_12,0.1,20000,4,582989169,331,12000,0,0,0,0,4,0,0.4,116,"(3, 3)",0.0,True,False,2,1530,8009,8009,1,1.0,1368,1285,5,338,4322,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(11, 5)|(16, 3)",825,100,0
v0_12,0.1,20000,5,103043651,331,12000,0,0,0,0,5,2,0.7,87,"(3, 3)",0.0,True,False,4,4467,4470,18590,3,3.0,3383,814,3,600,5995,"(4, 15)","(4, 15)|(16, 3)|(11, 5)",490,112,0
v0_12,0.1,20000,6,1869920668,331,12000,0,0,0,0,5,0,0.5,87,"(3, 3)",0.0,True,False,2,649,1261,1261,1,1.0,2652,363,3,656,6796,"(9, 10)","(9, 10)|(15, 16)|(16, 3)",1297,102,0
v0_12,0.1,20000,7,1389975150,331,12000,0,0,0,0,4,1,0.5,54,"(3, 3)",0.0,True,False,3,1580,11751,12461,2,2.0,3883,2298,3,338,1621,"(4, 15)","(4, 15)|(9, 10)|(3, 3)",2374,1341,0
v0_12,0.1,20000,8,1009368519,331,12000,0,0,0,0,8,0,0.7999999999999999,95,"(3, 3)",0.0,True,False,2,8381,8382,8382,1,1.0,689,480,5,430,8636,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)",662,277,0
v0_12,0.1,20000,9,628761888,331,12000,0,0,0,0,9,0,0.8999999999999999,96,"(3, 3)",0.0,True,False,3,7669,7670,8279,2,2.0,2243,912,5,342,5050,"(4, 15)","(4, 15)|(3, 3)|(16, 3)|(11, 5)|(9, 10)",1559,743,0
v0_12,0.5,20000,0,1998205159,331,12000,0,0,0,0,6,2,4.0,89,"(9, 10)",0.15,True,False,3,11407,12213,13275,2,2.0,2548,3441,3,850,12858,"(4, 15)","(4, 15)|(11, 5)|(16, 3)",574,76,1
v0_12,0.5,20000,1,1518259641,331,12000,0,0,0,0,4,0,2.0,74,"(3, 3)",0.0,True,False,2,1927,2287,2287,1,1.0,4337,245,3,380,2010,"(4, 15)","(4, 15)|(9, 10)|(15, 16)",2677,1304,0
