arch,hazard_cost,num_steps,run_idx,seed,phase_1_end,phase_2_end,frame_attempts_p1,frame_attempts_p2,frame_attempts_p3,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,total_cost,mastered_pairs,top_attractor,top_attractor_pref,phase_3_clean,full_run_clean,hazards_flagged,time_to_first_flag,time_to_second_flag,time_to_final_flag,first_entry_conversions,cost_on_sig_matched,actions_gated_p2,actions_gated_p3,attractors_mastered,time_to_first_mastery,time_to_final_mastery,first_banked,mastery_sequence,post_mastery_visits_total,p3_visits_to_mastered,p3_visits_to_unmastered,end_state_cell,activation_step,end_state_found_step,end_state_visits,end_state_banked,post_activation_window,discovery_time,hazards_transitioned,hazards_banked_as_knowledge,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,hazard_thresholds,competency_unlock_steps,knowledge_banked_steps,knowledge_entries_per_cell,pre_transition_entries_per_cell
v0_14,0.1,20000,0,57270932,331,12000,0,0,0,0,4,0,0.4,101,"(3, 3)",0.0,True,False,1,1882,,1882,0,0.0,2249,589,6,838,8909,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(3, 3)|(16, 3)|(11, 5)",932,70,0,"(10, 5)",12450,,0,False,7550,,5,5,838,8696,"(14, 14)|(5, 9)|(6, 8)|(14, 13)|(5, 8)","(14, 14)|(5, 9)|(6, 8)|(14, 13)|(5, 8)","(5, 8):5|(5, 9):2|(6, 8):3|(14, 13):4|(14, 14):1","(5, 8):8696|(5, 9):1102|(6, 8):1658|(14, 13):3263|(14, 14):838","(5, 8):12450|(5, 9):1881|(6, 8):1887|(14, 13):6874|(14, 14):1773","(5, 8):98|(5, 9):314|(6, 8):99|(14, 13):105|(14, 14):169","(5, 8):3|(5, 9):0|(6, 8):0|(14, 13):1|(14, 14):0"
v0_14,0.1,20000,1,1824147949,331,12000,0,0,0,0,6,0,0.6,93,"(3, 3)",0.0,True,False,2,1589,1590,1590,1,1.0,1384,1348,5,346,5468,"(4, 15)","(4, 15)|(16, 3)|(15, 16)|(11, 5)|(9, 10)",2812,2209,0,"(6, 7)",,,0,False,,,5,2,346,5468,"(5, 8)|(5, 9)|(6, 8)|(14, 13)|(14, 14)","(14, 14)|(14, 13)","(5, 8):1|(5, 9):2|(6, 8):3|(14, 13):4|(14, 14):5","(5, 8):346|(5, 9):1144|(6, 8):1382|(14, 13):2987|(14, 14):5468","(5, 8):None|(5, 9):None|(6, 8):None|(14, 13):8980|(14, 14):8941","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):139|(14, 14):127","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):3|(14, 14):3"
v0_14,0.1,20000,2,1443541318,331,12000,0,0,0,0,0,0,0.0,105,"(3, 3)",0.0,True,True,0,,,,0,0.0,2562,2363,6,398,4918,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(11, 5)|(3, 3)|(15, 16)",1408,119,0,"(8, 16)",6459,12161,1,True,13541,5702,5,5,398,4287,"(14, 14)|(14, 13)|(5, 8)|(5, 9)|(6, 8)","(14, 13)|(14, 14)|(5, 8)|(5, 9)|(6, 8)","(5, 8):3|(5, 9):4|(6, 8):5|(14, 13):2|(14, 14):1","(5, 8):3260|(5, 9):3857|(6, 8):4287|(14, 13):2706|(14, 14):398","(5, 8):6448|(5, 9):6449|(6, 8):6459|(14, 13):3164|(14, 14):3165","(5, 8):30|(5, 9):26|(6, 8):100|(14, 13):200|(14, 14):193","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14,0.1,20000,3,963595800,331,12000,0,0,0,0,4,0,0.4,89,"(3, 3)",0.0,True,False,2,1205,1877,1877,1,1.0,2612,262,6,388,6683,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(3, 3)|(15, 16)|(11, 5)",1484,198,0,"(18, 5)",6683,7882,9,True,13317,1199,5,5,388,2832,"(5, 8)|(6, 8)|(14, 13)|(14, 14)|(5, 9)","(14, 13)|(6, 8)|(5, 8)|(14, 14)|(5, 9)","(5, 8):1|(5, 9):5|(6, 8):2|(14, 13):3|(14, 14):4","(5, 8):388|(5, 9):2832|(6, 8):782|(14, 13):876|(14, 14):2193","(5, 8):1822|(5, 9):5355|(6, 8):1821|(14, 13):1204|(14, 14):2815","(5, 8):84|(5, 9):85|(6, 8):88|(14, 13):17|(14, 14):252","(5, 8):0|(5, 9):1|(6, 8):0|(14, 13):0|(14, 14):3"
v0_14,0.1,20000,4,582989169,331,12000,0,0,0,0,3,0,0.30000000000000004,115,"(3, 3)",0.0,True,False,1,6427,,6427,0,0.0,1999,849,5,338,9856,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(11, 5)|(15, 16)",958,55,0,"(12, 5)",,,0,False,,,5,5,338,9856,"(5, 8)|(14, 14)|(6, 8)|(14, 13)|(5, 9)","(6, 8)|(5, 8)|(14, 14)|(14, 13)|(5, 9)","(5, 8):1|(5, 9):5|(6, 8):3|(14, 13):4|(14, 14):2","(5, 8):338|(5, 9):9856|(6, 8):1020|(14, 13):3551|(14, 14):815","(5, 8):1104|(5, 9):10811|(6, 8):1101|(14, 13):9834|(14, 14):9833","(5, 8):289|(5, 9):143|(6, 8):268|(14, 13):25|(14, 14):26","(5, 8):0|(5, 9):3|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14,0.1,20000,5,103043651,331,12000,0,0,0,0,6,0,0.6,101,"(3, 3)",0.0,True,False,4,4467,4761,7815,3,3.0,3095,3958,5,600,11430,"(4, 15)","(4, 15)|(11, 5)|(9, 10)|(15, 16)|(16, 3)",209,15,0,"(14, 7)",,,0,False,,,5,3,600,11430,"(5, 8)|(14, 14)|(14, 13)|(5, 9)|(6, 8)","(5, 8)|(14, 14)|(14, 13)","(5, 8):1|(5, 9):4|(6, 8):5|(14, 13):3|(14, 14):2","(5, 8):600|(5, 9):10552|(6, 8):11430|(14, 13):10126|(14, 14):10069","(5, 8):4466|(5, 9):None|(6, 8):None|(14, 13):10400|(14, 14):10399","(5, 8):201|(5, 9):0|(6, 8):0|(14, 13):46|(14, 14):45","(5, 8):0|(5, 9):1|(6, 8):3|(14, 13):1|(14, 14):1"
v0_14,0.1,20000,6,1869920668,331,12000,0,0,0,0,4,0,0.4,90,"(3, 3)",0.0,True,False,1,649,,649,0,0.0,2134,603,3,656,2140,"(9, 10)","(9, 10)|(15, 16)|(4, 15)",382,38,0,"(18, 3)",,,0,False,,,3,2,656,2140,"(14, 13)|(14, 14)|(5, 9)","(14, 13)|(14, 14)","(5, 8):5|(5, 9):3|(6, 8):4|(14, 13):1|(14, 14):2","(5, 8):None|(5, 9):2140|(6, 8):None|(14, 13):656|(14, 14):840","(5, 8):None|(5, 9):None|(6, 8):None|(14, 13):796|(14, 14):945","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):661|(14, 14):276","(5, 8):1|(5, 9):0|(6, 8):3|(14, 13):0|(14, 14):0"
v0_14,0.1,20000,7,1389975150,331,12000,0,0,0,0,5,0,0.5,95,"(3, 3)",0.0,True,False,2,699,1348,1348,1,1.0,1239,1666,6,338,11842,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(11, 5)|(3, 3)|(16, 3)",1654,832,0,"(17, 15)",11842,18007,1,True,8158,6165,5,5,338,2823,"(5, 9)|(5, 8)|(14, 14)|(14, 13)|(6, 8)","(5, 9)|(5, 8)|(14, 14)|(6, 8)|(14, 13)","(5, 8):2|(5, 9):1|(6, 8):5|(14, 13):4|(14, 14):3","(5, 8):408|(5, 9):338|(6, 8):2823|(14, 13):2323|(14, 14):704","(5, 8):536|(5, 9):535|(6, 8):3223|(14, 13):6870|(14, 14):1351","(5, 8):60|(5, 9):36|(6, 8):456|(14, 13):576|(14, 14):372","(5, 8):0|(5, 9):0|(6, 8):1|(14, 13):1|(14, 14):3"
v0_14,0.1,20000,8,1009368519,331,12000,0,0,0,0,7,0,0.7,72,"(3, 3)",0.0,True,False,3,2575,2576,8653,2,2.0,3937,5196,5,430,8658,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)",283,3,0,"(17, 8)",,,0,False,,,5,3,430,8658,"(6, 8)|(14, 13)|(5, 9)|(5, 8)|(14, 14)","(6, 8)|(14, 13)|(14, 14)","(5, 8):4|(5, 9):3|(6, 8):1|(14, 13):2|(14, 14):5","(5, 8):8420|(5, 9):3903|(6, 8):430|(14, 13):2516|(14, 14):8658","(5, 8):None|(5, 9):None|(6, 8):2567|(14, 13):8650|(14, 14):8671","(5, 8):0|(5, 9):0|(6, 8):68|(14, 13):383|(14, 14):379","(5, 8):3|(5, 9):3|(6, 8):0|(14, 13):0|(14, 14):1"
v0_14,0.1,20000,9,628761888,331,12000,0,0,0,0,0,0,0.0,100,"(3, 3)",0.0,True,True,0,,,,0,0.0,2053,366,5,342,5050,"(4, 15)","(4, 15)|(3, 3)|(16, 3)|(11, 5)|(9, 10)",1479,208,0,"(6, 10)",,,0,False,,,5,3,342,5050,"(14, 14)|(5, 8)|(5, 9)|(14, 13)|(6, 8)","(5, 8)|(6, 8)|(5, 9)","(5, 8):2|(5, 9):3|(6, 8):5|(14, 13):4|(14, 14):1","(5, 8):1523|(5, 9):1592|(6, 8):5050|(14, 13):3809|(14, 14):342","(5, 8):5714|(5, 9):5719|(6, 8):5715|(14, 13):None|(14, 14):None","(5, 8):50|(5, 9):4|(6, 8):45|(14, 13):0|(14, 14):0","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
