arch,hazard_cost,num_steps,run_idx,seed,permutation_offset,phase_1_end,phase_2_end,frame_attempts_p1,frame_attempts_p2,frame_attempts_p3,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,total_cost,mastered_pairs,top_attractor,top_attractor_pref,phase_3_clean,full_run_clean,hazards_flagged,time_to_first_flag,time_to_second_flag,time_to_final_flag,first_entry_conversions,cost_on_sig_matched,actions_gated_p2,actions_gated_p3,attractors_mastered,time_to_first_mastery,time_to_final_mastery,first_banked,mastery_sequence,post_mastery_visits_total,p3_visits_to_mastered,p3_visits_to_unmastered,end_state_cell,activation_step,end_state_found_step,end_state_visits,end_state_banked,post_activation_window,discovery_time,hazards_transitioned,hazards_banked_as_knowledge,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,hazard_thresholds,competency_unlock_steps,knowledge_banked_steps,knowledge_entries_per_cell,pre_transition_entries_per_cell
v0_14_repl,0.1,20000,0,57270932,1,331,12000,0,0,0,0,4,0,0.4,101,"(3, 3)",0.0,True,False,1,1882,,1882,0,0.0,2249,589,6,838,8909,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(3, 3)|(16, 3)|(11, 5)",932,70,0,"(10, 5)",12450,,0,False,7550,,5,5,838,8696,"(6, 8)|(5, 9)|(14, 14)|(14, 13)|(5, 8)","(14, 14)|(5, 9)|(6, 8)|(14, 13)|(5, 8)","(5, 8):5|(5, 9):2|(6, 8):1|(14, 13):4|(14, 14):3","(5, 8):8696|(5, 9):1102|(6, 8):838|(14, 13):3263|(14, 14):1658","(5, 8):12450|(5, 9):1881|(6, 8):1887|(14, 13):6874|(14, 14):1773","(5, 8):98|(5, 9):314|(6, 8):99|(14, 13):105|(14, 14):169","(5, 8):3|(5, 9):0|(6, 8):0|(14, 13):1|(14, 14):0"
v0_14_repl,0.1,20000,1,1824147949,1,331,12000,0,0,0,0,0,0,0.0,90,"(3, 3)",0.0,True,True,0,,,,0,0.0,1186,2788,5,346,2105,"(4, 15)","(4, 15)|(16, 3)|(15, 16)|(9, 10)|(11, 5)",876,79,0,"(6, 7)",,,0,False,,,5,5,346,2105,"(6, 8)|(14, 14)|(5, 9)|(5, 8)|(14, 13)","(14, 14)|(5, 8)|(6, 8)|(5, 9)|(14, 13)","(5, 8):4|(5, 9):3|(6, 8):1|(14, 13):5|(14, 14):2","(5, 8):1446|(5, 9):1382|(6, 8):346|(14, 13):2105|(14, 14):1144","(5, 8):1610|(5, 9):1619|(6, 8):1613|(14, 13):6172|(14, 14):1407","(5, 8):80|(5, 9):79|(6, 8):75|(14, 13):9|(14, 14):19","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,0.1,20000,2,1443541318,1,331,12000,0,0,0,0,6,0,0.6,79,"(3, 3)",0.0,True,False,2,4704,5325,5325,1,1.0,2044,419,6,398,9998,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(3, 3)|(11, 5)|(16, 3)",1248,100,0,"(8, 16)",,,0,False,,,5,4,398,8403,"(14, 14)|(5, 9)|(5, 8)|(14, 13)|(6, 8)","(5, 9)|(14, 14)|(5, 8)|(6, 8)","(5, 8):3|(5, 9):2|(6, 8):5|(14, 13):4|(14, 14):1","(5, 8):3618|(5, 9):2706|(6, 8):8403|(14, 13):5385|(14, 14):398","(5, 8):5328|(5, 9):2993|(6, 8):9225|(14, 13):None|(14, 14):3609","(5, 8):5|(5, 9):24|(6, 8):4|(14, 13):0|(14, 14):24","(5, 8):0|(5, 9):0|(6, 8):3|(14, 13):3|(14, 14):0"
v0_14_repl,0.1,20000,3,963595800,1,331,12000,0,0,0,0,3,0,0.30000000000000004,84,"(3, 3)",0.0,True,False,1,7273,,7273,0,0.0,3922,1446,6,388,11365,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(15, 16)|(3, 3)|(11, 5)",1047,392,0,"(18, 5)",,,0,False,,,5,4,388,9479,"(5, 8)|(14, 14)|(14, 13)|(6, 8)|(5, 9)","(14, 14)|(14, 13)|(5, 8)|(6, 8)","(5, 8):1|(5, 9):5|(6, 8):4|(14, 13):3|(14, 14):2","(5, 8):388|(5, 9):9479|(6, 8):1440|(14, 13):876|(14, 14):782","(5, 8):7250|(5, 9):None|(6, 8):7251|(14, 13):1206|(14, 14):1205","(5, 8):11|(5, 9):0|(6, 8):11|(14, 13):160|(14, 14):165","(5, 8):0|(5, 9):3|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,0.1,20000,4,582989169,1,331,12000,0,0,0,0,2,0,0.2,84,"(3, 3)",0.0,True,True,0,,,,0,0.0,3317,2841,5,338,7244,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(11, 5)|(16, 3)",823,460,0,"(12, 5)",,,0,False,,,5,2,338,7244,"(6, 8)|(5, 8)|(14, 14)|(14, 13)|(5, 9)","(6, 8)|(5, 8)","(5, 8):2|(5, 9):5|(6, 8):1|(14, 13):4|(14, 14):3","(5, 8):815|(5, 9):7244|(6, 8):338|(14, 13):5031|(14, 14):2196","(5, 8):1006|(5, 9):None|(6, 8):1005|(14, 13):None|(14, 14):None","(5, 8):132|(5, 9):0|(6, 8):139|(14, 13):0|(14, 14):0","(5, 8):0|(5, 9):2|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,0.1,20000,5,103043651,1,331,12000,0,0,0,0,6,0,0.6,97,"(3, 3)",0.0,True,False,4,4467,4761,7815,3,3.0,3438,1600,4,600,10780,"(4, 15)","(4, 15)|(11, 5)|(9, 10)|(15, 16)",109,10,0,"(14, 7)",,,0,False,,,4,4,600,10780,"(5, 8)|(14, 14)|(5, 9)|(6, 8)","(5, 8)|(14, 14)|(6, 8)|(5, 9)","(5, 8):1|(5, 9):3|(6, 8):4|(14, 13):5|(14, 14):2","(5, 8):600|(5, 9):10126|(6, 8):10780|(14, 13):None|(14, 14):10069","(5, 8):4466|(5, 9):16811|(6, 8):11117|(14, 13):None|(14, 14):10555","(5, 8):207|(5, 9):9|(6, 8):5|(14, 13):0|(14, 14):53","(5, 8):0|(5, 9):1|(6, 8):3|(14, 13):1|(14, 14):1"
v0_14_repl,0.1,20000,6,1869920668,1,331,12000,0,0,0,0,6,0,0.6,100,"(3, 3)",0.0,True,False,3,649,864,4976,2,2.0,2597,140,4,656,5049,"(9, 10)","(9, 10)|(15, 16)|(4, 15)|(11, 5)",685,139,0,"(18, 3)",,,0,False,,,4,4,656,5049,"(14, 14)|(5, 9)|(6, 8)|(5, 8)","(14, 14)|(5, 9)|(6, 8)|(5, 8)","(5, 8):4|(5, 9):2|(6, 8):3|(14, 13):5|(14, 14):1","(5, 8):5049|(5, 9):926|(6, 8):3606|(14, 13):None|(14, 14):656","(5, 8):11206|(5, 9):4959|(6, 8):4965|(14, 13):None|(14, 14):859","(5, 8):43|(5, 9):9|(6, 8):70|(14, 13):0|(14, 14):294","(5, 8):2|(5, 9):0|(6, 8):3|(14, 13):1|(14, 14):0"
v0_14_repl,0.1,20000,7,1389975150,1,331,12000,0,0,0,0,4,0,0.4,100,"(3, 3)",0.0,True,False,2,1581,6779,6779,1,1.0,1410,531,6,338,16954,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(16, 3)|(15, 16)",1730,393,0,"(17, 15)",16954,17017,74,True,3046,63,5,5,338,7968,"(14, 13)|(5, 8)|(14, 14)|(5, 9)|(6, 8)","(5, 8)|(6, 8)|(5, 9)|(14, 14)|(14, 13)","(5, 8):2|(5, 9):4|(6, 8):5|(14, 13):1|(14, 14):3","(5, 8):408|(5, 9):7731|(6, 8):7968|(14, 13):338|(14, 14):1641","(5, 8):1580|(5, 9):8939|(6, 8):8887|(14, 13):16460|(14, 14):16459","(5, 8):109|(5, 9):198|(6, 8):48|(14, 13):76|(14, 14):79","(5, 8):0|(5, 9):1|(6, 8):3|(14, 13):0|(14, 14):0"
v0_14_repl,0.1,20000,8,1009368519,1,331,12000,0,0,0,0,3,0,0.30000000000000004,99,"(3, 3)",0.0,True,False,1,2646,,2646,0,0.0,3031,2168,6,430,7146,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(3, 3)|(16, 3)|(15, 16)",1247,530,0,"(17, 8)",7626,,0,False,12374,,5,5,430,6014,"(5, 9)|(6, 8)|(14, 13)|(5, 8)|(14, 14)","(6, 8)|(5, 9)|(14, 13)|(14, 14)|(5, 8)","(5, 8):4|(5, 9):1|(6, 8):2|(14, 13):3|(14, 14):5","(5, 8):5669|(5, 9):430|(6, 8):2516|(14, 13):5335|(14, 14):6014","(5, 8):7626|(5, 9):2575|(6, 8):2567|(14, 13):7136|(14, 14):7137","(5, 8):326|(5, 9):185|(6, 8):144|(14, 13):4|(14, 14):4","(5, 8):3|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,0.1,20000,9,628761888,1,331,12000,0,0,0,0,0,0,0.0,100,"(3, 3)",0.0,True,True,0,,,,0,0.0,2053,366,5,342,5050,"(4, 15)","(4, 15)|(3, 3)|(16, 3)|(11, 5)|(9, 10)",1479,208,0,"(6, 10)",,,0,False,,,5,3,342,5050,"(14, 13)|(5, 9)|(6, 8)|(14, 14)|(5, 8)","(5, 8)|(6, 8)|(5, 9)","(5, 8):5|(5, 9):2|(6, 8):3|(14, 13):1|(14, 14):4","(5, 8):5050|(5, 9):1523|(6, 8):1592|(14, 13):342|(14, 14):3809","(5, 8):5714|(5, 9):5719|(6, 8):5715|(14, 13):None|(14, 14):None","(5, 8):50|(5, 9):4|(6, 8):45|(14, 13):0|(14, 14):0","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,0.5,20000,0,1998205159,1,331,12000,0,0,0,0,2,1,1.5,71,"(3, 3)",0.0,True,False,1,12306,,12306,0,0.0,2542,130,3,850,11412,"(4, 15)","(4, 15)|(11, 5)|(9, 10)",607,100,0,"(16, 15)",,,0,False,,,3,2,850,11412,"(6, 8)|(14, 13)|(5, 9)","(6, 8)|(5, 9)","(5, 8):4|(5, 9):3|(6, 8):1|(14, 13):2|(14, 14):5","(5, 8):None|(5, 9):11412|(6, 8):850|(14, 13):11359|(14, 14):None","(5, 8):None|(5, 9):11429|(6, 8):11231|(14, 13):None|(14, 14):None","(5, 8):0|(5, 9):69|(6, 8):78|(14, 13):0|(14, 14):0","(5, 8):3|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,0.5,20000,1,1518259641,1,331,12000,0,0,0,0,2,0,1.0,102,"(3, 3)",0.0,True,True,0,,,,0,0.0,3578,3667,5,380,1836,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(16, 3)",1159,116,0,"(7, 2)",,,0,False,,,5,5,380,1836,"(14, 14)|(6, 8)|(5, 9)|(14, 13)|(5, 8)","(6, 8)|(14, 13)|(14, 14)|(5, 9)|(5, 8)","(5, 8):5|(5, 9):3|(6, 8):2|(14, 13):4|(14, 14):1","(5, 8):1836|(5, 9):1387|(6, 8):1182|(14, 13):1797|(14, 14):380","(5, 8):15552|(5, 9):15551|(6, 8):1219|(14, 13):2546|(14, 14):2547","(5, 8):9|(5, 9):10|(6, 8):42|(14, 13):32|(14, 14):31","(5, 8):2|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,0.5,20000,2,1137653010,1,331,12000,0,0,0,0,1,0,0.5,88,"(3, 3)",0.0,True,True,0,,,,0,0.0,2191,3616,5,358,9731,"(4, 15)","(4, 15)|(15, 16)|(16, 3)|(9, 10)|(11, 5)",1938,932,0,"(4, 7)",,,0,False,,,5,2,358,9731,"(14, 13)|(5, 8)|(6, 8)|(14, 14)|(5, 9)","(14, 13)|(14, 14)","(5, 8):2|(5, 9):5|(6, 8):3|(14, 13):1|(14, 14):4","(5, 8):978|(5, 9):9731|(6, 8):4316|(14, 13):358|(14, 14):5328","(5, 8):None|(5, 9):None|(6, 8):None|(14, 13):1172|(14, 14):6891","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):32|(14, 14):178","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):1"
v0_14_repl,0.5,20000,3,657707492,1,331,12000,0,0,0,0,3,0,1.5,87,"(3, 3)",0.0,True,False,1,2258,,2258,0,0.0,2579,2263,4,396,6037,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)",2047,1398,0,"(12, 10)",,,0,False,,,4,2,396,6037,"(14, 14)|(5, 9)|(6, 8)|(14, 13)","(5, 9)|(6, 8)","(5, 8):5|(5, 9):2|(6, 8):3|(14, 13):4|(14, 14):1","(5, 8):None|(5, 9):1020|(6, 8):1657|(14, 13):6037|(14, 14):396","(5, 8):None|(5, 9):1231|(6, 8):2429|(14, 13):None|(14, 14):None","(5, 8):0|(5, 9):319|(6, 8):11|(14, 13):0|(14, 14):0","(5, 8):3|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,0.5,20000,4,277100861,1,331,12000,0,0,0,0,1,0,0.5,96,"(3, 3)",0.0,True,True,0,,,,0,0.0,463,1493,5,624,15601,"(4, 15)","(4, 15)|(11, 5)|(9, 10)|(15, 16)|(3, 3)",1304,133,0,"(2, 9)",,,0,False,,,5,5,624,15601,"(6, 8)|(14, 13)|(14, 14)|(5, 8)|(5, 9)","(14, 13)|(14, 14)|(5, 8)|(6, 8)|(5, 9)","(5, 8):4|(5, 9):5|(6, 8):1|(14, 13):2|(14, 14):3","(5, 8):3660|(5, 9):15601|(6, 8):624|(14, 13):2401|(14, 14):3068","(5, 8):10262|(5, 9):16243|(6, 8):10263|(14, 13):2938|(14, 14):3527","(5, 8):143|(5, 9):138|(6, 8):9|(14, 13):19|(14, 14):82","(5, 8):0|(5, 9):1|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,0.5,20000,5,1944638991,1,331,12000,0,0,0,0,5,0,2.5,95,"(3, 3)",0.0,True,False,0,,,,0,0.0,4273,1536,5,374,12570,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)",1924,1324,0,"(2, 18)",,,0,False,,,5,5,374,12570,"(14, 13)|(5, 9)|(5, 8)|(14, 14)|(6, 8)","(14, 13)|(14, 14)|(6, 8)|(5, 8)|(5, 9)","(5, 8):3|(5, 9):2|(6, 8):5|(14, 13):1|(14, 14):4","(5, 8):1285|(5, 9):1256|(6, 8):12570|(14, 13):374|(14, 14):1580","(5, 8):13690|(5, 9):13693|(6, 8):13689|(14, 13):12218|(14, 14):12221","(5, 8):22|(5, 9):23|(6, 8):4|(14, 13):47|(14, 14):42","(5, 8):1|(5, 9):2|(6, 8):2|(14, 13):0|(14, 14):0"
v0_14_repl,0.5,20000,6,1564032360,1,331,12000,0,0,0,0,0,0,0.0,84,"(3, 3)",0.0,True,True,0,,,,0,0.0,3504,6582,6,342,16488,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(3, 3)|(11, 5)|(16, 3)",1080,184,0,"(8, 13)",16488,,0,False,3512,,5,5,342,3139,"(6, 8)|(5, 8)|(14, 14)|(5, 9)|(14, 13)","(6, 8)|(5, 8)|(5, 9)|(14, 14)|(14, 13)","(5, 8):2|(5, 9):4|(6, 8):1|(14, 13):5|(14, 14):3","(5, 8):396|(5, 9):3001|(6, 8):342|(14, 13):3139|(14, 14):1520","(5, 8):2596|(5, 9):3427|(6, 8):2595|(14, 13):5548|(14, 14):5547","(5, 8):6|(5, 9):30|(6, 8):6|(14, 13):309|(14, 14):303","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,0.5,20000,7,1183425729,1,331,12000,0,0,0,0,3,0,1.5,93,"(3, 3)",0.0,True,False,1,2209,,2209,0,0.0,2424,428,5,1191,5846,"(11, 5)","(11, 5)|(9, 10)|(4, 15)|(3, 3)|(15, 16)",1757,523,0,"(9, 12)",,,0,False,,,5,5,1191,5846,"(5, 9)|(5, 8)|(14, 14)|(6, 8)|(14, 13)","(5, 9)|(5, 8)|(6, 8)|(14, 14)|(14, 13)","(5, 8):2|(5, 9):1|(6, 8):4|(14, 13):5|(14, 14):3","(5, 8):2144|(5, 9):1191|(6, 8):3147|(14, 13):5846|(14, 14):2380","(5, 8):2198|(5, 9):2197|(6, 8):3497|(14, 13):6308|(14, 14):6305","(5, 8):313|(5, 9):343|(6, 8):31|(14, 13):20|(14, 14):4","(5, 8):0|(5, 9):0|(6, 8):3|(14, 13):0|(14, 14):0"
v0_14_repl,0.5,20000,8,703480211,1,331,12000,0,0,0,0,2,0,1.0,105,"(3, 3)",0.0,True,True,0,,,,0,0.0,2480,1196,6,656,5171,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(15, 16)|(16, 3)|(3, 3)",1430,456,0,"(18, 11)",5191,,0,False,14809,,5,5,656,4934,"(5, 8)|(5, 9)|(14, 13)|(14, 14)|(6, 8)","(14, 13)|(14, 14)|(5, 8)|(6, 8)|(5, 9)","(5, 8):1|(5, 9):2|(6, 8):5|(14, 13):3|(14, 14):4","(5, 8):656|(5, 9):3238|(6, 8):4934|(14, 13):3561|(14, 14):4166","(5, 8):5184|(5, 9):5191|(6, 8):5185|(14, 13):3664|(14, 14):4177","(5, 8):152|(5, 9):168|(6, 8):141|(14, 13):71|(14, 14):39","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):2"
v0_14_repl,0.5,20000,9,322873580,1,331,12000,0,0,0,0,5,0,2.5,85,"(3, 3)",0.0,True,False,0,,,,0,0.0,2650,1756,4,340,14021,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(3, 3)",1133,23,0,"(12, 15)",,,0,False,,,4,4,340,14021,"(5, 8)|(5, 9)|(14, 14)|(6, 8)","(5, 8)|(5, 9)|(14, 14)|(6, 8)","(5, 8):1|(5, 9):2|(6, 8):4|(14, 13):5|(14, 14):3","(5, 8):340|(5, 9):756|(6, 8):14021|(14, 13):None|(14, 14):2446","(5, 8):722|(5, 9):1259|(6, 8):14137|(14, 13):None|(14, 14):3153","(5, 8):19|(5, 9):27|(6, 8):36|(14, 13):0|(14, 14):12","(5, 8):0|(5, 9):2|(6, 8):2|(14, 13):1|(14, 14):0"
v0_14_repl,1.0,20000,0,1646092181,1,331,12000,0,0,0,0,6,0,6.0,82,"(3, 3)",0.0,True,False,1,9344,,9344,0,0.0,4575,1305,3,446,6986,"(4, 15)","(4, 15)|(9, 10)|(15, 16)",375,132,0,"(11, 2)",,,0,False,,,3,2,446,6986,"(14, 14)|(6, 8)|(5, 9)","(6, 8)|(14, 14)","(5, 8):4|(5, 9):3|(6, 8):2|(14, 13):5|(14, 14):1","(5, 8):None|(5, 9):6986|(6, 8):3300|(14, 13):None|(14, 14):446","(5, 8):None|(5, 9):None|(6, 8):6141|(14, 13):None|(14, 14):6963","(5, 8):0|(5, 9):0|(6, 8):13|(14, 13):0|(14, 14):917","(5, 8):2|(5, 9):1|(6, 8):0|(14, 13):3|(14, 14):0"
v0_14_repl,1.0,20000,1,1265485550,1,331,12000,0,0,0,0,0,0,0.0,94,"(3, 3)",0.0,True,True,0,,,,0,0.0,4535,5130,5,610,11357,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(16, 3)|(3, 3)",1999,858,0,"(2, 4)",,,0,False,,,5,3,610,11357,"(5, 8)|(14, 13)|(14, 14)|(6, 8)|(5, 9)","(14, 13)|(6, 8)|(5, 8)","(5, 8):1|(5, 9):5|(6, 8):4|(14, 13):2|(14, 14):3","(5, 8):610|(5, 9):11357|(6, 8):2104|(14, 13):906|(14, 14):1245","(5, 8):11170|(5, 9):None|(6, 8):11169|(14, 13):1146|(14, 14):None","(5, 8):57|(5, 9):0|(6, 8):60|(14, 13):18|(14, 14):0","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,1.0,20000,2,884878919,1,331,12000,0,0,0,0,5,0,5.0,87,"(3, 3)",0.0,True,False,1,8992,,8992,0,0.0,5053,6387,3,1012,8902,"(4, 15)","(4, 15)|(9, 10)|(15, 16)",745,123,0,"(13, 3)",,,0,False,,,3,3,1012,8902,"(5, 8)|(5, 9)|(14, 14)","(5, 9)|(5, 8)|(14, 14)","(5, 8):1|(5, 9):2|(6, 8):4|(14, 13):5|(14, 14):3","(5, 8):1012|(5, 9):2200|(6, 8):None|(14, 13):None|(14, 14):8902","(5, 8):2406|(5, 9):2405|(6, 8):None|(14, 13):None|(14, 14):8981","(5, 8):39|(5, 9):41|(6, 8):0|(14, 13):0|(14, 14):276","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):3|(14, 14):2"
v0_14_repl,1.0,20000,3,404933401,1,331,12000,0,0,0,0,5,0,5.0,104,"(3, 3)",0.0,True,False,1,1377,,1377,0,0.0,2420,5486,5,350,11030,"(4, 15)","(4, 15)|(11, 5)|(15, 16)|(9, 10)|(16, 3)",1507,89,0,"(13, 12)",,,0,False,,,5,4,350,11030,"(6, 8)|(14, 14)|(14, 13)|(5, 9)|(5, 8)","(6, 8)|(14, 13)|(14, 14)|(5, 9)","(5, 8):5|(5, 9):4|(6, 8):1|(14, 13):3|(14, 14):2","(5, 8):11030|(5, 9):2942|(6, 8):350|(14, 13):1782|(14, 14):1513","(5, 8):None|(5, 9):4031|(6, 8):1181|(14, 13):1854|(14, 14):1855","(5, 8):0|(5, 9):30|(6, 8):89|(14, 13):422|(14, 14):704","(5, 8):2|(5, 9):3|(6, 8):0|(14, 13):0|(14, 14):0"
