hazard_mode,hazard_cost,p3_concentration,p3_attractor_ratio,p2_attractor_ratio,mastered_count,top_on_attractor,top_near_attractor,top_attractor,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,hazard_entries_total,total_cost_incurred,rule_violated_total,rule_violated_p3,frame_attempts_total,hazard_attempts_total
cost,0.1,54.46925,13.424583333333333,4.638243779815465,84,2,3,"(11, 5)",0,0,0,0,0.0,0,0,0,0
cost,0.1,93.54675,18.953916666666665,8.5429342702888,98,4,4,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,0.1,35.409,13.1786875,13.86916902333819,81,5,5,"(3, 3)",0,0,0,0,0.0,0,0,0,0
cost,0.1,75.72262500000001,21.565729166666667,15.72811152055303,81,3,4,"(11, 5)",0,0,0,0,0.0,0,0,0,0
cost,0.1,126.4835,21.080583333333333,14.944439683491874,47,1,3,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,0.1,147.45775,24.576291666666666,19.145285228668552,46,2,4,"(16, 3)",0,0,0,0,0.0,0,0,0,0
cost,0.1,99.488125,2.4124375,2.952438083811809,103,4,4,"(3, 3)",0,0,0,0,0.0,0,0,0,0
cost,0.1,32.896875,12.6204375,6.082569200445625,89,5,5,"(3, 3)",0,0,0,0,0.0,0,0,0,0
cost,0.1,64.5975,22.3100625,10.825606307309966,105,5,5,"(16, 3)",0,0,0,0,0.0,0,0,0,0
cost,0.1,118.349,20.223270833333334,9.062344673922357,83,2,3,"(3, 3)",0,0,0,0,0.0,0,0,0,0
cost,0.5,65.833625,13.0590625,14.566272459793757,88,5,5,"(11, 5)",0,0,0,0,0.0,0,0,0,0
cost,0.5,140.679,23.4465,18.5393064244294,46,3,4,"(15, 16)",0,0,0,0,0.0,0,0,0,0
cost,0.5,140.36,23.39333333333333,12.023895220955808,76,3,5,"(15, 16)",0,0,0,0,0.0,0,0,0,0
cost,0.5,138.406125,0.0,5.822863998628845,74,2,2,"(3, 3)",0,0,0,0,0.0,0,0,0,0
cost,0.5,145.264625,24.21077083333333,6.647541920187391,64,2,3,"(15, 16)",0,0,0,0,0.0,0,0,0,0
cost,0.5,57.220625,2.2130625,2.3100094266860913,80,3,3,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,0.5,61.4075,2.751375,4.469663210215099,95,4,4,"(11, 5)",0,0,0,0,0.0,0,0,0,0
cost,0.5,124.848625,21.014125,18.047233410460763,53,2,5,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,0.5,91.95175,3.575458333333333,0.6652098151798211,64,2,2,"(9, 10)",0,0,0,0,0.0,0,0,0,0
cost,0.5,55.625625,10.354208333333332,5.148541720227383,92,2,3,"(3, 3)",0,0,0,0,0.0,0,0,0,0
cost,1.0,93.3075,0.6845208333333332,6.9300282800582735,74,3,3,"(15, 16)",0,0,0,0,0.0,0,0,0,0
