hazard_mode,hazard_cost,p3_concentration,p3_attractor_ratio,p2_attractor_ratio,mastered_count,top_on_attractor,top_near_attractor,top_attractor,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,hazard_entries_total,total_cost_incurred,rule_violated_total,rule_violated_p3,frame_attempts_total,hazard_attempts_total
cost_no_aversion,0.1,146.5605625,24.426760416666664,20.68937184893047,82,3,4,"(3, 3)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,0.1,139.53259375,23.255432291666665,22.04672848182257,57,1,2,"(16, 3)",0,5,0,5,0.5,1,0,0,0
cost_no_aversion,0.1,140.34006250000002,23.44317708333333,21.55486794352724,72,3,5,"(16, 3)",0,3,0,3,0.30000000000000004,1,0,0,0
cost_no_aversion,0.1,121.34959375,24.124374999999997,11.493475843839812,190,4,4,"(11, 5)",0,86,28,114,11.399999999999975,1,1,0,0
cost_no_aversion,0.1,140.76871875,22.901541666666667,14.456907703818695,146,4,4,"(16, 3)",0,156,0,156,15.59999999999996,1,0,0,0
cost_no_aversion,0.1,98.42146875,4.427786458333333,21.966424720468225,134,3,3,"(15, 16)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,0.1,145.09515625,24.182526041666666,21.075276035438826,76,3,4,"(11, 5)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,0.1,146.4010625,24.400177083333332,20.372618123588357,76,3,4,"(9, 10)",0,85,0,85,8.499999999999986,1,0,0,0
cost_no_aversion,0.1,142.83225000000002,23.805374999999998,20.98716496395281,77,1,4,"(3, 3)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,0.1,135.216125,23.431546875,17.825204360625705,158,5,5,"(11, 5)",0,106,0,106,10.599999999999978,1,0,0,0
cost_no_aversion,0.5,143.99859375,24.302151041666665,21.55486794352724,96,5,5,"(9, 10)",0,7,0,7,3.5,1,0,0,0
cost_no_aversion,0.5,140.36,23.39333333333333,20.48192046543176,84,3,5,"(15, 16)",0,23,8,31,15.5,1,1,0,0
cost_no_aversion,0.5,146.27146875,24.378578124999997,20.370387463550735,93,3,5,"(15, 16)",0,20,22,42,21.0,1,1,0,0
cost_no_aversion,0.5,144.13815625,24.023026041666665,21.713244806198297,73,3,4,"(16, 3)",0,0,0,0,0.0,0,0,0,0
