arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count
v1_10,0,202358875,0.1,320000,515,192000,,,,0.1,520,633,"['att_free_1', 'att_free_3', 'att_free_2', 'att_green']",,,False,520,633,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,,,1,True,locate_family,GREEN,160000,True,38665,121335,False,,,1,689,138,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",908,689,0.2412,False,,,0
v1_10,1,1869897005,0.1,320000,515,192000,39849,,39849,0.4,519,119582,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2']",,,False,519,39784,"['haz_unaff_2', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_0']","['haz_yellow', 'haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0']",1,3,0,31,,4,True,locate_family,YELLOW,160000,False,,,True,524,159476,1,803,248,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1000,803,0.197,False,,,0
v1_10,2,1489290374,0.1,320000,515,192000,,,,0.1,518,632,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",135379,135382,True,518,600,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green']",1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,160000,True,600,159400,False,,,0,626,121,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",783,626,0.2005,True,135382,3,0
v1_10,3,1108683743,0.1,320000,515,192000,,,,0.1,519,6807,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,,False,519,6807,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2']",1,0,0,30,,1,True,locate_family,GREEN,160000,False,,,True,6807,153193,1,838,249,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1036,838,0.1911,False,,,0
v1_10,4,628738225,0.1,320000,515,192000,,,,0.1,518,71203,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3', 'att_green']",,,False,518,71203,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']",1,0,0,29,,1,True,locate_family,YELLOW,160000,True,524,159476,False,,,1,811,272,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1009,811,0.1962,False,,,0
v1_10,5,248131594,0.1,320000,515,192000,,,,0.1,518,251336,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3']",,,False,518,251323,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,160000,False,,,True,,,0,651,136,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",799,651,0.1852,False,,,0
v1_10,6,1915669724,0.1,320000,515,192000,,,,0.1,519,136929,"['att_free_3', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,519,136929,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,38,,1,True,locate_family,GREEN,160000,False,,,True,136929,23071,1,786,217,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",994,786,0.2093,False,,,0
v1_10,7,1535063093,0.1,320000,515,192000,,,,0.1,522,7496,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,,False,522,7496,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2']",1,0,0,33,,1,True,locate_family,YELLOW,160000,True,528,159472,False,,,1,786,255,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",971,786,0.1905,False,,,0
v1_10,8,1154456462,0.1,320000,515,192000,,,,0.1,518,55129,"['att_free_1', 'att_free_2', 'att_green', 'att_free_0', 'att_yellow']",56496,56499,True,518,55129,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,54636,,1,True,bank_hazard_within_budget,haz_green,160000,True,53911,106089,False,,,0,1259,242,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",7815,1259,0.8389,True,56499,3,0
v1_10,9,674510944,0.1,320000,515,192000,,,,0.1,518,5023,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2']",,,False,518,4970,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2']",1,0,0,29,,1,True,locate_family,GREEN,160000,False,,,True,,,0,791,281,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",985,791,0.197,False,,,0
