arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran
v1_11,0,202358875,0.1,320000,515,192000,,,,0.1,520,633,"['att_free_1', 'att_free_3', 'att_free_2', 'att_green']",,,False,520,633,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,,,1,True,locate_family,GREEN,160000,True,38665,121335,False,,,1,689,138,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",908,689,0.2412,False,,,0,0,0.0,0,0,False
v1_11,1,1869897005,0.1,320000,515,192000,39849,,39849,0.4,519,119582,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2']",,,False,519,39784,"['haz_unaff_2', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_0']","['haz_yellow', 'haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0']",1,3,0,31,,4,True,locate_family,YELLOW,160000,False,,,True,524,159476,1,810,247,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1011,810,0.1988,False,,,1,1,6.0,1,1,False
v1_11,2,1489290374,0.1,320000,515,192000,,,,0.1,518,35171,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2', 'att_free_3']",53,55,True,518,602,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green']",1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,160000,True,602,159398,False,,,0,729,142,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1147,729,0.3644,True,23830,23777,1,0,0.0,0,0,True
v1_11,3,1108683743,0.1,320000,515,192000,,,,0.1,519,6801,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,,False,519,6801,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,30,,1,True,locate_family,GREEN,160000,False,,,True,6801,153199,1,847,253,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1056,847,0.1979,False,,,1,1,6.0,1,1,False
v1_11,4,628738225,0.1,320000,515,192000,,,,0.1,518,71203,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3', 'att_green']",,,False,518,71203,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']",1,0,0,29,,1,True,locate_family,YELLOW,160000,True,534,159466,False,,,1,839,278,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1071,839,0.2166,False,,,1,1,6.0,1,1,False
v1_11,5,248131594,0.1,320000,515,192000,,,,0.1,518,251336,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3']",,,False,518,251323,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,160000,False,,,True,,,0,667,140,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",831,667,0.1974,False,,,1,1,6.0,1,1,False
v1_11,6,1915669724,0.1,320000,515,192000,,,,0.1,519,136937,"['att_free_3', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,519,136937,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,38,,1,True,locate_family,GREEN,160000,False,,,True,136937,23063,1,796,220,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1036,796,0.2317,False,,,1,1,6.0,1,1,False
v1_11,7,1535063093,0.1,320000,515,192000,,,,0.1,522,7527,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,522,7527,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,33,,1,True,locate_family,YELLOW,160000,False,,,True,526,159474,1,800,326,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1042,800,0.2322,False,,,1,1,6.0,1,1,False
v1_11,8,1154456462,0.1,320000,515,192000,,,,0.1,518,55129,"['att_free_1', 'att_free_2', 'att_green', 'att_free_0', 'att_yellow']",195,1743,True,518,55129,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,54636,,1,True,bank_hazard_within_budget,haz_green,160000,True,53911,106089,False,,,0,1335,262,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",8115,1335,0.8355,True,56499,56304,1,0,0.0,0,0,True
v1_11,9,674510944,0.1,320000,515,192000,,,,0.1,518,5024,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2']",,,False,518,4971,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2']",1,0,0,29,,1,True,locate_family,GREEN,160000,False,,,True,,,0,803,284,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1022,803,0.2143,False,,,1,1,6.0,1,1,False
