arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran,haz_blue_approached,predicted_record_written,transfer_triggered_step
v1_13_4,0,202358875,0.1,500000,527,300000,,,,0.1,532,364904,"['att_free_1', 'att_free_3', 'att_free_2', 'att_green', 'att_yellow']",,,False,532,364904,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green', 'haz_yellow']","['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green', 'haz_yellow']",1,0,0,364399,,1,True,locate_family,GREEN,250000,True,38677,211323,False,,,1,1431,324,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1810,1431,0.2094,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,1,1869897005,0.1,500000,527,300000,39861,,39861,0.4,531,119594,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2']",,,False,531,39796,"['haz_unaff_2', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_0']","['haz_yellow', 'haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0']",1,3,0,31,,4,True,locate_family,YELLOW,250000,False,,,True,536,249464,1,1490,407,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1830,1490,0.1858,False,,,1,1,6.0,1,0,False,True,False,
v1_13_4,2,1489290374,0.1,500000,527,300000,,,,0.1,530,655,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",,,False,530,614,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green']",1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,250000,True,614,249386,False,,,0,1156,183,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1599,1156,0.277,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,3,1108683743,0.1,500000,527,300000,46382,,46382,0.4,531,6813,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,,False,531,6813,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,30,,1,True,locate_family,GREEN,250000,False,,,True,6813,243187,1,1364,411,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1669,1364,0.1827,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,4,628738225,0.1,500000,527,300000,,,,0.1,530,71215,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3', 'att_green']",,,False,530,71215,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']",1,0,0,29,,1,True,locate_family,YELLOW,250000,True,546,249454,False,,,1,1511,381,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1854,1511,0.185,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,5,248131594,0.1,500000,527,300000,,,,0.2,530,251348,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3']",,,False,530,251335,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,250000,False,,,True,,,0,1479,267,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1890,1479,0.2175,False,,,1,1,6.0,1,0,False,True,False,
v1_13_4,6,1915669724,0.1,500000,527,300000,,,,0.1,531,136949,"['att_free_3', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,531,136949,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,38,,1,True,locate_family,GREEN,250000,False,,,True,136949,113051,1,1457,315,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1822,1457,0.2003,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,7,1535063093,0.1,500000,527,300000,,,,0.1,534,7539,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,534,7539,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,33,,1,True,locate_family,YELLOW,250000,False,,,True,538,249462,1,1459,481,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1829,1459,0.2023,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,8,1154456462,0.1,500000,527,300000,,,,0.1,530,55141,"['att_free_1', 'att_free_2', 'att_green', 'att_free_0', 'att_yellow']",,,False,530,55141,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,54636,,1,True,bank_hazard_within_budget,haz_green,250000,True,53923,196077,False,,,0,2927,468,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",19078,2927,0.8466,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,9,674510944,0.1,500000,527,300000,,,,0.1,530,5036,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2']",,,False,530,4983,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2']",1,0,0,29,,1,True,locate_family,GREEN,250000,False,,,True,,,0,1653,459,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2096,1653,0.2114,False,,,1,1,6.0,1,0,False,True,False,
