arch,run_idx,agent,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran,haz_blue_approached,predicted_record_written,transfer_triggered_step,env1_mastery_order_sequence,env1_end_state_banked_step,return_env1_ran,arc_complete,arc_timeout,ineligible_reason,return_step,transformation_step,arc_total_steps,social_corroboration_fired,social_observation_step,zpd_delta
v1_15_3,0,a,202358875,0.1,692239,,,,,,0.1,,,[],,,True,541,203399,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow']",[],1,0,0,,,1,True,locate_family,GREEN,500000,True,488717,11283,False,,,0,1727,495,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2195,1727,0.2132,False,,,1,0,0.0,0,0,True,True,True,488719,"['att_free_1', 'att_free_3', 'att_yellow', 'att_free_2', 'att_green']",,True,True,False,,0,7,488726,True,39,-257992
v1_15_3,0,b,202378875,0.1,692239,,,,,,0.2,6,6,['att_free_0'],,,True,532,6,"['haz_unaff_2', 'haz_green', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_0', 'haz_blue']",[],1,0,1,,,2,True,locate_family,GREEN,500000,True,24112,475888,False,,,1,97,20,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",248,97,0.6089,False,,,2,0,0.0,0,0,True,True,True,24500,"['att_free_1', 'att_free_3', 'att_green', 'att_free_2', 'att_yellow']",,True,True,False,,0,6,24506,False,,206228
v1_15_3,1,a,1869897005,0.1,101083,,,,,,0.1,,,[],,,True,541,85,"['haz_unaff_1', 'haz_yellow', 'haz_green', 'haz_unaff_1', 'haz_unaff_0']",[],1,0,0,,,1,True,locate_family,YELLOW,500000,True,596,499404,False,,,1,20,7,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",139,20,0.8561,False,,,1,0,0.0,0,0,True,True,True,2344,"['att_free_1', 'att_free_3', 'att_yellow', 'att_green', 'att_free_2']",,True,True,False,,0,15,2359,False,,228375
v1_15_3,1,b,1869917005,0.1,101083,,,,,,0.1,,,[],,,True,532,14,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_2', 'haz_blue']",[],1,0,0,,,1,True,locate_family,YELLOW,500000,True,24022,475978,False,,,0,95,24,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",231,95,0.5887,False,,,1,0,0.0,0,0,True,True,True,24026,"['att_free_1', 'att_free_3', 'att_free_2', 'att_green', 'att_yellow']",,True,True,False,,0,14,24040,True,83,206694
v1_15_3,2,a,1489290374,0.1,851310,,,,,,0.1,,,[],,,False,532,291,"['haz_unaff_0', 'haz_unaff_0', 'haz_unaff_1']",[],1,0,0,,,1,True,bank_hazard_within_budget,haz_green,500000,True,34155,465845,False,,,0,146,18,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",291,146,0.4983,False,,,1,0,0.0,0,0,True,True,True,51309,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,False,False,True,,,,,True,141752,
v1_15_3,2,b,1489310374,0.1,851310,,,34440,,34440,0.30000000000000004,,,[],,,True,536,51,"['haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green', 'haz_unaff_2', 'haz_blue']",[],3,0,0,,,3,True,bank_hazard_within_budget,haz_green,500000,True,34154,465846,False,,,0,94,15,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",215,94,0.5628,False,,,1,0,0.0,0,0,True,True,True,34500,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,True,True,False,,0,51,34551,False,,196183
v1_15_3,3,a,1108683743,0.1,4985,,,,,,0.30000000000000004,,,[],,,True,554,100,"['haz_unaff_2', 'haz_green', 'haz_unaff_2']",[],1,0,0,,,1,True,locate_family,GREEN,500000,False,,,False,,,1,26,8,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",152,26,0.8289,False,,,1,0,0.0,0,0,True,True,True,4883,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,True,True,False,,0,22,4905,True,62,225829
v1_15_3,3,b,1108703743,0.1,4985,,,,,,0.1,21,21,['att_free_0'],,,True,532,21,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_green', 'haz_unaff_1', 'haz_unaff_0', 'haz_blue']",[],1,0,0,,,1,True,locate_family,GREEN,500000,False,,,False,,,1,25,7,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",169,25,0.8521,False,,,1,0,0.0,0,0,True,True,True,4000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,True,True,False,,0,21,4021,False,,226713
v1_15_3,4,a,628738225,0.1,416430,,,,,,0.1,,,[],,,True,532,536,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow']",[],1,0,0,,,1,True,locate_family,YELLOW,500000,True,554,499446,False,,,1,1240,315,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1593,1240,0.2216,False,,,1,0,0.0,0,0,True,True,True,415784,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green']",,True,True,False,,0,16,415800,True,613,-185066
v1_15_3,4,b,628758225,0.1,416430,,,,,,0.1,15,15,['att_free_0'],,,True,250864,15,"['haz_unaff_2', 'haz_green', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_unaff_2', 'haz_blue']",[],1,0,0,,,1,True,locate_family,YELLOW,500000,True,543,499457,False,,,1,954,264,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1232,954,0.2256,False,,,1,0,0.0,0,0,True,True,True,325092,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_3']",,True,True,False,,0,15,325107,False,,-94373
