arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran,haz_blue_approached,predicted_record_written,transfer_triggered_step,env1_mastery_order_sequence,env1_end_state_banked_step,return_env1_ran,arc_complete,arc_timeout,ineligible_reason,return_step,transformation_step,arc_total_steps
v1_16,0,202358875,0.1,39001,,,,,,0.2,9,59940,"['att_free_0', 'att_yellow', 'att_free_1', 'att_free_2', 'att_green', 'att_free_3']",59940,,False,532,9,"['haz_unaff_1', 'haz_unaff_2', 'haz_green', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_1', 'haz_unaff_2', 'haz_blue']",['haz_blue'],1,0,0,38422,,1,True,locate_family,GREEN,500000,True,38682,461318,False,,,1,109,22,"dist_green,haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",280,109,0.6107,True,,,1,1,6.0,1,0,True,True,True,39000,"['att_free_1', 'att_free_2', 'att_green', 'att_free_3', 'att_yellow', 'att_free_0']",,True,True,False,,0,9,39075
v1_16,1,1869897005,0.1,3001,,,,,,0.2,437,509,"['att_yellow', 'att_free_1', 'att_free_2', 'att_green']",,,False,531,14,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_unaff_2', 'haz_unaff_0', 'haz_yellow', 'haz_blue']",['haz_blue'],1,0,0,31,,1,True,locate_family,YELLOW,500000,True,598,499402,False,,,1,30,6,"dist_yellow,haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",173,30,0.8266,False,,,1,1,6.0,1,0,True,True,True,3000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_free_2', 'att_green']",,True,True,False,,0,14,3396
v1_16,2,1489290374,0.1,1001,,,,,,0.1,108,493,"['att_free_0', 'att_yellow', 'att_free_1', 'att_free_2', 'att_green']",,,False,530,108,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green', 'haz_unaff_0', 'haz_unaff_2', 'haz_unaff_1', 'haz_green', 'haz_blue']",['haz_blue'],1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,500000,True,958,499042,False,,,0,14,2,"haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",142,14,0.9014,False,,,1,1,6.0,1,0,True,True,True,1000,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_0', 'att_free_2', 'att_green']",,True,True,False,,0,108,1410
v1_16,3,1108683743,0.1,1001,,,,,,0.2,34,237,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,531,34,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_green', 'haz_unaff_1', 'haz_unaff_0', 'haz_blue']",['haz_blue'],1,0,0,30,,1,True,locate_family,GREEN,500000,False,,,True,837,499163,1,16,4,"dist_green,haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",159,16,0.8994,False,,,1,1,6.0,1,0,True,True,True,1000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_free_2', 'att_green']",,True,True,False,,0,34,1133
v1_16,4,628738225,0.1,1001,,,,,,0.30000000000000004,20,82,"['att_free_0', 'att_free_1', 'att_free_2', 'att_green']",,,False,530,20,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_unaff_2', 'haz_blue']",['haz_blue'],1,0,0,29,,1,True,locate_family,YELLOW,500000,True,546,499454,False,,,1,15,3,"dist_yellow,haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",152,15,0.9013,False,,,1,1,6.0,1,0,True,True,True,1000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green', 'att_free_2']",,True,True,False,,0,20,1084
v1_16,5,248131594,0.1,38501,,,,,,0.2,17,177819,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green', 'att_free_3']",177819,,False,530,17,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_blue']",['haz_blue'],1,0,0,37585,,1,True,bank_hazard_within_budget,haz_green,500000,True,736,499264,False,,,0,146,19,"haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",289,146,0.4948,True,,,1,1,6.0,1,0,True,True,True,38500,"['att_free_1', 'att_free_3', 'att_free_0', 'att_free_2', 'att_green', 'att_yellow']",,True,True,False,,0,17,38606
v1_16,6,1915669724,0.1,2001,,,,,,0.2,94,38919,"['att_free_0', 'att_yellow', 'att_free_1', 'att_free_2', 'att_green', 'att_free_3']",38919,,False,531,94,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green', 'haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_blue']",['haz_blue'],1,0,0,38,,1,True,locate_family,GREEN,500000,False,,,True,1922,498078,1,18,5,"dist_green,haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",153,18,0.8824,True,,,1,1,6.0,1,0,True,True,True,2000,"['att_free_3', 'att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,True,True,False,,0,94,2245
v1_16,7,1535063093,0.1,1001,,,,,,0.2,3,293,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,534,3,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green', 'haz_unaff_0', 'haz_green', 'haz_unaff_2', 'haz_unaff_1', 'haz_blue']",['haz_blue'],1,0,0,33,,1,True,locate_family,YELLOW,500000,True,766,499234,False,,,1,14,4,"dist_yellow,haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",163,14,0.9141,False,,,1,1,6.0,1,0,True,True,True,1000,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green', 'att_free_0']",,True,True,False,,0,3,1085
v1_16,8,1154456462,0.1,1001,,,,,,0.2,7,52,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,530,7,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_green', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2', 'haz_green', 'haz_blue']",['haz_blue'],1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,500000,True,665,499335,False,,,0,10,2,"haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",130,10,0.9231,False,,,1,1,6.0,1,0,True,True,True,1000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_free_2', 'att_green']",,True,True,False,,0,7,1204
v1_16,9,674510944,0.1,1501,,,,,,0.2,275,351,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,530,275,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green', 'haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green', 'haz_blue']",['haz_blue'],1,0,0,161,,1,True,locate_family,GREEN,500000,False,,,True,1048,498952,1,19,5,"dist_green,haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",228,19,0.9167,False,,,1,1,6.0,1,0,True,True,True,1500,"['att_free_1', 'att_free_3', 'att_free_2', 'att_yellow', 'att_free_0', 'att_green']",,True,True,False,,0,275,2212
v1_16,10,10,1.0,2501,,,,,,1.0,34,75839,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_3']",75839,,False,531,34,"['haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0', 'haz_green', 'haz_yellow', 'haz_unaff_2', 'haz_green', 'haz_unaff_1', 'haz_unaff_0', 'haz_blue']",['haz_blue'],1,0,0,1500,,1,True,locate_family,YELLOW,500000,True,2015,497985,False,,,1,22,6,"dist_yellow,haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",168,22,0.869,True,,,1,1,6.0,1,0,True,True,True,2500,"['att_free_1', 'att_free_3', 'att_free_2', 'att_green', 'att_free_0', 'att_yellow']",,True,True,False,,0,34,2564
v1_16,11,1010,1.0,1501,,,,,,1.0,9,43,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,,False,531,9,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green', 'haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_blue']",['haz_blue'],1,0,0,477,,1,True,bank_hazard_within_budget,haz_green,500000,True,1060,498940,False,,,0,17,3,"haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",158,17,0.8924,False,,,1,1,6.0,1,0,True,True,True,1500,"['att_free_1', 'att_free_3', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",,True,True,False,,0,9,1605
v1_16,12,2010,1.0,1501,,,,,,1.0,36,717,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,532,36,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_blue']",['haz_blue'],1,0,0,717,,1,True,locate_family,GREEN,500000,False,,,True,576,499424,1,22,6,"dist_green,haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",160,22,0.8625,False,,,1,1,6.0,1,0,True,True,True,1500,"['att_free_1', 'att_free_3', 'att_free_2', 'att_green', 'att_free_0', 'att_yellow']",,True,True,False,,0,36,1713
v1_16,13,3010,1.0,1001,,,,,,2.0,12,17469,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_3']",17469,,False,531,12,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_blue']",['haz_blue'],1,0,0,30,,1,True,locate_family,YELLOW,500000,True,553,499447,False,,,1,13,3,"dist_yellow,haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",148,13,0.9122,True,,,1,1,6.0,1,0,True,True,True,1000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_free_2', 'att_green']",,True,True,False,,0,12,1172
v1_16,14,4010,1.0,264001,,,,,,2.0,36,5489,"['att_free_0', 'att_yellow', 'att_free_1', 'att_free_2', 'att_green']",,,False,533,36,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_green', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2', 'haz_blue']",['haz_blue'],1,0,0,34,,1,True,bank_hazard_within_budget,haz_green,500000,True,263670,236330,False,,,0,991,156,"haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1616,991,0.3868,False,,,1,1,6.0,1,0,True,True,True,264000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_free_2', 'att_green']",,True,True,False,,0,36,264229
v1_16,15,5010,1.0,1001,,,,,,2.0,38,181259,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_3']",181259,,False,531,38,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_green', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2', 'haz_blue']",['haz_blue'],1,0,0,32,,1,True,locate_family,GREEN,500000,False,,,True,778,499222,1,16,4,"dist_green,haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",161,16,0.9006,True,,,1,1,6.0,1,0,True,True,True,1000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_free_2', 'att_green']",,True,True,False,,0,38,1215
v1_16,16,6010,1.0,1001,,,,,,1.0,3,157,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,530,3,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green', 'haz_unaff_0', 'haz_unaff_2', 'haz_unaff_1', 'haz_blue']",['haz_blue'],1,0,0,29,,1,True,locate_family,YELLOW,500000,True,793,499207,False,,,1,16,4,"dist_yellow,haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",160,16,0.9,False,,,1,1,6.0,1,0,True,True,True,1000,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green', 'att_free_0']",,True,True,False,,0,3,1046
v1_16,17,7010,1.0,1001,,,,,,3.0,4,159140,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_3']",159140,,False,531,4,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_blue']",['haz_blue'],1,0,0,31,,1,True,bank_hazard_within_budget,haz_green,500000,True,835,499165,False,,,0,14,2,"haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",148,14,0.9054,True,,,1,1,6.0,1,0,True,True,True,1000,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_0', 'att_free_2', 'att_green']",,True,True,False,,0,4,1419
v1_16,18,8010,1.0,17206,,,,,,2.0,3,123135,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_3']",123135,,False,530,3,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green', 'haz_unaff_0', 'haz_unaff_2', 'haz_blue']",['haz_blue'],1,0,0,29,,1,True,locate_family,GREEN,500000,True,17198,482802,False,,,1,165,21,"dist_green,haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",584,165,0.7175,True,,,1,1,6.0,1,0,True,True,True,17205,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2', 'att_free_3']",,True,True,False,,0,3,17277
v1_16,19,9010,1.0,1001,,,,,,1.0,48,146,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,530,48,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green', 'haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_blue']",['haz_blue'],1,0,0,92,,1,True,locate_family,YELLOW,500000,True,601,499399,False,,,1,16,4,"dist_yellow,haz_blue,haz_green,haz_grey,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",215,16,0.9256,False,,,1,1,6.0,1,0,True,True,True,1000,"['att_free_1', 'att_free_3', 'att_free_0', 'att_yellow', 'att_free_2', 'att_green']",,True,True,False,,0,48,1326
