arch,hazard_cost,num_steps,run_idx,seed,phase_1_end,phase_2_end,frame_attempts_p1,frame_attempts_p2,frame_attempts_p3,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,total_cost,mastered_pairs,top_attractor,top_attractor_pref,phase_3_clean,full_run_clean,hazards_flagged,time_to_first_flag,time_to_second_flag,time_to_final_flag,first_entry_conversions,cost_on_sig_matched,actions_gated_p2,actions_gated_p3,attractors_mastered,time_to_first_mastery,time_to_final_mastery,first_banked,mastery_sequence,post_mastery_visits_total,p3_visits_to_mastered,p3_visits_to_unmastered,end_state_cell,activation_step,end_state_found_step,end_state_visits,end_state_banked,post_activation_window,discovery_time,hazards_transitioned,hazards_banked_as_knowledge,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,hazard_thresholds,competency_unlock_steps,knowledge_banked_steps,knowledge_entries_per_cell,pre_transition_entries_per_cell,snapshot_count,prov_threat_count,prov_threat_mean_set_step,prov_threat_mean_confirming,prov_threat_mean_disconfirming,prov_mastery_count,prov_mastery_mean_set_step,prov_mastery_mean_confirming,prov_mastery_mean_disconfirming,prov_knowledge_banking_count,prov_knowledge_banking_mean_set_step,prov_knowledge_banking_mean_confirming,prov_knowledge_banking_mean_disconfirming,prov_end_state_activation_count,prov_end_state_activation_mean_set_step,prov_end_state_activation_mean_confirming,prov_end_state_activation_mean_disconfirming,prov_end_state_banking_count,prov_end_state_banking_mean_set_step,prov_end_state_banking_mean_confirming,prov_end_state_banking_mean_disconfirming,prov_crossref_complete,prov_crossref_pending,prov_formation_narrative,prov_total_records,schema_cell_types_count,schema_actions_count,schema_phases_count,schema_flag_types_count,schema_complete
v1_2,0.1,20000,0,57270932,331,12000,0,0,0,0,4,0,0.4,101,"(3, 3)",0.0,True,False,1,1882,,1882,0,0.0,2249,589,6,838,8909,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(3, 3)|(16, 3)|(11, 5)",932,70,0,"(10, 5)",12450,,0,False,7550,,5,5,838,8696,"(14, 14)|(5, 9)|(6, 8)|(14, 13)|(5, 8)","(14, 14)|(5, 9)|(6, 8)|(14, 13)|(5, 8)","(5, 8):5|(5, 9):2|(6, 8):3|(14, 13):4|(14, 14):1","(5, 8):8696|(5, 9):1102|(6, 8):1658|(14, 13):3263|(14, 14):838","(5, 8):12450|(5, 9):1881|(6, 8):1887|(14, 13):6874|(14, 14):1773","(5, 8):98|(5, 9):314|(6, 8):99|(14, 13):105|(14, 14):169","(5, 8):3|(5, 9):0|(6, 8):0|(14, 13):1|(14, 14):0",54,1,1882.0,0.0,1.0,6,4077.6666666666665,155.33333333333334,0.0,5,4973.0,154.0,0.0,1,12450.0,7549.0,0.0,0,,,,1,0,"838:mastery:(4, 15)|1102:mastery:(9, 10)|1658:mastery:(15, 16)|1773:knowledge_banking:(14, 14)|1881:knowledge_banking:(5, 9)|1882:threat:(5, 8)|1887:knowledge_banking:(6, 8)|3263:mastery:(3, 3)|6874:knowledge_banking:(14, 13)|8696:mastery:(16, 3)|8909:mastery:(11, 5)|12450:end_state_activation|12450:knowledge_banking:(5, 8)",13,6,4,3,4,True
v1_2,0.1,20000,1,1824147949,331,12000,0,0,0,0,6,0,0.6,93,"(3, 3)",0.0,True,False,2,1589,1590,1590,1,1.0,1384,1348,5,346,5468,"(4, 15)","(4, 15)|(16, 3)|(15, 16)|(11, 5)|(9, 10)",2812,2209,0,"(6, 7)",,,0,False,,,5,2,346,5468,"(5, 8)|(5, 9)|(6, 8)|(14, 13)|(14, 14)","(14, 14)|(14, 13)","(5, 8):1|(5, 9):2|(6, 8):3|(14, 13):4|(14, 14):5","(5, 8):346|(5, 9):1144|(6, 8):1382|(14, 13):2987|(14, 14):5468","(5, 8):None|(5, 9):None|(6, 8):None|(14, 13):8980|(14, 14):8941","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):139|(14, 14):127","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):3|(14, 14):3",42,2,1589.5,0.5,1.0,5,2265.4,562.4,0.0,2,8960.5,130.0,0.0,0,,,,0,,,,2,0,"346:mastery:(4, 15)|1144:mastery:(16, 3)|1382:mastery:(15, 16)|1589:threat:(14, 14)|1590:threat:(14, 13)|2987:mastery:(11, 5)|5468:mastery:(9, 10)|8941:knowledge_banking:(14, 14)|8980:knowledge_banking:(14, 13)",9,6,4,3,4,True
v1_2,0.1,20000,2,1443541318,331,12000,0,0,0,0,0,0,0.0,105,"(3, 3)",0.0,True,True,0,,,,0,0.0,2562,2363,6,398,4918,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(11, 5)|(3, 3)|(15, 16)",1408,119,0,"(8, 16)",6459,12161,1,True,13541,5702,5,5,398,4287,"(14, 14)|(14, 13)|(5, 8)|(5, 9)|(6, 8)","(14, 13)|(14, 14)|(5, 8)|(5, 9)|(6, 8)","(5, 8):3|(5, 9):4|(6, 8):5|(14, 13):2|(14, 14):1","(5, 8):3260|(5, 9):3857|(6, 8):4287|(14, 13):2706|(14, 14):398","(5, 8):6448|(5, 9):6449|(6, 8):6459|(14, 13):3164|(14, 14):3165","(5, 8):30|(5, 9):26|(6, 8):100|(14, 13):200|(14, 14):193","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0",54,0,,,,6,3237.6666666666665,234.66666666666666,0.0,5,5137.0,106.8,0.0,1,6459.0,13540.0,0.0,1,12161.0,0.0,0.0,0,0,"398:mastery:(4, 15)|2706:mastery:(9, 10)|3164:knowledge_banking:(14, 13)|3165:knowledge_banking:(14, 14)|3260:mastery:(16, 3)|3857:mastery:(11, 5)|4287:mastery:(3, 3)|4918:mastery:(15, 16)|6448:knowledge_banking:(5, 8)|6449:knowledge_banking:(5, 9)|6459:end_state_activation|6459:knowledge_banking:(6, 8)|12161:end_state_banking:(8, 16)",13,6,4,3,4,True
v1_2,0.1,20000,3,963595800,331,12000,0,0,0,0,4,0,0.4,89,"(3, 3)",0.0,True,False,2,1205,1877,1877,1,1.0,2612,262,6,388,6683,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(3, 3)|(15, 16)|(11, 5)",1484,198,0,"(18, 5)",6683,7882,9,True,13317,1199,5,5,388,2832,"(5, 8)|(6, 8)|(14, 13)|(14, 14)|(5, 9)","(14, 13)|(6, 8)|(5, 8)|(14, 14)|(5, 9)","(5, 8):1|(5, 9):5|(6, 8):2|(14, 13):3|(14, 14):4","(5, 8):388|(5, 9):2832|(6, 8):782|(14, 13):876|(14, 14):2193","(5, 8):1822|(5, 9):5355|(6, 8):1821|(14, 13):1204|(14, 14):2815","(5, 8):84|(5, 9):85|(6, 8):88|(14, 13):17|(14, 14):252","(5, 8):0|(5, 9):1|(6, 8):0|(14, 13):0|(14, 14):3",60,2,1541.0,0.5,1.0,6,2292.3333333333335,247.33333333333334,0.0,5,2603.4,102.2,0.0,1,6683.0,13316.0,0.0,1,7882.0,8.0,0.0,2,0,"388:mastery:(4, 15)|782:mastery:(9, 10)|876:mastery:(16, 3)|1204:knowledge_banking:(14, 13)|1205:threat:(14, 14)|1821:knowledge_banking:(6, 8)|1822:knowledge_banking:(5, 8)|1877:threat:(5, 9)|2193:mastery:(3, 3)|2815:knowledge_banking:(14, 14)|2832:mastery:(15, 16)|5355:knowledge_banking:(5, 9)|6683:end_state_activation|6683:mastery:(11, 5)|7882:end_state_banking:(18, 5)",15,6,4,3,4,True
v1_2,0.1,20000,4,582989169,331,12000,0,0,0,0,3,0,0.30000000000000004,115,"(3, 3)",0.0,True,False,1,6427,,6427,0,0.0,1999,849,5,338,9856,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(11, 5)|(15, 16)",958,55,0,"(12, 5)",,,0,False,,,5,5,338,9856,"(5, 8)|(14, 14)|(6, 8)|(14, 13)|(5, 9)","(6, 8)|(5, 8)|(14, 14)|(14, 13)|(5, 9)","(5, 8):1|(5, 9):5|(6, 8):3|(14, 13):4|(14, 14):2","(5, 8):338|(5, 9):9856|(6, 8):1020|(14, 13):3551|(14, 14):815","(5, 8):1104|(5, 9):10811|(6, 8):1101|(14, 13):9834|(14, 14):9833","(5, 8):289|(5, 9):143|(6, 8):268|(14, 13):25|(14, 14):26","(5, 8):0|(5, 9):3|(6, 8):0|(14, 13):0|(14, 14):0",48,1,6427.0,0.0,1.0,5,3116.0,191.6,0.0,5,6536.6,147.2,0.0,0,,,,0,,,,1,0,"338:mastery:(4, 15)|815:mastery:(3, 3)|1020:mastery:(9, 10)|1101:knowledge_banking:(6, 8)|1104:knowledge_banking:(5, 8)|3551:mastery:(11, 5)|6427:threat:(5, 9)|9833:knowledge_banking:(14, 14)|9834:knowledge_banking:(14, 13)|9856:mastery:(15, 16)|10811:knowledge_banking:(5, 9)",11,6,4,3,4,True
v1_2,0.1,20000,5,103043651,331,12000,0,0,0,0,6,0,0.6,101,"(3, 3)",0.0,True,False,4,4467,4761,7815,3,3.0,3095,3958,5,600,11430,"(4, 15)","(4, 15)|(11, 5)|(9, 10)|(15, 16)|(16, 3)",209,15,0,"(14, 7)",,,0,False,,,5,3,600,11430,"(5, 8)|(14, 14)|(14, 13)|(5, 9)|(6, 8)","(5, 8)|(14, 14)|(14, 13)","(5, 8):1|(5, 9):4|(6, 8):5|(14, 13):3|(14, 14):2","(5, 8):600|(5, 9):10552|(6, 8):11430|(14, 13):10126|(14, 14):10069","(5, 8):4466|(5, 9):None|(6, 8):None|(14, 13):10400|(14, 14):10399","(5, 8):201|(5, 9):0|(6, 8):0|(14, 13):46|(14, 14):45","(5, 8):0|(5, 9):1|(6, 8):3|(14, 13):1|(14, 14):1",45,4,6214.25,1.5,1.0,5,8555.4,41.8,0.0,3,8421.666666666666,94.33333333333333,0.0,0,,,,0,,,,2,2,"600:mastery:(4, 15)|4466:knowledge_banking:(5, 8)|4467:threat:(6, 8)|4761:threat:(5, 9)|7814:threat:(14, 13)|7815:threat:(14, 14)|10069:mastery:(11, 5)|10126:mastery:(9, 10)|10399:knowledge_banking:(14, 14)|10400:knowledge_banking:(14, 13)|10552:mastery:(15, 16)|11430:mastery:(16, 3)",12,6,4,3,4,True
v1_2,0.1,20000,6,1869920668,331,12000,0,0,0,0,4,0,0.4,90,"(3, 3)",0.0,True,False,1,649,,649,0,0.0,2134,603,3,656,2140,"(9, 10)","(9, 10)|(15, 16)|(4, 15)",382,38,0,"(18, 3)",,,0,False,,,3,2,656,2140,"(14, 13)|(14, 14)|(5, 9)","(14, 13)|(14, 14)","(5, 8):5|(5, 9):3|(6, 8):4|(14, 13):1|(14, 14):2","(5, 8):None|(5, 9):2140|(6, 8):None|(14, 13):656|(14, 14):840","(5, 8):None|(5, 9):None|(6, 8):None|(14, 13):796|(14, 14):945","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):661|(14, 14):276","(5, 8):1|(5, 9):0|(6, 8):3|(14, 13):0|(14, 14):0",24,1,649.0,1.0,0.0,3,1212.0,127.33333333333333,0.0,2,870.5,465.5,0.0,0,,,,0,,,,0,0,"649:threat:(6, 8)|656:mastery:(9, 10)|796:knowledge_banking:(14, 13)|840:mastery:(15, 16)|945:knowledge_banking:(14, 14)|2140:mastery:(4, 15)",6,6,4,3,4,True
v1_2,0.1,20000,7,1389975150,331,12000,0,0,0,0,5,0,0.5,95,"(3, 3)",0.0,True,False,2,699,1348,1348,1,1.0,1239,1666,6,338,11842,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(11, 5)|(3, 3)|(16, 3)",1654,832,0,"(17, 15)",11842,18007,1,True,8158,6165,5,5,338,2823,"(5, 9)|(5, 8)|(14, 14)|(14, 13)|(6, 8)","(5, 9)|(5, 8)|(14, 14)|(6, 8)|(14, 13)","(5, 8):2|(5, 9):1|(6, 8):5|(14, 13):4|(14, 14):3","(5, 8):408|(5, 9):338|(6, 8):2823|(14, 13):2323|(14, 14):704","(5, 8):536|(5, 9):535|(6, 8):3223|(14, 13):6870|(14, 14):1351","(5, 8):60|(5, 9):36|(6, 8):456|(14, 13):576|(14, 14):372","(5, 8):0|(5, 9):0|(6, 8):1|(14, 13):1|(14, 14):3",60,2,1023.5,0.5,1.0,6,3073.0,275.6666666666667,0.0,5,2503.0,297.0,0.0,1,11842.0,8157.0,0.0,1,18007.0,0.0,0.0,2,0,"338:mastery:(4, 15)|408:mastery:(9, 10)|535:knowledge_banking:(5, 9)|536:knowledge_banking:(5, 8)|699:threat:(14, 14)|704:mastery:(15, 16)|1348:threat:(14, 13)|1351:knowledge_banking:(14, 14)|2323:mastery:(11, 5)|2823:mastery:(3, 3)|3223:knowledge_banking:(6, 8)|6870:knowledge_banking:(14, 13)|11842:end_state_activation|11842:mastery:(16, 3)|18007:end_state_banking:(17, 15)",15,6,4,3,4,True
v1_2,0.1,20000,8,1009368519,331,12000,0,0,0,0,7,0,0.7,72,"(3, 3)",0.0,True,False,3,2575,2576,8653,2,2.0,3937,5196,5,430,8658,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)",283,3,0,"(17, 8)",,,0,False,,,5,3,430,8658,"(6, 8)|(14, 13)|(5, 9)|(5, 8)|(14, 14)","(6, 8)|(14, 13)|(14, 14)","(5, 8):4|(5, 9):3|(6, 8):1|(14, 13):2|(14, 14):5","(5, 8):8420|(5, 9):3903|(6, 8):430|(14, 13):2516|(14, 14):8658","(5, 8):None|(5, 9):None|(6, 8):2567|(14, 13):8650|(14, 14):8671","(5, 8):0|(5, 9):0|(6, 8):68|(14, 13):383|(14, 14):379","(5, 8):3|(5, 9):3|(6, 8):0|(14, 13):0|(14, 14):1",42,3,4601.333333333333,1.0,1.0,5,4785.4,56.6,0.0,3,6629.333333333333,273.6666666666667,0.0,0,,,,0,,,,1,2,"430:mastery:(4, 15)|2516:mastery:(9, 10)|2567:knowledge_banking:(6, 8)|2575:threat:(5, 9)|2576:threat:(5, 8)|3903:mastery:(11, 5)|8420:mastery:(16, 3)|8650:knowledge_banking:(14, 13)|8653:threat:(14, 14)|8658:mastery:(15, 16)|8671:knowledge_banking:(14, 14)",11,6,4,3,4,True
v1_2,0.1,20000,9,628761888,331,12000,0,0,0,0,0,0,0.0,100,"(3, 3)",0.0,True,True,0,,,,0,0.0,2053,366,5,342,5050,"(4, 15)","(4, 15)|(3, 3)|(16, 3)|(11, 5)|(9, 10)",1479,208,0,"(6, 10)",,,0,False,,,5,3,342,5050,"(14, 14)|(5, 8)|(5, 9)|(14, 13)|(6, 8)","(5, 8)|(6, 8)|(5, 9)","(5, 8):2|(5, 9):3|(6, 8):5|(14, 13):4|(14, 14):1","(5, 8):1523|(5, 9):1592|(6, 8):5050|(14, 13):3809|(14, 14):342","(5, 8):5714|(5, 9):5719|(6, 8):5715|(14, 13):None|(14, 14):None","(5, 8):50|(5, 9):4|(6, 8):45|(14, 13):0|(14, 14):0","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0",39,0,,,,5,2463.2,295.8,0.0,3,5716.0,30.0,0.0,0,,,,0,,,,0,0,"342:mastery:(4, 15)|1523:mastery:(3, 3)|1592:mastery:(16, 3)|3809:mastery:(11, 5)|5050:mastery:(9, 10)|5714:knowledge_banking:(5, 8)|5715:knowledge_banking:(6, 8)|5719:knowledge_banking:(5, 9)",8,6,4,3,4,True
