arch,hazard_cost,num_steps,run_idx,seed,phase_1_end,phase_2_end,frame_attempts_p1,frame_attempts_p2,frame_attempts_p3,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,total_cost,mastered_pairs,top_attractor,top_attractor_pref,phase_3_clean,full_run_clean,hazards_flagged,time_to_first_flag,time_to_second_flag,time_to_final_flag,first_entry_conversions,cost_on_sig_matched,actions_gated_p2,actions_gated_p3,attractors_mastered,time_to_first_mastery,time_to_final_mastery,first_banked,mastery_sequence,post_mastery_visits_total,p3_visits_to_mastered,p3_visits_to_unmastered,end_state_cell,activation_step,end_state_found_step,end_state_visits,end_state_banked,post_activation_window,discovery_time,hazards_transitioned,hazards_banked_as_knowledge,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,hazard_thresholds,competency_unlock_steps,knowledge_banked_steps,knowledge_entries_per_cell,pre_transition_entries_per_cell,snapshot_count,prov_threat_count,prov_threat_mean_set_step,prov_threat_mean_confirming,prov_threat_mean_disconfirming,prov_mastery_count,prov_mastery_mean_set_step,prov_mastery_mean_confirming,prov_mastery_mean_disconfirming,prov_knowledge_banking_count,prov_knowledge_banking_mean_set_step,prov_knowledge_banking_mean_confirming,prov_knowledge_banking_mean_disconfirming,prov_end_state_activation_count,prov_end_state_activation_mean_set_step,prov_end_state_activation_mean_confirming,prov_end_state_activation_mean_disconfirming,prov_end_state_banking_count,prov_end_state_banking_mean_set_step,prov_end_state_banking_mean_confirming,prov_end_state_banking_mean_disconfirming,prov_crossref_complete,prov_crossref_pending,prov_formation_narrative,prov_total_records,schema_cell_types_count,schema_actions_count,schema_phases_count,schema_flag_types_count,schema_complete,green_cell_registered,green_cell_first_perception_step,yellow_cell_registered,yellow_cell_first_perception_step,green_attractor_mastered,green_attractor_mastery_step,yellow_attractor_mastered,yellow_attractor_mastery_step,green_knowledge_banked,green_knowledge_banked_step,yellow_knowledge_banked,yellow_knowledge_banked_step,green_crossref_complete,yellow_crossref_complete,family_traversal_narrative,tier_structure_similarity,form_progression_parallelism,traversal_sequence_distance,green_traversal_complete,yellow_traversal_complete,both_complete,green_first,traversal_interleaving,cross_family_comparison_complete
v1_4,0.1,20000,0,57270932,335,12000,0,0,0,0,4,0,0.4,92,"(3, 3)",0.0,True,False,1,1886,,1886,0,0.0,2248,4112,6,842,8913,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(3, 3)|(16, 3)|(11, 5)",953,91,0,"(10, 5)",,,0,False,,,5,4,842,8700,"(14, 14)|(5, 9)|(6, 8)|(14, 13)|(5, 8)","(14, 14)|(5, 9)|(6, 8)|(14, 13)","(5, 8):5|(5, 9):2|(6, 8):3|(14, 13):4|(14, 14):1","(5, 8):8700|(5, 9):1106|(6, 8):1662|(14, 13):3267|(14, 14):842","(5, 8):None|(5, 9):1885|(6, 8):1891|(14, 13):6878|(14, 14):1777","(5, 8):0|(5, 9):260|(6, 8):76|(14, 13):105|(14, 14):169","(5, 8):3|(5, 9):0|(6, 8):0|(14, 13):1|(14, 14):0",45,1,1886.0,0.0,1.0,6,4081.6666666666665,158.83333333333334,0.0,4,3107.75,149.5,0.0,0,,,,0,,,,0,1,"842:mastery:(4, 15)|1106:mastery:(9, 10)|1662:mastery:(15, 16)|1777:knowledge_banking:(14, 14)|1885:knowledge_banking:(5, 9)|1886:threat:(5, 8)|1891:knowledge_banking:(6, 8)|3267:mastery:(3, 3)|6878:knowledge_banking:(14, 13)|8700:mastery:(16, 3)|8913:mastery:(11, 5)",11,7,4,3,4,True,True,215,True,84,True,842,True,8700,True,1777,False,,True,False,84:colour_registered:YELLOW|215:colour_registered:GREEN|842:attractor_mastered:GREEN|1777:knowledge_banked:GREEN|8700:attractor_mastered:YELLOW,0.3333333333333333,1.0,0.83106,True,False,False,True,interleaved,False
v1_4,0.1,20000,1,1824147949,335,12000,0,0,0,0,0,0,0.0,90,"(3, 3)",0.0,True,True,0,,,,0,0.0,1185,2789,5,350,2109,"(4, 15)","(4, 15)|(16, 3)|(15, 16)|(9, 10)|(11, 5)",876,79,0,"(6, 7)",,,0,False,,,5,5,350,1450,"(14, 14)|(5, 8)|(5, 9)|(6, 8)|(14, 13)","(14, 14)|(5, 8)|(6, 8)|(5, 9)|(14, 13)","(5, 8):1|(5, 9):2|(6, 8):3|(14, 13):4|(14, 14):5","(5, 8):1148|(5, 9):1148|(6, 8):1386|(14, 13):1450|(14, 14):350","(5, 8):1614|(5, 9):1623|(6, 8):1617|(14, 13):6176|(14, 14):1411","(5, 8):80|(5, 9):79|(6, 8):75|(14, 13):9|(14, 14):19","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0",45,0,,,,5,1288.6,175.2,0.0,5,2488.2,49.4,0.0,0,,,,0,,,,0,0,"350:mastery:(4, 15)|1148:mastery:(16, 3)|1386:mastery:(15, 16)|1411:knowledge_banking:(14, 14)|1450:mastery:(9, 10)|1614:knowledge_banking:(5, 8)|1617:knowledge_banking:(6, 8)|1623:knowledge_banking:(5, 9)|2109:mastery:(11, 5)|6176:knowledge_banking:(14, 13)",10,7,4,3,4,True,True,215,True,84,True,350,True,1148,True,1411,True,1614,True,True,84:colour_registered:YELLOW|215:colour_registered:GREEN|350:attractor_mastered:GREEN|1148:attractor_mastered:YELLOW|1411:knowledge_banked:GREEN|1614:knowledge_banked:YELLOW,0.0,1.0,0.70566,True,True,True,True,interleaved,True
v1_4,0.1,20000,2,1443541318,335,12000,0,0,0,0,0,0,0.0,105,"(3, 3)",0.0,True,True,0,,,,0,0.0,2562,2359,6,402,4922,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(11, 5)|(3, 3)|(15, 16)",1408,119,0,"(8, 16)",6463,12165,1,True,13537,5702,5,5,402,4291,"(14, 14)|(14, 13)|(5, 8)|(5, 9)|(6, 8)","(14, 13)|(14, 14)|(5, 8)|(5, 9)|(6, 8)","(5, 8):3|(5, 9):4|(6, 8):5|(14, 13):2|(14, 14):1","(5, 8):3264|(5, 9):3861|(6, 8):4291|(14, 13):2710|(14, 14):402","(5, 8):6452|(5, 9):6453|(6, 8):6463|(14, 13):3168|(14, 14):3169","(5, 8):30|(5, 9):26|(6, 8):100|(14, 13):200|(14, 14):193","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0",54,0,,,,6,3241.6666666666665,234.66666666666666,0.0,5,5141.0,106.8,0.0,1,6463.0,13536.0,0.0,1,12165.0,0.0,0.0,0,0,"402:mastery:(4, 15)|2710:mastery:(9, 10)|3168:knowledge_banking:(14, 13)|3169:knowledge_banking:(14, 14)|3264:mastery:(16, 3)|3861:mastery:(11, 5)|4291:mastery:(3, 3)|4922:mastery:(15, 16)|6452:knowledge_banking:(5, 8)|6453:knowledge_banking:(5, 9)|6463:end_state_activation|6463:knowledge_banking:(6, 8)|12165:end_state_banking:(8, 16)",13,7,4,3,4,True,True,215,True,84,True,402,True,3264,True,3169,True,6452,True,True,84:colour_registered:YELLOW|215:colour_registered:GREEN|402:attractor_mastered:GREEN|3169:knowledge_banked:GREEN|3264:attractor_mastered:YELLOW|6452:knowledge_banked:YELLOW,0.0,1.0,0.73138,True,True,True,True,interleaved,True
v1_4,0.1,20000,3,963595800,335,12000,0,0,0,0,1,0,0.1,106,"(3, 3)",0.0,True,True,0,,,,0,0.0,634,3020,6,392,17034,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(11, 5)|(3, 3)|(15, 16)",1545,211,0,"(18, 5)",17034,,0,False,2966,,5,5,392,9131,"(14, 14)|(6, 8)|(5, 8)|(14, 13)|(5, 9)","(6, 8)|(5, 8)|(5, 9)|(14, 13)|(14, 14)","(5, 8):1|(5, 9):5|(6, 8):2|(14, 13):3|(14, 14):4","(5, 8):866|(5, 9):9131|(6, 8):708|(14, 13):866|(14, 14):392","(5, 8):6268|(5, 9):9315|(6, 8):733|(14, 13):17020|(14, 14):17021","(5, 8):340|(5, 9):116|(6, 8):17|(14, 13):7|(14, 14):7","(5, 8):0|(5, 9):1|(6, 8):0|(14, 13):0|(14, 14):0",51,0,,,,6,5697.0,257.5,0.0,5,10071.4,94.4,0.0,1,17034.0,2965.0,0.0,0,,,,0,0,"392:mastery:(4, 15)|708:mastery:(9, 10)|733:knowledge_banking:(6, 8)|866:mastery:(16, 3)|6051:mastery:(11, 5)|6268:knowledge_banking:(5, 8)|9131:mastery:(3, 3)|9315:knowledge_banking:(5, 9)|17020:knowledge_banking:(14, 13)|17021:knowledge_banking:(14, 14)|17034:end_state_activation|17034:mastery:(15, 16)",12,7,4,3,4,True,True,215,True,84,True,392,True,866,True,17021,True,6268,True,True,84:colour_registered:YELLOW|215:colour_registered:GREEN|392:attractor_mastered:GREEN|866:attractor_mastered:YELLOW|6268:knowledge_banked:YELLOW|17021:knowledge_banked:GREEN,0.0,1.0,0.75679,True,True,True,True,interleaved,True
v1_4,0.1,20000,4,582989169,335,12000,0,0,0,0,6,0,0.6,103,"(3, 3)",0.0,True,False,3,2219,2466,3958,2,2.0,2430,266,5,342,5620,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(11, 5)|(15, 16)",1362,367,0,"(12, 5)",,,0,False,,,4,4,342,5620,"(14, 14)|(6, 8)|(14, 13)|(5, 9)","(6, 8)|(14, 14)|(14, 13)|(5, 9)","(5, 8):1|(5, 9):5|(6, 8):3|(14, 13):4|(14, 14):2","(5, 8):None|(5, 9):5620|(6, 8):1024|(14, 13):5447|(14, 14):342","(5, 8):None|(5, 9):7333|(6, 8):1105|(14, 13):5670|(14, 14):3931","(5, 8):0|(5, 9):262|(6, 8):434|(14, 13):190|(14, 14):78","(5, 8):2|(5, 9):3|(6, 8):0|(14, 13):1|(14, 14):0",45,3,2881.0,1.3333333333333333,0.6666666666666666,5,2650.4,272.4,0.0,4,4509.75,238.0,0.0,0,,,,0,,,,2,0,"342:mastery:(4, 15)|819:mastery:(3, 3)|1024:mastery:(9, 10)|1105:knowledge_banking:(6, 8)|2219:threat:(5, 9)|2466:threat:(5, 8)|3931:knowledge_banking:(14, 14)|3958:threat:(14, 13)|5447:mastery:(11, 5)|5620:mastery:(15, 16)|5670:knowledge_banking:(14, 13)|7333:knowledge_banking:(5, 9)",12,7,4,3,4,True,True,215,True,84,True,342,False,,True,3931,False,,True,False,84:colour_registered:YELLOW|215:colour_registered:GREEN|342:attractor_mastered:GREEN|3931:knowledge_banked:GREEN,0.6666666666666666,1.0,0.87929,True,False,False,True,yellow_then_green,False
v1_4,0.1,20000,5,103043651,335,12000,0,0,0,0,6,0,0.6,96,"(3, 3)",0.0,True,False,2,4864,4869,4869,1,1.0,1855,680,5,604,10711,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(3, 3)|(11, 5)",587,187,0,"(14, 7)",,,0,False,,,4,4,604,10711,"(14, 14)|(14, 13)|(5, 9)|(6, 8)","(14, 14)|(5, 9)|(6, 8)|(14, 13)","(5, 8):1|(5, 9):4|(6, 8):5|(14, 13):3|(14, 14):2","(5, 8):None|(5, 9):3673|(6, 8):10711|(14, 13):2146|(14, 14):604","(5, 8):None|(5, 9):4867|(6, 8):10819|(14, 13):15060|(14, 14):1079","(5, 8):0|(5, 9):16|(6, 8):31|(14, 13):2015|(14, 14):86","(5, 8):3|(5, 9):1|(6, 8):1|(14, 13):1|(14, 14):0",42,2,4866.5,1.0,0.5,5,3668.4,117.4,0.0,4,7956.25,534.0,0.0,0,,,,0,,,,1,0,"604:mastery:(4, 15)|1079:knowledge_banking:(14, 14)|1208:mastery:(15, 16)|2146:mastery:(9, 10)|3673:mastery:(3, 3)|4864:threat:(5, 8)|4867:knowledge_banking:(5, 9)|4869:threat:(6, 8)|10711:mastery:(11, 5)|10819:knowledge_banking:(6, 8)|15060:knowledge_banking:(14, 13)",11,7,4,3,4,True,True,215,True,84,True,604,False,,True,1079,False,,True,False,84:colour_registered:YELLOW|215:colour_registered:GREEN|604:attractor_mastered:GREEN|1079:knowledge_banked:GREEN,0.6666666666666666,1.0,0.89224,True,False,False,True,yellow_then_green,False
v1_4,0.1,20000,6,1869920668,335,12000,0,0,0,0,6,0,0.6,90,"(3, 3)",0.0,True,False,3,653,1235,1890,2,2.0,4697,2744,4,660,3309,"(9, 10)","(9, 10)|(15, 16)|(3, 3)|(11, 5)",1244,476,0,"(18, 3)",,,0,False,,,3,3,660,3309,"(14, 13)|(5, 9)|(6, 8)","(14, 13)|(5, 9)|(6, 8)","(5, 8):5|(5, 9):3|(6, 8):4|(14, 13):1|(14, 14):2","(5, 8):None|(5, 9):2005|(6, 8):3309|(14, 13):660|(14, 14):None","(5, 8):None|(5, 9):2193|(6, 8):16823|(14, 13):800|(14, 14):None","(5, 8):0|(5, 9):13|(6, 8):3|(14, 13):389|(14, 14):0","(5, 8):2|(5, 9):0|(6, 8):3|(14, 13):0|(14, 14):1",33,3,1259.3333333333333,1.6666666666666667,0.3333333333333333,4,1704.5,311.0,0.0,3,6605.333333333333,132.0,0.0,0,,,,0,,,,1,0,"653:threat:(6, 8)|660:mastery:(9, 10)|800:knowledge_banking:(14, 13)|844:mastery:(15, 16)|1235:threat:(14, 14)|1890:threat:(5, 8)|2005:mastery:(3, 3)|2193:knowledge_banking:(5, 9)|3309:mastery:(11, 5)|16823:knowledge_banking:(6, 8)",10,7,4,3,4,True,True,215,True,84,False,,False,,False,,False,,False,False,84:colour_registered:YELLOW|215:colour_registered:GREEN,0.0,1.0,0.701965,False,False,False,,yellow_then_green,False
v1_4,0.1,20000,7,1389975150,335,12000,0,0,0,0,5,0,0.5,103,"(3, 3)",0.0,True,False,3,936,2023,4470,2,2.0,1879,1087,4,342,7125,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(3, 3)",424,157,0,"(17, 15)",,,0,False,,,3,3,342,7125,"(5, 9)|(14, 14)|(14, 13)","(5, 9)|(14, 14)|(14, 13)","(5, 8):2|(5, 9):1|(6, 8):5|(14, 13):4|(14, 14):3","(5, 8):None|(5, 9):342|(6, 8):None|(14, 13):7125|(14, 14):342","(5, 8):None|(5, 9):539|(6, 8):None|(14, 13):15156|(14, 14):4475","(5, 8):0|(5, 9):662|(6, 8):0|(14, 13):112|(14, 14):246","(5, 8):3|(5, 9):0|(6, 8):1|(14, 13):1|(14, 14):0",33,3,2476.3333333333335,1.6666666666666667,0.3333333333333333,4,3031.75,106.0,0.0,3,6723.333333333333,337.0,0.0,0,,,,0,,,,1,0,"342:mastery:(4, 15)|412:mastery:(9, 10)|539:knowledge_banking:(5, 9)|936:threat:(5, 8)|2023:threat:(6, 8)|4248:mastery:(15, 16)|4470:threat:(14, 13)|4475:knowledge_banking:(14, 14)|7125:mastery:(3, 3)|15156:knowledge_banking:(14, 13)",10,7,4,3,4,True,True,215,True,84,True,342,False,,True,4475,False,,True,False,84:colour_registered:YELLOW|215:colour_registered:GREEN|342:attractor_mastered:GREEN|4475:knowledge_banked:GREEN,0.6666666666666666,1.0,0.87657,True,False,False,True,yellow_then_green,False
v1_4,0.1,20000,8,1009368519,335,12000,0,0,0,0,6,0,0.6,97,"(3, 3)",0.0,True,False,2,2579,2580,2580,1,1.0,989,420,6,434,11446,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(16, 3)|(15, 16)",827,219,0,"(17, 8)",,,0,False,,,5,4,434,11132,"(6, 8)|(14, 14)|(14, 13)|(5, 9)|(5, 8)","(6, 8)|(5, 9)|(14, 13)|(14, 14)","(5, 8):4|(5, 9):3|(6, 8):1|(14, 13):2|(14, 14):5","(5, 8):11132|(5, 9):6845|(6, 8):434|(14, 13):2520|(14, 14):434","(5, 8):None|(5, 9):8201|(6, 8):2571|(14, 13):10406|(14, 14):10409","(5, 8):0|(5, 9):47|(6, 8):112|(14, 13):41|(14, 14):38","(5, 8):3|(5, 9):3|(6, 8):0|(14, 13):0|(14, 14):0",48,2,2579.5,0.5,1.0,6,7096.333333333333,137.83333333333334,0.0,4,7896.75,56.5,0.0,0,,,,0,,,,1,1,"434:mastery:(4, 15)|2520:mastery:(9, 10)|2571:knowledge_banking:(6, 8)|2579:threat:(5, 9)|2580:threat:(5, 8)|6845:mastery:(3, 3)|8201:knowledge_banking:(5, 9)|10201:mastery:(11, 5)|10406:knowledge_banking:(14, 13)|10409:knowledge_banking:(14, 14)|11132:mastery:(16, 3)|11446:mastery:(15, 16)",12,7,4,3,4,True,True,215,True,84,True,434,True,11132,True,10409,False,,True,False,84:colour_registered:YELLOW|215:colour_registered:GREEN|434:attractor_mastered:GREEN|10409:knowledge_banked:GREEN|11132:attractor_mastered:YELLOW,0.3333333333333333,1.0,0.8021,True,False,False,True,interleaved,False
v1_4,0.1,20000,9,628761888,335,12000,0,0,0,0,3,0,0.30000000000000004,91,"(3, 3)",0.0,True,False,1,1610,,1610,0,0.0,1743,1024,6,346,8438,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(16, 3)|(3, 3)|(9, 10)",1773,396,0,"(6, 10)",14742,17379,2,True,5258,2637,5,5,346,3687,"(14, 14)|(5, 9)|(5, 8)|(14, 13)|(6, 8)","(14, 14)|(6, 8)|(5, 8)|(5, 9)|(14, 13)","(5, 8):2|(5, 9):3|(6, 8):5|(14, 13):4|(14, 14):1","(5, 8):3310|(5, 9):2877|(6, 8):3687|(14, 13):3310|(14, 14):346","(5, 8):4158|(5, 9):4163|(6, 8):4157|(14, 13):14742|(14, 14):1609","(5, 8):84|(5, 9):106|(6, 8):84|(14, 13):411|(14, 14):55","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):3|(14, 14):0",57,1,1610.0,0.0,1.0,6,3379.0,295.5,0.0,5,5765.8,145.0,0.0,1,14742.0,5257.0,0.0,1,17379.0,1.0,0.0,1,0,"346:mastery:(4, 15)|1609:knowledge_banking:(14, 14)|1610:threat:(14, 13)|1616:mastery:(15, 16)|2877:mastery:(11, 5)|3310:mastery:(16, 3)|3687:mastery:(3, 3)|4157:knowledge_banking:(6, 8)|4158:knowledge_banking:(5, 8)|4163:knowledge_banking:(5, 9)|8438:mastery:(9, 10)|14742:end_state_activation|14742:knowledge_banking:(14, 13)|17379:end_state_banking:(6, 10)",14,7,4,3,4,True,True,215,True,84,True,346,True,3310,True,1609,True,4158,True,True,84:colour_registered:YELLOW|215:colour_registered:GREEN|346:attractor_mastered:GREEN|1609:knowledge_banked:GREEN|3310:attractor_mastered:YELLOW|4158:knowledge_banked:YELLOW,0.0,1.0,0.72822,True,True,True,True,interleaved,True
