arch,hazard_cost,num_steps,run_idx,seed,snapshot_step,snapshot_event,flag_type,flag_coord,flag_id,flag_set_step,confirming_observations,disconfirming_observations,last_confirmation_step,last_observation_step,transformed_at_step,derived_knowledge_flag_id,derived_from_threat_flag_id
v1_1,0.1,20000,0,57270932,838,mastery_flag_formation,mastery,"(4, 15)","mastery:(4, 15)",838,0,0,,838,,,
v1_1,0.1,20000,0,57270932,1102,mastery_flag_formation,mastery,"(9, 10)","mastery:(9, 10)",1102,0,0,,1102,,,
v1_1,0.1,20000,0,57270932,1658,mastery_flag_formation,mastery,"(15, 16)","mastery:(15, 16)",1658,0,0,,1658,,,
v1_1,0.1,20000,0,57270932,1773,knowledge_banking_flag_formation,knowledge_banking,"(14, 14)","knowledge_banking:(14, 14)",1773,0,0,,1773,,,
v1_1,0.1,20000,0,57270932,1881,knowledge_banking_flag_formation,knowledge_banking,"(5, 9)","knowledge_banking:(5, 9)",1881,0,0,,1881,,,
v1_1,0.1,20000,0,57270932,1882,threat_flag_formation,threat,"(5, 8)","threat:(5, 8)",1882,0,0,,1882,,,
v1_1,0.1,20000,0,57270932,1887,knowledge_banking_flag_formation,knowledge_banking,"(6, 8)","knowledge_banking:(6, 8)",1887,0,0,,1887,,,
v1_1,0.1,20000,0,57270932,3263,mastery_flag_formation,mastery,"(3, 3)","mastery:(3, 3)",3263,0,0,,3263,,,
v1_1,0.1,20000,0,57270932,6874,knowledge_banking_flag_formation,knowledge_banking,"(14, 13)","knowledge_banking:(14, 13)",6874,0,0,,6874,,,
v1_1,0.1,20000,0,57270932,8696,mastery_flag_formation,mastery,"(16, 3)","mastery:(16, 3)",8696,0,0,,8696,,,
v1_1,0.1,20000,0,57270932,8696,threat_flag_transformation,threat,"(5, 8)","threat:(5, 8)",1882,0,1,,8696,8696,"knowledge_banking:(5, 8)",
v1_1,0.1,20000,0,57270932,8909,mastery_flag_formation,mastery,"(11, 5)","mastery:(11, 5)",8909,0,0,,8909,,,
v1_1,0.1,20000,0,57270932,12450,knowledge_banking_flag_formation,knowledge_banking,"(5, 8)","knowledge_banking:(5, 8)",12450,0,0,,12450,,,"threat:(5, 8)"
v1_1,0.1,20000,0,57270932,12450,end_state_activation_formation,end_state_activation,,end_state_activation,12450,0,0,,12450,,,
v1_1,0.1,20000,0,57270932,19999,run_end,mastery,"(4, 15)","mastery:(4, 15)",838,103,0,1062,1062,,,
v1_1,0.1,20000,0,57270932,19999,run_end,mastery,"(9, 10)","mastery:(9, 10)",1102,43,0,11472,11472,,,
v1_1,0.1,20000,0,57270932,19999,run_end,mastery,"(15, 16)","mastery:(15, 16)",1658,179,0,11374,11374,,,
v1_1,0.1,20000,0,57270932,19999,run_end,knowledge_banking,"(14, 14)","knowledge_banking:(14, 14)",1773,166,0,11425,11425,,,
v1_1,0.1,20000,0,57270932,19999,run_end,knowledge_banking,"(5, 9)","knowledge_banking:(5, 9)",1881,311,0,15815,15815,,,
v1_1,0.1,20000,0,57270932,19999,run_end,threat,"(5, 8)","threat:(5, 8)",1882,0,1,,8696,8696,"knowledge_banking:(5, 8)",
v1_1,0.1,20000,0,57270932,19999,run_end,knowledge_banking,"(6, 8)","knowledge_banking:(6, 8)",1887,96,0,19935,19935,,,
v1_1,0.1,20000,0,57270932,19999,run_end,mastery,"(3, 3)","mastery:(3, 3)",3263,390,0,19703,19703,,,
v1_1,0.1,20000,0,57270932,19999,run_end,knowledge_banking,"(14, 13)","knowledge_banking:(14, 13)",6874,102,0,11272,11272,,,
v1_1,0.1,20000,0,57270932,19999,run_end,mastery,"(16, 3)","mastery:(16, 3)",8696,200,0,12312,12312,,,
v1_1,0.1,20000,0,57270932,19999,run_end,mastery,"(11, 5)","mastery:(11, 5)",8909,17,0,12433,12433,,,
v1_1,0.1,20000,0,57270932,19999,run_end,knowledge_banking,"(5, 8)","knowledge_banking:(5, 8)",12450,95,0,19996,19996,,,"threat:(5, 8)"
v1_1,0.1,20000,0,57270932,19999,run_end,end_state_activation,,end_state_activation,12450,7549,0,19999,19999,,,
v1_1,0.1,20000,1,1824147949,346,mastery_flag_formation,mastery,"(4, 15)","mastery:(4, 15)",346,0,0,,346,,,
v1_1,0.1,20000,1,1824147949,1144,mastery_flag_formation,mastery,"(16, 3)","mastery:(16, 3)",1144,0,0,,1144,,,
v1_1,0.1,20000,1,1824147949,1382,mastery_flag_formation,mastery,"(15, 16)","mastery:(15, 16)",1382,0,0,,1382,,,
v1_1,0.1,20000,1,1824147949,1589,threat_flag_formation,threat,"(14, 14)","threat:(14, 14)",1589,0,0,,1589,,,
v1_1,0.1,20000,1,1824147949,1590,threat_flag_formation,threat,"(14, 13)","threat:(14, 13)",1590,0,0,,1590,,,
v1_1,0.1,20000,1,1824147949,2987,mastery_flag_formation,mastery,"(11, 5)","mastery:(11, 5)",2987,0,0,,2987,,,
v1_1,0.1,20000,1,1824147949,2987,threat_flag_transformation,threat,"(14, 13)","threat:(14, 13)",1590,0,1,,2987,2987,"knowledge_banking:(14, 13)",
v1_1,0.1,20000,1,1824147949,5468,mastery_flag_formation,mastery,"(9, 10)","mastery:(9, 10)",5468,0,0,,5468,,,
v1_1,0.1,20000,1,1824147949,5468,threat_flag_transformation,threat,"(14, 14)","threat:(14, 14)",1589,1,1,1590,5468,5468,"knowledge_banking:(14, 14)",
v1_1,0.1,20000,1,1824147949,8941,knowledge_banking_flag_formation,knowledge_banking,"(14, 14)","knowledge_banking:(14, 14)",8941,0,0,,8941,,,"threat:(14, 14)"
v1_1,0.1,20000,1,1824147949,8980,knowledge_banking_flag_formation,knowledge_banking,"(14, 13)","knowledge_banking:(14, 13)",8980,0,0,,8980,,,"threat:(14, 13)"
v1_1,0.1,20000,1,1824147949,19999,run_end,mastery,"(4, 15)","mastery:(4, 15)",346,51,0,19958,19958,,,
v1_1,0.1,20000,1,1824147949,19999,run_end,mastery,"(16, 3)","mastery:(16, 3)",1144,15,0,3374,3374,,,
v1_1,0.1,20000,1,1824147949,19999,run_end,mastery,"(15, 16)","mastery:(15, 16)",1382,2340,0,19226,19226,,,
v1_1,0.1,20000,1,1824147949,19999,run_end,threat,"(14, 14)","threat:(14, 14)",1589,1,1,1590,5468,5468,"knowledge_banking:(14, 14)",
